task,C,seed,mode,steps,acc
ag_news,4,42,matched_per_client,200,0.905
ag_news,4,42,matched_total,2000,0.927
ag_news,4,43,matched_per_client,200,0.901
ag_news,4,43,matched_total,2000,0.9174
ag_news,4,44,matched_per_client,200,0.8968
ag_news,4,44,matched_total,2000,0.9182
trec,6,42,matched_per_client,200,0.92
trec,6,42,matched_total,2000,0.96
trec,6,43,matched_per_client,200,0.942
trec,6,43,matched_total,2000,0.974
trec,6,44,matched_per_client,200,0.916
trec,6,44,matched_total,2000,0.968
dbpedia_14,14,42,matched_per_client,200,0.9846
dbpedia_14,14,42,matched_total,2000,0.988
dbpedia_14,14,43,matched_per_client,200,0.9846
dbpedia_14,14,43,matched_total,2000,0.987
dbpedia_14,14,44,matched_per_client,200,0.9806
dbpedia_14,14,44,matched_total,2000,0.9884
banking77,77,42,matched_per_client,200,0.7912
banking77,77,42,matched_total,2000,0.9224
banking77,77,43,matched_per_client,200,0.801
banking77,77,43,matched_total,2000,0.9256
banking77,77,44,matched_per_client,200,0.8162
banking77,77,44,matched_total,2000,0.9208
