setup,alpha,probe_size,method,mean,std,count
mnist_mlp,0.05,25.0,dp_avg_eps2_K20,0.37533333333333335,0.03949966244581506,3
mnist_mlp,0.05,25.0,dp_avg_eps8_K20,0.42386666666666667,0.04334816412875327,3
mnist_mlp,0.05,25.0,labelled_probe_warmup,0.36169999999999997,0.057503130349573155,3
mnist_mlp,0.05,25.0,no_phase0,0.36660000000000004,0.03050835951014081,3
mnist_mlp,0.05,25.0,raw_union_K20,0.8813999999999999,0.004484417464955772,3
mnist_mlp,0.05,25.0,warmup_only_labelled,0.20750000000000002,0.04751799659076548,3
mnist_mlp,0.05,100.0,dp_avg_eps2_K20,0.4581666666666666,0.08193999837279306,3
mnist_mlp,0.05,100.0,dp_avg_eps8_K20,0.4293666666666667,0.08160161354613844,3
mnist_mlp,0.05,100.0,labelled_probe_warmup,0.5587666666666666,0.07193061471538623,3
mnist_mlp,0.05,100.0,no_phase0,0.3671333333333333,0.041658892608101496,3
mnist_mlp,0.05,100.0,raw_union_K20,0.8596,0.035666090338022774,3
mnist_mlp,0.05,100.0,warmup_only_labelled,0.42746666666666666,0.10530234248739835,3
mnist_mlp,0.05,500.0,dp_avg_eps2_K20,0.5398,0.1306150450752133,3
mnist_mlp,0.05,500.0,dp_avg_eps8_K20,0.5022000000000001,0.14136474100708424,3
mnist_mlp,0.05,500.0,labelled_probe_warmup,0.8476666666666667,0.01632309202734985,3
mnist_mlp,0.05,500.0,no_phase0,0.44480000000000003,0.1627035033427369,3
mnist_mlp,0.05,500.0,raw_union_K20,0.8823666666666666,0.02783708557542139,3
mnist_mlp,0.05,500.0,warmup_only_labelled,0.8040333333333334,0.01323228375350732,3
mnist_mlp,0.1,25.0,dp_avg_eps2_K20,0.6535000000000001,0.11142728570686797,3
mnist_mlp,0.1,25.0,dp_avg_eps8_K20,0.6363,0.08016052644537706,3
mnist_mlp,0.1,25.0,labelled_probe_warmup,0.5997666666666667,0.08973629886134891,3
mnist_mlp,0.1,25.0,no_phase0,0.628,0.09534731249489944,3
mnist_mlp,0.1,25.0,raw_union_K20,0.9140666666666667,0.0089539562950315,3
mnist_mlp,0.1,25.0,warmup_only_labelled,0.20750000000000002,0.04751799659076548,3
mnist_mlp,0.1,100.0,dp_avg_eps2_K20,0.5097,0.019835069951981525,3
mnist_mlp,0.1,100.0,dp_avg_eps8_K20,0.4971666666666667,0.04007372372681796,3
mnist_mlp,0.1,100.0,labelled_probe_warmup,0.5619999999999999,0.031049798711102777,3
mnist_mlp,0.1,100.0,no_phase0,0.4642666666666666,0.07824144255657185,3
mnist_mlp,0.1,100.0,raw_union_K20,0.9113666666666665,0.007487545214109425,3
mnist_mlp,0.1,100.0,warmup_only_labelled,0.42746666666666666,0.10530234248739835,3
mnist_mlp,0.1,500.0,dp_avg_eps2_K20,0.5804333333333332,0.08100681041328156,3
mnist_mlp,0.1,500.0,dp_avg_eps8_K20,0.5839,0.07325428315122595,3
mnist_mlp,0.1,500.0,labelled_probe_warmup,0.8436666666666667,0.018032563138204522,3
mnist_mlp,0.1,500.0,no_phase0,0.5181666666666667,0.09664379614508803,3
mnist_mlp,0.1,500.0,raw_union_K20,0.9065666666666666,0.006672580710140066,3
mnist_mlp,0.1,500.0,warmup_only_labelled,0.8040333333333334,0.01323228375350732,3
mnist_mlp,0.3,25.0,dp_avg_eps2_K20,0.7965,0.03595010431139246,3
mnist_mlp,0.3,25.0,dp_avg_eps8_K20,0.7948333333333334,0.028726700703932826,3
mnist_mlp,0.3,25.0,labelled_probe_warmup,0.7848333333333333,0.02355511267927482,3
mnist_mlp,0.3,25.0,no_phase0,0.7829333333333333,0.02632343695897882,3
mnist_mlp,0.3,25.0,raw_union_K20,0.9358666666666666,0.0021594752448994238,3
mnist_mlp,0.3,25.0,warmup_only_labelled,0.20750000000000002,0.04751799659076548,3
mnist_mlp,0.3,100.0,dp_avg_eps2_K20,0.7686666666666667,0.03725940597128913,3
mnist_mlp,0.3,100.0,dp_avg_eps8_K20,0.7809,0.03185576870835174,3
mnist_mlp,0.3,100.0,labelled_probe_warmup,0.8104999999999999,0.030925879130592162,3
mnist_mlp,0.3,100.0,no_phase0,0.7521,0.03701904915040361,3
mnist_mlp,0.3,100.0,raw_union_K20,0.9361,0.0029103264421710857,3
mnist_mlp,0.3,100.0,warmup_only_labelled,0.42746666666666666,0.10530234248739835,3
mnist_mlp,0.3,500.0,dp_avg_eps2_K20,0.7981666666666666,0.02076928822404203,3
mnist_mlp,0.3,500.0,dp_avg_eps8_K20,0.8031,0.010192644406629743,3
mnist_mlp,0.3,500.0,labelled_probe_warmup,0.8882333333333333,0.007130451131122989,3
mnist_mlp,0.3,500.0,no_phase0,0.7682333333333333,0.006474823034904778,3
mnist_mlp,0.3,500.0,raw_union_K20,0.9363999999999999,0.004539823785126424,3
mnist_mlp,0.3,500.0,warmup_only_labelled,0.8040333333333334,0.01323228375350732,3
mnist_mlp,1.0,25.0,dp_avg_eps2_K20,0.8741,0.013169662106523422,3
mnist_mlp,1.0,25.0,dp_avg_eps8_K20,0.8741333333333333,0.011504926481005125,3
mnist_mlp,1.0,25.0,labelled_probe_warmup,0.8694999999999999,0.014167921513051927,3
mnist_mlp,1.0,25.0,no_phase0,0.8649666666666667,0.014501838963846346,3
mnist_mlp,1.0,25.0,raw_union_K20,0.9460000000000001,0.002078460969082672,3
mnist_mlp,1.0,25.0,warmup_only_labelled,0.20750000000000002,0.04751799659076548,3
mnist_mlp,1.0,100.0,dp_avg_eps2_K20,0.8791333333333333,0.014611753260075754,3
mnist_mlp,1.0,100.0,dp_avg_eps8_K20,0.8784666666666667,0.01680188481490498,3
mnist_mlp,1.0,100.0,labelled_probe_warmup,0.8833666666666667,0.012232879192297012,3
mnist_mlp,1.0,100.0,no_phase0,0.8682333333333334,0.019131736286425616,3
mnist_mlp,1.0,100.0,raw_union_K20,0.9451,0.0025119713374160656,3
mnist_mlp,1.0,100.0,warmup_only_labelled,0.42746666666666666,0.10530234248739835,3
mnist_mlp,1.0,500.0,dp_avg_eps2_K20,0.8868,0.009340235543068478,3
mnist_mlp,1.0,500.0,dp_avg_eps8_K20,0.8840666666666667,0.009440515522646653,3
mnist_mlp,1.0,500.0,labelled_probe_warmup,0.9084666666666666,0.003970306453327388,3
mnist_mlp,1.0,500.0,no_phase0,0.8725666666666667,0.014527330564605858,3
mnist_mlp,1.0,500.0,raw_union_K20,0.9455333333333334,0.0014977761292440542,3
mnist_mlp,1.0,500.0,warmup_only_labelled,0.8040333333333334,0.01323228375350732,3
