section,setup,seed,alpha,probe_size,method,acc,runtime_s,backbone,eps,K_per_class
A,mnist_mlp,42,0.05,25.0,no_phase0,0.393,36.2,,,
A,mnist_mlp,42,0.05,25.0,warmup_only_labelled,0.1531,18.7,,,
A,mnist_mlp,42,0.05,25.0,labelled_probe_warmup,0.3341,29.6,,,
A,mnist_mlp,42,0.05,25.0,raw_union_K20,0.8775,29.7,,,
A,mnist_mlp,42,0.05,25.0,dp_avg_eps2_K20,0.4127,29.7,,,
A,mnist_mlp,42,0.05,25.0,dp_avg_eps8_K20,0.4739,30.2,,,
A,mnist_mlp,42,0.05,100.0,no_phase0,0.4127,30.2,,,
A,mnist_mlp,42,0.05,100.0,warmup_only_labelled,0.4313,18.3,,,
A,mnist_mlp,42,0.05,100.0,labelled_probe_warmup,0.6395,30.8,,,
A,mnist_mlp,42,0.05,100.0,raw_union_K20,0.8854,30.3,,,
A,mnist_mlp,42,0.05,100.0,dp_avg_eps2_K20,0.5378,29.0,,,
A,mnist_mlp,42,0.05,100.0,dp_avg_eps8_K20,0.5215,29.6,,,
A,mnist_mlp,42,0.05,500.0,no_phase0,0.4189,29.4,,,
A,mnist_mlp,42,0.05,500.0,warmup_only_labelled,0.7987,19.0,,,
A,mnist_mlp,42,0.05,500.0,labelled_probe_warmup,0.8611,29.2,,,
A,mnist_mlp,42,0.05,500.0,raw_union_K20,0.9034,30.5,,,
A,mnist_mlp,42,0.05,500.0,dp_avg_eps2_K20,0.5561,29.5,,,
A,mnist_mlp,42,0.05,500.0,dp_avg_eps8_K20,0.5624,29.6,,,
A,mnist_mlp,42,0.1,25.0,no_phase0,0.7329,29.9,,,
A,mnist_mlp,42,0.1,25.0,warmup_only_labelled,0.1531,18.7,,,
A,mnist_mlp,42,0.1,25.0,labelled_probe_warmup,0.7,29.3,,,
A,mnist_mlp,42,0.1,25.0,raw_union_K20,0.9244,29.9,,,
A,mnist_mlp,42,0.1,25.0,dp_avg_eps2_K20,0.7777,30.0,,,
A,mnist_mlp,42,0.1,25.0,dp_avg_eps8_K20,0.7249,29.5,,,
A,mnist_mlp,42,0.1,100.0,no_phase0,0.4599,29.4,,,
A,mnist_mlp,42,0.1,100.0,warmup_only_labelled,0.4313,18.6,,,
A,mnist_mlp,42,0.1,100.0,labelled_probe_warmup,0.5385,29.0,,,
A,mnist_mlp,42,0.1,100.0,raw_union_K20,0.9198,29.7,,,
A,mnist_mlp,42,0.1,100.0,dp_avg_eps2_K20,0.5208,29.2,,,
A,mnist_mlp,42,0.1,100.0,dp_avg_eps8_K20,0.5008,29.1,,,
A,mnist_mlp,42,0.1,500.0,no_phase0,0.409,29.0,,,
A,mnist_mlp,42,0.1,500.0,warmup_only_labelled,0.7987,18.3,,,
A,mnist_mlp,42,0.1,500.0,labelled_probe_warmup,0.847,29.4,,,
A,mnist_mlp,42,0.1,500.0,raw_union_K20,0.9077,28.6,,,
A,mnist_mlp,42,0.1,500.0,dp_avg_eps2_K20,0.5164,28.9,,,
A,mnist_mlp,42,0.1,500.0,dp_avg_eps8_K20,0.5177,29.9,,,
A,mnist_mlp,42,0.3,25.0,no_phase0,0.8133,28.6,,,
A,mnist_mlp,42,0.3,25.0,warmup_only_labelled,0.1531,18.8,,,
A,mnist_mlp,42,0.3,25.0,labelled_probe_warmup,0.807,29.1,,,
A,mnist_mlp,42,0.3,25.0,raw_union_K20,0.9361,29.1,,,
A,mnist_mlp,42,0.3,25.0,dp_avg_eps2_K20,0.838,29.3,,,
A,mnist_mlp,42,0.3,25.0,dp_avg_eps8_K20,0.828,29.5,,,
A,mnist_mlp,42,0.3,100.0,no_phase0,0.7916,28.8,,,
A,mnist_mlp,42,0.3,100.0,warmup_only_labelled,0.4313,18.4,,,
A,mnist_mlp,42,0.3,100.0,labelled_probe_warmup,0.8401,28.8,,,
A,mnist_mlp,42,0.3,100.0,raw_union_K20,0.9372,29.4,,,
A,mnist_mlp,42,0.3,100.0,dp_avg_eps2_K20,0.8111,28.9,,,
A,mnist_mlp,42,0.3,100.0,dp_avg_eps8_K20,0.8172,29.4,,,
A,mnist_mlp,42,0.3,500.0,no_phase0,0.7671,29.2,,,
A,mnist_mlp,42,0.3,500.0,warmup_only_labelled,0.7987,18.2,,,
A,mnist_mlp,42,0.3,500.0,labelled_probe_warmup,0.8924,29.0,,,
A,mnist_mlp,42,0.3,500.0,raw_union_K20,0.94,29.3,,,
A,mnist_mlp,42,0.3,500.0,dp_avg_eps2_K20,0.8109,29.0,,,
A,mnist_mlp,42,0.3,500.0,dp_avg_eps8_K20,0.8144,29.2,,,
A,mnist_mlp,42,1.0,25.0,no_phase0,0.8815,29.7,,,
A,mnist_mlp,42,1.0,25.0,warmup_only_labelled,0.1531,18.6,,,
A,mnist_mlp,42,1.0,25.0,labelled_probe_warmup,0.8844,29.5,,,
A,mnist_mlp,42,1.0,25.0,raw_union_K20,0.9484,29.9,,,
A,mnist_mlp,42,1.0,25.0,dp_avg_eps2_K20,0.8893,29.9,,,
A,mnist_mlp,42,1.0,25.0,dp_avg_eps8_K20,0.8874,28.7,,,
A,mnist_mlp,42,1.0,100.0,no_phase0,0.8846,29.2,,,
A,mnist_mlp,42,1.0,100.0,warmup_only_labelled,0.4313,19.1,,,
A,mnist_mlp,42,1.0,100.0,labelled_probe_warmup,0.8942,29.9,,,
A,mnist_mlp,42,1.0,100.0,raw_union_K20,0.9465,29.4,,,
A,mnist_mlp,42,1.0,100.0,dp_avg_eps2_K20,0.8899,30.0,,,
A,mnist_mlp,42,1.0,100.0,dp_avg_eps8_K20,0.8941,31.2,,,
A,mnist_mlp,42,1.0,500.0,no_phase0,0.8814,28.6,,,
A,mnist_mlp,42,1.0,500.0,warmup_only_labelled,0.7987,18.5,,,
A,mnist_mlp,42,1.0,500.0,labelled_probe_warmup,0.9111,28.6,,,
A,mnist_mlp,42,1.0,500.0,raw_union_K20,0.9443,30.5,,,
A,mnist_mlp,42,1.0,500.0,dp_avg_eps2_K20,0.8966,29.2,,,
A,mnist_mlp,42,1.0,500.0,dp_avg_eps8_K20,0.8949,29.4,,,
A,mnist_mlp,43,0.05,25.0,no_phase0,0.3736,29.6,,,
A,mnist_mlp,43,0.05,25.0,warmup_only_labelled,0.2409,18.3,,,
A,mnist_mlp,43,0.05,25.0,labelled_probe_warmup,0.4278,29.8,,,
A,mnist_mlp,43,0.05,25.0,raw_union_K20,0.8863,29.8,,,
A,mnist_mlp,43,0.05,25.0,dp_avg_eps2_K20,0.3793,29.4,,,
A,mnist_mlp,43,0.05,25.0,dp_avg_eps8_K20,0.4001,29.5,,,
A,mnist_mlp,43,0.05,100.0,no_phase0,0.331,29.0,,,
A,mnist_mlp,43,0.05,100.0,warmup_only_labelled,0.5308,18.6,,,
A,mnist_mlp,43,0.05,100.0,labelled_probe_warmup,0.5015,28.8,,,
A,mnist_mlp,43,0.05,100.0,raw_union_K20,0.8189,29.9,,,
A,mnist_mlp,43,0.05,100.0,dp_avg_eps2_K20,0.3741,29.6,,,
A,mnist_mlp,43,0.05,100.0,dp_avg_eps8_K20,0.3662,30.2,,,
A,mnist_mlp,43,0.05,500.0,no_phase0,0.2966,29.3,,,
A,mnist_mlp,43,0.05,500.0,warmup_only_labelled,0.7943,18.5,,,
A,mnist_mlp,43,0.05,500.0,labelled_probe_warmup,0.8295,29.4,,,
A,mnist_mlp,43,0.05,500.0,raw_union_K20,0.8508,29.6,,,
A,mnist_mlp,43,0.05,500.0,dp_avg_eps2_K20,0.4018,28.8,,,
A,mnist_mlp,43,0.05,500.0,dp_avg_eps8_K20,0.3407,30.3,,,
A,mnist_mlp,43,0.1,25.0,no_phase0,0.5466,29.8,,,
A,mnist_mlp,43,0.1,25.0,warmup_only_labelled,0.2409,18.8,,,
A,mnist_mlp,43,0.1,25.0,labelled_probe_warmup,0.5269,30.3,,,
A,mnist_mlp,43,0.1,25.0,raw_union_K20,0.9092,30.9,,,
A,mnist_mlp,43,0.1,25.0,dp_avg_eps2_K20,0.5623,29.8,,,
A,mnist_mlp,43,0.1,25.0,dp_avg_eps8_K20,0.5688,29.7,,,
A,mnist_mlp,43,0.1,100.0,no_phase0,0.5446,29.9,,,
A,mnist_mlp,43,0.1,100.0,warmup_only_labelled,0.5308,18.7,,,
A,mnist_mlp,43,0.1,100.0,labelled_probe_warmup,0.5503,29.5,,,
A,mnist_mlp,43,0.1,100.0,raw_union_K20,0.9088,29.1,,,
A,mnist_mlp,43,0.1,100.0,dp_avg_eps2_K20,0.5215,29.9,,,
A,mnist_mlp,43,0.1,100.0,dp_avg_eps8_K20,0.5353,30.0,,,
A,mnist_mlp,43,0.1,500.0,no_phase0,0.5527,28.8,,,
A,mnist_mlp,43,0.1,500.0,warmup_only_labelled,0.7943,19.0,,,
A,mnist_mlp,43,0.1,500.0,labelled_probe_warmup,0.8242,28.5,,,
A,mnist_mlp,43,0.1,500.0,raw_union_K20,0.9126,29.7,,,
A,mnist_mlp,43,0.1,500.0,dp_avg_eps2_K20,0.5534,29.4,,,
A,mnist_mlp,43,0.1,500.0,dp_avg_eps8_K20,0.5714,29.6,,,
A,mnist_mlp,43,0.3,25.0,no_phase0,0.7666,30.0,,,
A,mnist_mlp,43,0.3,25.0,warmup_only_labelled,0.2409,18.4,,,
A,mnist_mlp,43,0.3,25.0,labelled_probe_warmup,0.7601,29.9,,,
A,mnist_mlp,43,0.3,25.0,raw_union_K20,0.9379,29.9,,,
A,mnist_mlp,43,0.3,25.0,dp_avg_eps2_K20,0.7749,29.7,,,
A,mnist_mlp,43,0.3,25.0,dp_avg_eps8_K20,0.7787,29.9,,,
A,mnist_mlp,43,0.3,100.0,no_phase0,0.7182,30.3,,,
A,mnist_mlp,43,0.3,100.0,warmup_only_labelled,0.5308,18.7,,,
A,mnist_mlp,43,0.3,100.0,labelled_probe_warmup,0.813,29.7,,,
A,mnist_mlp,43,0.3,100.0,raw_union_K20,0.9328,30.5,,,
A,mnist_mlp,43,0.3,100.0,dp_avg_eps2_K20,0.7413,30.0,,,
A,mnist_mlp,43,0.3,100.0,dp_avg_eps8_K20,0.7679,30.3,,,
A,mnist_mlp,43,0.3,500.0,no_phase0,0.7752,31.3,,,
A,mnist_mlp,43,0.3,500.0,warmup_only_labelled,0.7943,19.2,,,
A,mnist_mlp,43,0.3,500.0,labelled_probe_warmup,0.88,29.7,,,
A,mnist_mlp,43,0.3,500.0,raw_union_K20,0.9313,30.2,,,
A,mnist_mlp,43,0.3,500.0,dp_avg_eps2_K20,0.8094,29.6,,,
A,mnist_mlp,43,0.3,500.0,dp_avg_eps8_K20,0.8003,29.9,,,
A,mnist_mlp,43,1.0,25.0,no_phase0,0.859,30.9,,,
A,mnist_mlp,43,1.0,25.0,warmup_only_labelled,0.2409,18.8,,,
A,mnist_mlp,43,1.0,25.0,labelled_probe_warmup,0.8679,29.6,,,
A,mnist_mlp,43,1.0,25.0,raw_union_K20,0.9448,29.8,,,
A,mnist_mlp,43,1.0,25.0,dp_avg_eps2_K20,0.8661,30.7,,,
A,mnist_mlp,43,1.0,25.0,dp_avg_eps8_K20,0.8669,29.5,,,
A,mnist_mlp,43,1.0,100.0,no_phase0,0.8729,29.2,,,
A,mnist_mlp,43,1.0,100.0,warmup_only_labelled,0.5308,19.0,,,
A,mnist_mlp,43,1.0,100.0,labelled_probe_warmup,0.8858,30.0,,,
A,mnist_mlp,43,1.0,100.0,raw_union_K20,0.9422,30.2,,,
A,mnist_mlp,43,1.0,100.0,dp_avg_eps2_K20,0.885,29.9,,,
A,mnist_mlp,43,1.0,100.0,dp_avg_eps8_K20,0.8806,31.1,,,
A,mnist_mlp,43,1.0,500.0,no_phase0,0.8805,29.6,,,
A,mnist_mlp,43,1.0,500.0,warmup_only_labelled,0.7943,18.8,,,
A,mnist_mlp,43,1.0,500.0,labelled_probe_warmup,0.9039,29.5,,,
A,mnist_mlp,43,1.0,500.0,raw_union_K20,0.9472,29.7,,,
A,mnist_mlp,43,1.0,500.0,dp_avg_eps2_K20,0.8858,29.4,,,
A,mnist_mlp,43,1.0,500.0,dp_avg_eps8_K20,0.8797,30.3,,,
A,mnist_mlp,44,0.05,25.0,no_phase0,0.3332,29.9,,,
A,mnist_mlp,44,0.05,25.0,warmup_only_labelled,0.2285,19.4,,,
A,mnist_mlp,44,0.05,25.0,labelled_probe_warmup,0.3232,30.3,,,
A,mnist_mlp,44,0.05,25.0,raw_union_K20,0.8804,30.0,,,
A,mnist_mlp,44,0.05,25.0,dp_avg_eps2_K20,0.334,29.3,,,
A,mnist_mlp,44,0.05,25.0,dp_avg_eps8_K20,0.3976,29.3,,,
A,mnist_mlp,44,0.05,100.0,no_phase0,0.3577,29.1,,,
A,mnist_mlp,44,0.05,100.0,warmup_only_labelled,0.3203,18.9,,,
A,mnist_mlp,44,0.05,100.0,labelled_probe_warmup,0.5353,28.8,,,
A,mnist_mlp,44,0.05,100.0,raw_union_K20,0.8745,29.6,,,
A,mnist_mlp,44,0.05,100.0,dp_avg_eps2_K20,0.4626,30.2,,,
A,mnist_mlp,44,0.05,100.0,dp_avg_eps8_K20,0.4004,30.0,,,
A,mnist_mlp,44,0.05,500.0,no_phase0,0.6189,30.0,,,
A,mnist_mlp,44,0.05,500.0,warmup_only_labelled,0.8191,18.5,,,
A,mnist_mlp,44,0.05,500.0,labelled_probe_warmup,0.8524,30.3,,,
A,mnist_mlp,44,0.05,500.0,raw_union_K20,0.8929,30.1,,,
A,mnist_mlp,44,0.05,500.0,dp_avg_eps2_K20,0.6615,29.6,,,
A,mnist_mlp,44,0.05,500.0,dp_avg_eps8_K20,0.6035,29.9,,,
