alpha,probe_size,no_phase0_mean,no_phase0_std,warmup_only_labelled_mean,warmup_only_labelled_std,labelled_probe_warmup_mean,labelled_probe_warmup_std,raw_union_K20_mean,raw_union_K20_std,dp_avg_eps2_K20_mean,dp_avg_eps2_K20_std,dp_avg_eps8_K20_mean,dp_avg_eps8_K20_std,best_protocol_minus_warmup_only
0.05,25.0,0.3666,0.0305,0.2075,0.0475,0.3617,0.0575,0.8814,0.0045,0.3753,0.0395,0.4239,0.0433,0.6739
0.05,100.0,0.3671,0.0417,0.4275,0.1053,0.5588,0.0719,0.8596,0.0357,0.4582,0.0819,0.4294,0.0816,0.4321
0.05,500.0,0.4448,0.1627,0.804,0.0132,0.8477,0.0163,0.8824,0.0278,0.5398,0.1306,0.5022,0.1414,0.0783
0.1,25.0,0.628,0.0953,0.2075,0.0475,0.5998,0.0897,0.9141,0.009,0.6535,0.1114,0.6363,0.0802,0.7066
0.1,100.0,0.4643,0.0782,0.4275,0.1053,0.562,0.031,0.9114,0.0075,0.5097,0.0198,0.4972,0.0401,0.4839
0.1,500.0,0.5182,0.0966,0.804,0.0132,0.8437,0.018,0.9066,0.0067,0.5804,0.081,0.5839,0.0733,0.1025
0.3,25.0,0.7829,0.0263,0.2075,0.0475,0.7848,0.0236,0.9359,0.0022,0.7965,0.036,0.7948,0.0287,0.7284
0.3,100.0,0.7521,0.037,0.4275,0.1053,0.8105,0.0309,0.9361,0.0029,0.7687,0.0373,0.7809,0.0319,0.5086
0.3,500.0,0.7682,0.0065,0.804,0.0132,0.8882,0.0071,0.9364,0.0045,0.7982,0.0208,0.8031,0.0102,0.1324
1.0,25.0,0.865,0.0145,0.2075,0.0475,0.8695,0.0142,0.946,0.0021,0.8741,0.0132,0.8741,0.0115,0.7385
1.0,100.0,0.8682,0.0191,0.4275,0.1053,0.8834,0.0122,0.9451,0.0025,0.8791,0.0146,0.8785,0.0168,0.5176
1.0,500.0,0.8726,0.0145,0.804,0.0132,0.9085,0.004,0.9455,0.0015,0.8868,0.0093,0.8841,0.0094,0.1415
