alpha,probe_size,no_phase0,warmup_only_labelled,labelled_probe_warmup,raw_union_K20,dp_avg_eps2_K20,dp_avg_eps8_K20
0.05,25.0,0.3666,0.2075,0.3617,0.8814,0.3753,0.4239
0.05,100.0,0.3671,0.4275,0.5588,0.8596,0.4582,0.4294
0.05,500.0,0.4448,0.804,0.8477,0.8824,0.5398,0.5022
0.1,25.0,0.628,0.2075,0.5998,0.9141,0.6535,0.6363
0.1,100.0,0.4643,0.4275,0.562,0.9114,0.5097,0.4972
0.1,500.0,0.5182,0.804,0.8437,0.9066,0.5804,0.5839
0.3,25.0,0.7829,0.2075,0.7848,0.9359,0.7965,0.7948
0.3,100.0,0.7521,0.4275,0.8105,0.9361,0.7687,0.7809
0.3,500.0,0.7682,0.804,0.8882,0.9364,0.7982,0.8031
1.0,25.0,0.865,0.2075,0.8695,0.946,0.8741,0.8741
1.0,100.0,0.8682,0.4275,0.8834,0.9451,0.8791,0.8785
1.0,500.0,0.8726,0.804,0.9085,0.9455,0.8868,0.8841
