alpha,probe_size,no_phase0,warmup_only_labelled,labelled_probe_warmup,raw_union_K20,dp_avg_eps2_K20,dp_avg_eps8_K20
0.05,25.0,0.0305,0.0475,0.0575,0.0045,0.0395,0.0433
0.05,100.0,0.0417,0.1053,0.0719,0.0357,0.0819,0.0816
0.05,500.0,0.1627,0.0132,0.0163,0.0278,0.1306,0.1414
0.1,25.0,0.0953,0.0475,0.0897,0.009,0.1114,0.0802
0.1,100.0,0.0782,0.1053,0.031,0.0075,0.0198,0.0401
0.1,500.0,0.0966,0.0132,0.018,0.0067,0.081,0.0733
0.3,25.0,0.0263,0.0475,0.0236,0.0022,0.036,0.0287
0.3,100.0,0.037,0.1053,0.0309,0.0029,0.0373,0.0319
0.3,500.0,0.0065,0.0132,0.0071,0.0045,0.0208,0.0102
1.0,25.0,0.0145,0.0475,0.0142,0.0021,0.0132,0.0115
1.0,100.0,0.0191,0.1053,0.0122,0.0025,0.0146,0.0168
1.0,500.0,0.0145,0.0132,0.004,0.0015,0.0093,0.0094
