backbone,alpha,method,mean,std,count
resnet18,0.05,dp_avg_eps2_K20,0.19600000000000004,0.034807039517890624,3
resnet18,0.05,dp_avg_eps8_K20,0.20550000000000002,0.0349347964070209,3
resnet18,0.05,labelled_probe_warmup,0.20826666666666668,0.03145064917189046,3
resnet18,0.05,no_phase0,0.18710000000000002,0.033651002956821364,3
resnet18,0.05,raw_union_K20,0.5660666666666666,0.0479485488136328,3
resnet18,0.1,dp_avg_eps2_K20,0.38233333333333336,0.09204533303396392,3
resnet18,0.1,dp_avg_eps8_K20,0.3932,0.095926586512812,3
resnet18,0.1,labelled_probe_warmup,0.3936,0.09246399299186685,3
resnet18,0.1,no_phase0,0.3642,0.07901797263914079,3
resnet18,0.1,raw_union_K20,0.6534,0.05882099965148503,3
resnet18,0.3,dp_avg_eps2_K20,0.6314,0.040173249806307695,3
resnet18,0.3,dp_avg_eps8_K20,0.6371,0.040594704088095054,3
resnet18,0.3,labelled_probe_warmup,0.6345999999999999,0.042886711228537905,3
resnet18,0.3,no_phase0,0.6187,0.04593571595175153,3
resnet18,0.3,raw_union_K20,0.782,0.020098756180420715,3
resnet18,1.0,dp_avg_eps2_K20,0.7927,0.008674675786448783,3
resnet18,1.0,dp_avg_eps8_K20,0.7937666666666666,0.007943131204590193,3
resnet18,1.0,labelled_probe_warmup,0.7939666666666666,0.007903374806583116,3
resnet18,1.0,no_phase0,0.7915666666666666,0.00710234702991439,3
resnet18,1.0,raw_union_K20,0.8357666666666667,0.0025813433195399204,3
vit_b32,0.05,dp_avg_eps2_K20,0.6944333333333333,0.0380243781452548,3
vit_b32,0.05,dp_avg_eps8_K20,0.7868333333333334,0.0395708647028762,3
vit_b32,0.05,labelled_probe_warmup,0.8188666666666666,0.05131572208722519,3
vit_b32,0.05,no_phase0,0.5297333333333333,0.0978857156756456,3
vit_b32,0.05,raw_union_K20,0.9396666666666667,0.007184242015225654,3
vit_b32,0.1,dp_avg_eps2_K20,0.8362666666666666,0.05513114667167132,3
vit_b32,0.1,dp_avg_eps8_K20,0.8765000000000001,0.02353125581009232,3
vit_b32,0.1,labelled_probe_warmup,0.8838333333333334,0.02491271429076596,3
vit_b32,0.1,no_phase0,0.7793333333333333,0.07510168662109616,3
vit_b32,0.1,raw_union_K20,0.9489000000000001,0.0003464101615138174,3
vit_b32,0.3,dp_avg_eps2_K20,0.9366,0.008154140052758486,3
vit_b32,0.3,dp_avg_eps8_K20,0.9431666666666668,0.004562163229580142,3
vit_b32,0.3,labelled_probe_warmup,0.9439333333333333,0.005815783122962353,3
vit_b32,0.3,no_phase0,0.9312666666666667,0.00980221063502175,3
vit_b32,0.3,raw_union_K20,0.9599666666666667,0.0017039170558842637,3
vit_b32,1.0,dp_avg_eps2_K20,0.9620666666666667,0.0012013880860626954,3
vit_b32,1.0,dp_avg_eps8_K20,0.9627333333333334,0.0005773502691896744,3
vit_b32,1.0,labelled_probe_warmup,0.9625,0.00045825756949559413,3
vit_b32,1.0,no_phase0,0.9622999999999999,0.00045825756949559413,3
vit_b32,1.0,raw_union_K20,0.9659666666666666,0.0011503622617824775,3
