section,setup,seed,alpha,probe_size,method,acc,runtime_s,backbone,eps,K_per_class
B,cifar10_resnet18,42,0.05,,no_phase0,0.2109,9.9,resnet18,,
B,cifar10_resnet18,42,0.05,,labelled_probe_warmup,0.2316,9.4,resnet18,,
B,cifar10_resnet18,42,0.05,,raw_union_K20,0.5293,10.3,resnet18,,
B,cifar10_resnet18,42,0.05,,dp_avg_eps2_K20,0.2184,10.8,resnet18,,
B,cifar10_resnet18,42,0.05,,dp_avg_eps8_K20,0.2285,10.7,resnet18,,
B,cifar10_resnet18,42,0.1,,no_phase0,0.321,10.2,resnet18,,
B,cifar10_resnet18,42,0.1,,labelled_probe_warmup,0.3469,9.7,resnet18,,
B,cifar10_resnet18,42,0.1,,raw_union_K20,0.6209,9.7,resnet18,,
B,cifar10_resnet18,42,0.1,,dp_avg_eps2_K20,0.3309,10.2,resnet18,,
B,cifar10_resnet18,42,0.1,,dp_avg_eps8_K20,0.3446,9.7,resnet18,,
B,cifar10_resnet18,42,0.3,,no_phase0,0.6299,9.7,resnet18,,
B,cifar10_resnet18,42,0.3,,labelled_probe_warmup,0.6552,10.3,resnet18,,
B,cifar10_resnet18,42,0.3,,raw_union_K20,0.804,9.8,resnet18,,
B,cifar10_resnet18,42,0.3,,dp_avg_eps2_K20,0.6454,10.2,resnet18,,
B,cifar10_resnet18,42,0.3,,dp_avg_eps8_K20,0.6528,9.8,resnet18,,
B,cifar10_resnet18,42,1.0,,no_phase0,0.7834,9.6,resnet18,,
B,cifar10_resnet18,42,1.0,,labelled_probe_warmup,0.7849,9.9,resnet18,,
B,cifar10_resnet18,42,1.0,,raw_union_K20,0.8328,9.4,resnet18,,
B,cifar10_resnet18,42,1.0,,dp_avg_eps2_K20,0.7827,9.9,resnet18,,
B,cifar10_resnet18,42,1.0,,dp_avg_eps8_K20,0.7847,9.9,resnet18,,
B,cifar10_resnet18,43,0.05,,no_phase0,0.1486,10.2,resnet18,,
B,cifar10_resnet18,43,0.05,,labelled_probe_warmup,0.1725,9.7,resnet18,,
B,cifar10_resnet18,43,0.05,,raw_union_K20,0.5486,9.4,resnet18,,
B,cifar10_resnet18,43,0.05,,dp_avg_eps2_K20,0.1559,9.9,resnet18,,
B,cifar10_resnet18,43,0.05,,dp_avg_eps8_K20,0.1653,9.7,resnet18,,
