backbone,alpha,method,mean,std,count
distilbert,0.05,dp_avg_eps2_K20,0.37876666666666664,0.10036993241670203,3
distilbert,0.05,dp_avg_eps8_K20,0.3857,0.10119402156254094,3
distilbert,0.05,labelled_probe_warmup,0.38366666666666666,0.10339871050130815,3
distilbert,0.05,no_phase0,0.3524333333333334,0.10745833301021067,3
distilbert,0.05,raw_union_K20,0.5313333333333333,0.15466613505655763,3
distilbert,0.1,dp_avg_eps2_K20,0.5184666666666666,0.1606213663661635,3
distilbert,0.1,dp_avg_eps8_K20,0.5207,0.16152940908701427,3
distilbert,0.1,labelled_probe_warmup,0.517,0.16274774960041688,3
distilbert,0.1,no_phase0,0.5037666666666666,0.15958412619472317,3
distilbert,0.1,raw_union_K20,0.656,0.05671851549538293,3
distilbert,0.3,dp_avg_eps2_K20,0.6647333333333334,0.09708400142831632,3
distilbert,0.3,dp_avg_eps8_K20,0.6669,0.09771842200936327,3
distilbert,0.3,labelled_probe_warmup,0.6649666666666666,0.09859687283749591,3
distilbert,0.3,no_phase0,0.6558666666666667,0.0942305859757507,3
distilbert,0.3,raw_union_K20,0.7683,0.08303667864263357,3
distilbert,1.0,dp_avg_eps2_K20,0.8588333333333334,0.001877054430040157,3
distilbert,1.0,dp_avg_eps8_K20,0.8587333333333333,0.0013012814197295099,3
distilbert,1.0,labelled_probe_warmup,0.8583333333333334,0.0020502032419575946,3
distilbert,1.0,no_phase0,0.8569,0.0023579652245103748,3
distilbert,1.0,raw_union_K20,0.8708666666666667,0.002354428451521336,3
gpt2_small,0.05,dp_avg_eps2_K20,0.251,0.0017320508075688787,3
gpt2_small,0.05,dp_avg_eps8_K20,0.25,0.0,3
gpt2_small,0.05,labelled_probe_warmup,0.297,0.07686214933242495,3
gpt2_small,0.05,no_phase0,0.25,0.0,3
gpt2_small,0.05,raw_union_K20,0.25043333333333334,0.000750555349946519,3
gpt2_small,0.1,dp_avg_eps2_K20,0.32980000000000004,0.13847754330576492,3
gpt2_small,0.1,dp_avg_eps8_K20,0.25,0.0,3
gpt2_small,0.1,labelled_probe_warmup,0.25,0.0,3
gpt2_small,0.1,no_phase0,0.25,0.0,3
gpt2_small,0.1,raw_union_K20,0.2513666666666667,0.002367136103677465,3
gpt2_small,0.3,dp_avg_eps2_K20,0.3064,0.05911522646493034,3
gpt2_small,0.3,dp_avg_eps8_K20,0.25123333333333336,0.0018823743871327588,3
gpt2_small,0.3,labelled_probe_warmup,0.25,0.0,3
gpt2_small,0.3,no_phase0,0.2993666666666666,0.048523224679871954,3
gpt2_small,0.3,raw_union_K20,0.26,0.009457272334029496,3
gpt2_small,1.0,dp_avg_eps2_K20,0.2850333333333333,0.05817287454934077,3
gpt2_small,1.0,dp_avg_eps8_K20,0.2967666666666667,0.0558457100709923,3
gpt2_small,1.0,labelled_probe_warmup,0.251,0.0017320508075688787,3
gpt2_small,1.0,no_phase0,0.26816666666666666,0.027880160209965327,3
gpt2_small,1.0,raw_union_K20,0.26106666666666667,0.018821884425671426,3
