section,setup,seed,alpha,probe_size,method,acc,runtime_s,backbone,eps,K_per_class
C,ag_news_distilbert,42,0.05,,no_phase0,0.3245,14.4,distilbert,,
C,ag_news_distilbert,42,0.05,,labelled_probe_warmup,0.4076,14.7,distilbert,,
C,ag_news_distilbert,42,0.05,,raw_union_K20,0.6778,14.3,distilbert,,
C,ag_news_distilbert,42,0.05,,dp_avg_eps2_K20,0.3911,14.8,distilbert,,
C,ag_news_distilbert,42,0.05,,dp_avg_eps8_K20,0.4099,14.6,distilbert,,
C,ag_news_distilbert,42,0.1,,no_phase0,0.3195,14.9,distilbert,,
C,ag_news_distilbert,42,0.1,,labelled_probe_warmup,0.3291,14.3,distilbert,,
C,ag_news_distilbert,42,0.1,,raw_union_K20,0.5907,14.6,distilbert,,
C,ag_news_distilbert,42,0.1,,dp_avg_eps2_K20,0.333,14.2,distilbert,,
C,ag_news_distilbert,42,0.1,,dp_avg_eps8_K20,0.3342,14.7,distilbert,,
C,ag_news_distilbert,42,0.3,,no_phase0,0.7593,14.5,distilbert,,
C,ag_news_distilbert,42,0.3,,labelled_probe_warmup,0.7734,14.1,distilbert,,
C,ag_news_distilbert,42,0.3,,raw_union_K20,0.8628,15.4,distilbert,,
C,ag_news_distilbert,42,0.3,,dp_avg_eps2_K20,0.7717,15.0,distilbert,,
C,ag_news_distilbert,42,0.3,,dp_avg_eps8_K20,0.7749,14.9,distilbert,,
C,ag_news_distilbert,42,1.0,,no_phase0,0.8589,14.0,distilbert,,
C,ag_news_distilbert,42,1.0,,labelled_probe_warmup,0.8604,14.0,distilbert,,
C,ag_news_distilbert,42,1.0,,raw_union_K20,0.8733,14.3,distilbert,,
C,ag_news_distilbert,42,1.0,,dp_avg_eps2_K20,0.8605,14.8,distilbert,,
C,ag_news_distilbert,42,1.0,,dp_avg_eps8_K20,0.86,15.1,distilbert,,
C,ag_news_distilbert,43,0.05,,no_phase0,0.2617,14.7,distilbert,,
C,ag_news_distilbert,43,0.05,,labelled_probe_warmup,0.2704,13.6,distilbert,,
C,ag_news_distilbert,43,0.05,,raw_union_K20,0.3696,14.2,distilbert,,
C,ag_news_distilbert,43,0.05,,dp_avg_eps2_K20,0.2728,14.3,distilbert,,
C,ag_news_distilbert,43,0.05,,dp_avg_eps8_K20,0.2746,14.7,distilbert,,
C,ag_news_distilbert,43,0.1,,no_phase0,0.5971,14.4,distilbert,,
C,ag_news_distilbert,43,0.1,,labelled_probe_warmup,0.6136,14.3,distilbert,,
C,ag_news_distilbert,43,0.1,,raw_union_K20,0.693,14.4,distilbert,,
C,ag_news_distilbert,43,0.1,,dp_avg_eps2_K20,0.6103,14.5,distilbert,,
C,ag_news_distilbert,43,0.1,,dp_avg_eps8_K20,0.6162,14.4,distilbert,,
C,ag_news_distilbert,43,0.3,,no_phase0,0.6334,15.2,distilbert,,
C,ag_news_distilbert,43,0.3,,labelled_probe_warmup,0.6408,14.7,distilbert,,
C,ag_news_distilbert,43,0.3,,raw_union_K20,0.707,15.1,distilbert,,
C,ag_news_distilbert,43,0.3,,dp_avg_eps2_K20,0.6403,14.4,distilbert,,
C,ag_news_distilbert,43,0.3,,dp_avg_eps8_K20,0.6412,14.7,distilbert,,
C,ag_news_distilbert,43,1.0,,no_phase0,0.8543,14.6,distilbert,,
C,ag_news_distilbert,43,1.0,,labelled_probe_warmup,0.8563,14.7,distilbert,,
C,ag_news_distilbert,43,1.0,,raw_union_K20,0.8707,14.4,distilbert,,
C,ag_news_distilbert,43,1.0,,dp_avg_eps2_K20,0.8568,14.6,distilbert,,
C,ag_news_distilbert,43,1.0,,dp_avg_eps8_K20,0.8574,14.3,distilbert,,
C,ag_news_distilbert,44,0.05,,no_phase0,0.4711,12.9,distilbert,,
