section,setup,seed,alpha,probe_size,method,acc,runtime_s,backbone,eps,K_per_class
D,cifar10_vit_b32,42,0.05,,dp_avg_eps0.5_K1,0.2544,10.2,vit_b32,0.5,1.0
D,cifar10_vit_b32,42,0.05,,dp_avg_eps0.5_K5,0.3171,10.4,vit_b32,0.5,5.0
D,cifar10_vit_b32,42,0.05,,dp_avg_eps0.5_K20,0.5384,10.7,vit_b32,0.5,20.0
D,cifar10_vit_b32,42,0.05,,dp_avg_eps2.0_K1,0.3287,10.0,vit_b32,2.0,1.0
D,cifar10_vit_b32,42,0.05,,dp_avg_eps2.0_K5,0.5607,10.6,vit_b32,2.0,5.0
D,cifar10_vit_b32,42,0.05,,dp_avg_eps2.0_K20,0.7017,10.1,vit_b32,2.0,20.0
D,cifar10_vit_b32,42,0.05,,dp_avg_eps8.0_K1,0.5073,10.9,vit_b32,8.0,1.0
D,cifar10_vit_b32,42,0.05,,dp_avg_eps8.0_K5,0.6959,10.5,vit_b32,8.0,5.0
D,cifar10_vit_b32,42,0.05,,dp_avg_eps8.0_K20,0.7773,10.8,vit_b32,8.0,20.0
D,cifar10_vit_b32,42,0.05,,dp_avg_eps32.0_K1,0.6351,10.5,vit_b32,32.0,1.0
D,cifar10_vit_b32,42,0.05,,dp_avg_eps32.0_K5,0.7843,10.9,vit_b32,32.0,5.0
D,cifar10_vit_b32,42,0.05,,dp_avg_eps32.0_K20,0.8043,10.3,vit_b32,32.0,20.0
D,cifar10_vit_b32,42,0.05,,dp_avg_epsinf_K1,0.7914,10.1,vit_b32,inf,1.0
D,cifar10_vit_b32,42,0.05,,dp_avg_epsinf_K5,0.8053,10.3,vit_b32,inf,5.0
D,cifar10_vit_b32,42,0.05,,dp_avg_epsinf_K20,0.8068,10.4,vit_b32,inf,20.0
D,cifar10_vit_b32,42,0.1,,dp_avg_eps0.5_K1,0.3331,10.3,vit_b32,0.5,1.0
D,cifar10_vit_b32,42,0.1,,dp_avg_eps0.5_K5,0.4579,10.3,vit_b32,0.5,5.0
