backbone,N,alpha,method,seed,lambda,acc
mlp_mnist,10,0.05,raw_union_K20,42,0.0,0.8698
mlp_mnist,10,0.05,raw_union_K20,42,0.25,0.8702
mlp_mnist,10,0.05,raw_union_K20,42,0.5,0.8681
mlp_mnist,10,0.05,raw_union_K20,42,0.75,0.8606
mlp_mnist,10,0.05,raw_union_K20,42,1.0,0.8466
mlp_mnist,10,0.05,raw_union_K20,42,1.25,0.8258
mlp_mnist,10,0.05,raw_union_K20,42,1.5,0.804
mlp_mnist,10,0.05,raw_union_K20,42,1.75,0.7803
mlp_mnist,10,0.05,raw_union_K20,42,2.0,0.756
mlp_mnist,10,0.05,raw_union_K20,43,0.0,0.8132
mlp_mnist,10,0.05,raw_union_K20,43,0.25,0.8261
mlp_mnist,10,0.05,raw_union_K20,43,0.5,0.8346
mlp_mnist,10,0.05,raw_union_K20,43,0.75,0.8403
mlp_mnist,10,0.05,raw_union_K20,43,1.0,0.8445
mlp_mnist,10,0.05,raw_union_K20,43,1.25,0.8492
mlp_mnist,10,0.05,raw_union_K20,43,1.5,0.8515
mlp_mnist,10,0.05,raw_union_K20,43,1.75,0.8455
mlp_mnist,10,0.05,raw_union_K20,43,2.0,0.8352
mlp_mnist,10,0.05,raw_union_K20,44,0.0,0.7815
mlp_mnist,10,0.05,raw_union_K20,44,0.25,0.8062
mlp_mnist,10,0.05,raw_union_K20,44,0.5,0.8272
mlp_mnist,10,0.05,raw_union_K20,44,0.75,0.843
mlp_mnist,10,0.05,raw_union_K20,44,1.0,0.8435
mlp_mnist,10,0.05,raw_union_K20,44,1.25,0.8333
mlp_mnist,10,0.05,raw_union_K20,44,1.5,0.8147
mlp_mnist,10,0.05,raw_union_K20,44,1.75,0.792
mlp_mnist,10,0.05,raw_union_K20,44,2.0,0.767
mlp_mnist,10,0.3,raw_union_K20,42,0.0,0.9017
mlp_mnist,10,0.3,raw_union_K20,42,0.25,0.9117
mlp_mnist,10,0.3,raw_union_K20,42,0.5,0.9204
mlp_mnist,10,0.3,raw_union_K20,42,0.75,0.9261
mlp_mnist,10,0.3,raw_union_K20,42,1.0,0.9249
mlp_mnist,10,0.3,raw_union_K20,42,1.25,0.9242
mlp_mnist,10,0.3,raw_union_K20,42,1.5,0.9222
mlp_mnist,10,0.3,raw_union_K20,42,1.75,0.9179
mlp_mnist,10,0.3,raw_union_K20,42,2.0,0.9082
mlp_mnist,10,0.3,raw_union_K20,43,0.0,0.8809
mlp_mnist,10,0.3,raw_union_K20,43,0.25,0.8992
mlp_mnist,10,0.3,raw_union_K20,43,0.5,0.9104
mlp_mnist,10,0.3,raw_union_K20,43,0.75,0.9208
mlp_mnist,10,0.3,raw_union_K20,43,1.0,0.9259
mlp_mnist,10,0.3,raw_union_K20,43,1.25,0.9274
mlp_mnist,10,0.3,raw_union_K20,43,1.5,0.9254
mlp_mnist,10,0.3,raw_union_K20,43,1.75,0.9172
mlp_mnist,10,0.3,raw_union_K20,43,2.0,0.9064
mlp_mnist,10,0.3,raw_union_K20,44,0.0,0.8885
mlp_mnist,10,0.3,raw_union_K20,44,0.25,0.9083
mlp_mnist,10,0.3,raw_union_K20,44,0.5,0.9209
mlp_mnist,10,0.3,raw_union_K20,44,0.75,0.9262
mlp_mnist,10,0.3,raw_union_K20,44,1.0,0.9266
mlp_mnist,10,0.3,raw_union_K20,44,1.25,0.9233
mlp_mnist,10,0.3,raw_union_K20,44,1.5,0.9145
mlp_mnist,10,0.3,raw_union_K20,44,1.75,0.8993
mlp_mnist,10,0.3,raw_union_K20,44,2.0,0.8797
mlp_mnist,10,1.0,raw_union_K20,42,0.0,0.8963
mlp_mnist,10,1.0,raw_union_K20,42,0.25,0.9162
mlp_mnist,10,1.0,raw_union_K20,42,0.5,0.9282
mlp_mnist,10,1.0,raw_union_K20,42,0.75,0.937
mlp_mnist,10,1.0,raw_union_K20,42,1.0,0.939
mlp_mnist,10,1.0,raw_union_K20,42,1.25,0.9386
mlp_mnist,10,1.0,raw_union_K20,42,1.5,0.9333
mlp_mnist,10,1.0,raw_union_K20,42,1.75,0.9257
mlp_mnist,10,1.0,raw_union_K20,42,2.0,0.9144
mlp_mnist,10,1.0,raw_union_K20,43,0.0,0.9146
mlp_mnist,10,1.0,raw_union_K20,43,0.25,0.923
mlp_mnist,10,1.0,raw_union_K20,43,0.5,0.9292
mlp_mnist,10,1.0,raw_union_K20,43,0.75,0.9344
mlp_mnist,10,1.0,raw_union_K20,43,1.0,0.9386
