backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,agg_method,agg_depth,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,dare,depth-1,0.8062,0.33282,0.5696,0.9735,0.8698,-0.19003830235748834,0,10,"[-0.004608294930875556, -0.3712470412358291, -0.3966300366300366, -0.13904982618771722, -0.34406438631790737, -0.1528283796740172, -0.04308809913823797, -0.1428571428571428, -0.2711931705380186, -0.03481664606510093]","[0.9493087557603687, 0.6268842656035879, 0.5973626373626374, 0.8559289300888374, 0.654728370221328, 0.8436241610738255, 0.9486503810269924, 0.815668202764977, 0.7256303355171729, 0.9637412443345694]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.801198436104257,10,"[0.7883074611917876, 0.8588469184890656, 0.8255377935662127, 0.7542816365366318, 0.8555978369717605, 0.7528409090909091, 0.6850233692338955, 0.87581589958159, 0.8814742653028089, 0.7342582710779082]",23.103488445281982,17.0395450592041,0.15928363800048828,5.19829535484314,0.004887580871582031,0.24031901359558105,,8fff940c0e30,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,lambda_scaled,depth-1,0.8608,0.33282,0.5696,0.9735,0.8698,-0.12661679855441285,0,10,"[-0.004608294930875556, -0.30434782608695654, -0.2249084249084249, -0.11870735161581047, -0.21046277665995972, -0.11697027804410354, -0.051349618973007605, -0.04608294930875567, -0.152471709350804, -0.036258755665430575]","[0.9493087557603687, 0.6937834807524604, 0.7690842490842491, 0.8762714046607442, 0.7883299798792757, 0.8794822627037392, 0.9403888611922228, 0.9124423963133641, 0.8443517967043875, 0.9622991347342398]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.8493132315423567,10,"[0.8482724086129194, 0.878727634194831, 0.8565225971975527, 0.8496669838249287, 0.873022231123573, 0.8317179144385026, 0.7833773623247308, 0.8893723849372385, 0.9017697678194512, 0.7806830309498399]",22.91212487220764,16.7384090423584,0.15064311027526855,5.354104518890381,0.0056095123291015625,0.26561450958251953,,8fff940c0e30,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,weight_avg,depth-1,0.8095,0.33282,0.5696,0.9735,0.8698,-0.1871100539333268,0,10,"[-0.009216589861751112, -0.3589136663759811, -0.38681318681318677, -0.14188232264709666, -0.3448692152917505, -0.1521572387344199, -0.04358663912826721, -0.13824884792626724, -0.262656343061346, -0.032756489493201424]","[0.9447004608294931, 0.6392176404634359, 0.6071794871794872, 0.853096433629458, 0.6539235412474849, 0.8442953020134228, 0.9481518410369631, 0.8202764976958525, 0.7341671629938455, 0.9658014009064689]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.8048853465688932,10,"[0.793064596895343, 0.8561961563949636, 0.8279060588119203, 0.7604662226450999, 0.8588023232525536, 0.7588569518716578, 0.6927453769559033, 0.8784937238493724, 0.8795258970612112, 0.7427961579509071]",24.93557119369507,16.937909603118896,0.18976998329162598,5.489752292633057,0.0017123222351074219,0.3089916706085205,,8fff940c0e30,success,
mlp_mnist,MNIST,10,0.05,43,300,4.0,raw_union_K20,raw_union,719,0.0,dare,depth-1,0.842,0.33494,0.573,0.9747,0.8132,-0.1256951285266709,0,10,"[-0.12413793103448278, -0.07955482275350367, -0.10535019455252925, -0.3045568871134784, -0.10490259045172334, -0.03954613716002009, -0.05051179350244772, 0.0, -0.12306079664570235, -0.32533013205282113]","[0.874085684430512, 0.9196207749381698, 0.8899805447470817, 0.6906347092765202, 0.8931706272746736, 0.9599532788252961, 0.9441477525589675, 1.0, 0.8737945492662473, 0.6713085234093638]","[0.9982236154649948, 0.9991755976916735, 0.9953307392996109, 0.9951915963899985, 0.9980732177263969, 0.9994994159853162, 0.9946595460614153, 1.0, 0.9968553459119497, 0.9966386554621849]",0.8252862214760603,9,"[0.81878908470722, 0.7921275211450879, 0.775844930417495, 0.8559744663873928, 0.810064935064935, 0.9343699515347335, 0.84521484375, 0.8175508180466039, 0.7776394422310757, null]",23.45978355407715,17.439800262451172,0.1681838035583496,5.286121845245361,0.0008635520935058594,0.2238328456878662,,8fff940c0e30,success,
mlp_mnist,MNIST,10,0.05,43,300,4.0,raw_union_K20,raw_union,719,0.0,lambda_scaled,depth-1,0.8417,0.33494,0.573,0.9747,0.8132,-0.12135319979366992,0,10,"[-0.10658307210031348, -0.11459192085737835, -0.18112840466926072, -0.3260097647581003, -0.06679511881824018, -0.039379275821792126, -0.05318202047174014, 0.0, -0.10377358490566035, -0.22208883553421366]","[0.8916405433646813, 0.8845836768342952, 0.8142023346303502, 0.6691818316318983, 0.9312780989081567, 0.9601201401635241, 0.9414775255896751, 1.0, 0.8930817610062893, 0.7745498199279712]","[0.9982236154649948, 0.9991755976916735, 0.9953307392996109, 0.9951915963899985, 0.9980732177263969, 0.9994994159853162, 0.9946595460614153, 1.0, 0.9968553459119497, 0.9966386554621849]",0.8359492182664463,9,"[0.8084138715179079, 0.8204294079375407, 0.8648111332007953, 0.8611609814482346, 0.8136363636363636, 0.9327544426494345, 0.85107421875, 0.8227565691621219, 0.7485059760956175, null]",22.901939153671265,17.003393173217773,0.15391159057617188,5.154787302017212,0.0007674694061279297,0.24020600318908691,,8fff940c0e30,success,
mlp_mnist,MNIST,10,0.05,43,300,4.0,raw_union_K20,raw_union,719,0.0,weight_avg,depth-1,0.8366,0.33494,0.573,0.9747,0.8132,-0.12956701001038384,0,10,"[-0.12361546499477538, -0.07831821929101401, -0.10447470817120619, -0.3134339399319426, -0.10768572040248336, -0.04054730518938765, -0.05073431241655546, 0.0, -0.12872117400419292, -0.3481392557022809]","[0.8746081504702194, 0.9208573784006595, 0.8908560311284047, 0.681757656458056, 0.8903874973239135, 0.9589521107959286, 0.9439252336448598, 1.0, 0.8681341719077568, 0.648499399759904]","[0.9982236154649948, 0.9991755976916735, 0.9953307392996109, 0.9951915963899985, 0.9980732177263969, 0.9994994159853162, 0.9946595460614153, 1.0, 0.9968553459119497, 0.9966386554621849]",0.8187790368637008,9,"[0.8121091529277998, 0.7836694860117112, 0.7649105367793241, 0.8511869140235389, 0.8017857142857143, 0.9331583198707593, 0.8401692708333334, 0.8111056023797719, 0.7709163346613546, null]",22.72481679916382,16.834717273712158,0.1656486988067627,5.1623992919921875,0.0013225078582763672,0.22683143615722656,,8fff940c0e30,success,
mlp_mnist,MNIST,10,0.05,44,300,4.0,raw_union_K20,raw_union,770,0.0,dare,depth-1,0.7896,0.32920999999999995,0.4505,0.9776,0.7815,-0.18765638264048018,0,10,"[-0.1883708928264235, -0.05837387074357192, -0.18726926949323186, -0.1661380824591363, -0.3978616709244016, -0.19349722442505946, -0.22404174914522224, -0.09636261891438169, -0.05997931747673213, -0.304669129996641]","[0.8078444864957853, 0.9416261292564281, 0.8115001678040049, 0.8150768480117102, 0.5944744062825243, 0.8038593708696802, 0.7714594205506569, 0.9030777839955232, 0.9395036194415719, 0.6897883775613033]","[0.9962153793222088, 1.0, 0.9987694372972368, 0.9812149304708465, 0.992336077206926, 0.9973565952947396, 0.9955011696958791, 0.9994404029099049, 0.999482936918304, 0.9944575075579443]",0.7426711858349652,10,"[0.7777960797232746, 0.7373239436619718, 0.804253643166601, 0.8899747793190416, 0.8409547738693467, 0.7000746083063915, 0.7026333789329685, 0.7928131416837783, 0.7476226226226226, 0.433264887063655]",23.11921215057373,16.71519422531128,0.13873076438903809,5.70344614982605,0.0009679794311523438,0.23881149291992188,,8fff940c0e30,success,
mlp_mnist,MNIST,10,0.05,44,300,4.0,raw_union_K20,raw_union,770,0.0,lambda_scaled,depth-1,0.8441,0.32920999999999995,0.4505,0.9776,0.7815,-0.15435755915618254,0,10,"[-0.08394976776191299, -0.06763956451239284, -0.08334265577805122, -0.14954867040741637, -0.2797804901125934, -0.19429024583663757, -0.23034011157099155, -0.10710688304420823, -0.07549120992761116, -0.2720859926100101]","[0.9122656115602958, 0.9323604354876072, 0.9154267815191856, 0.8316662600634301, 0.7125555870943325, 0.8030663494581021, 0.7651610581248875, 0.8923335198656966, 0.9239917269906929, 0.7223715149479342]","[0.9962153793222088, 1.0, 0.9987694372972368, 0.9812149304708465, 0.992336077206926, 0.9973565952947396, 0.9955011696958791, 0.9994404029099049, 0.999482936918304, 0.9944575075579443]",0.8098406376280096,10,"[0.8166694119584912, 0.8209859154929577, 0.8105553367467507, 0.8883984867591425, 0.8527638190954774, 0.769211638895797, 0.7990766073871409, 0.8609856262833676, 0.8185685685685685, 0.6611909650924025]",23.148085355758667,16.906352043151855,0.21158766746520996,5.473570108413696,0.0007479190826416016,0.22869634628295898,,8fff940c0e30,success,
mlp_mnist,MNIST,10,0.05,44,300,4.0,raw_union_K20,raw_union,770,0.0,weight_avg,depth-1,0.8004,0.32920999999999995,0.4505,0.9776,0.7815,-0.18039252372162912,0,10,"[-0.16910373301221404, -0.05814222839935135, -0.1669090502293321, -0.1668699682849475, -0.39218469107768006, -0.1895321173671689, -0.205506568292244, -0.09468382764409622, -0.06153050672182003, -0.29946254618743706]","[0.8271116463099948, 0.9418577716006487, 0.8318603870679047, 0.814344962185899, 0.6001513861292459, 0.8078244779275707, 0.7899946014036351, 0.9047565752658087, 0.937952430196484, 0.6949949613705072]","[0.9962153793222088, 1.0, 0.9987694372972368, 0.9812149304708465, 0.992336077206926, 0.9973565952947396, 0.9955011696958791, 0.9994404029099049, 0.999482936918304, 0.9944575075579443]",0.7531926659994436,10,"[0.7820787349695273, 0.7523943661971831, 0.8125246159905475, 0.900063051702396, 0.8444723618090453, 0.712509326038299, 0.7154582763337893, 0.8039014373716632, 0.7608858858858859, 0.44763860369609854]",23.78461742401123,17.802315711975098,0.1599271297454834,5.245473623275757,0.0014128684997558594,0.22466444969177246,,8fff940c0e30,success,
mlp_mnist,MNIST,10,0.3,42,300,4.0,raw_union_K20,raw_union,1534,0.0,dare,depth-1,0.9282,0.6729800000000001,0.8482,0.9735,0.9017,-0.06133925440852826,0,10,"[-0.04066288169403098, -0.05241635687732349, -0.06198217094913483, -0.05965163445478405, -0.036317567567567544, -0.06279532454613279, -0.04879793932455634, -0.12347117064647639, -0.03300888700804061, -0.09428861101723562]","[0.9536596593524628, 0.9318463444857497, 0.9264813843733612, 0.9333094726795514, 0.957347972972973, 0.9215369311116638, 0.936033199771036, 0.8695398951659872, 0.9534490055014812, 0.895234876647516]","[0.9943225410464938, 0.9842627013630731, 0.9884635553224961, 0.9929611071343355, 0.9936655405405406, 0.9843322556577966, 0.9848311390955924, 0.9930110658124636, 0.9864578925095218, 0.9895234876647516]",0.90890914127482,7,"[0.9183480453972257, 0.9210944957047407, 0.8183856502242153, null, 0.9353182751540041, 0.937015503875969, 0.9204081632653062, 0.9117938553022795, null, null]",23.33692717552185,16.98520803451538,0.2360677719116211,5.567837238311768,0.0008015632629394531,0.2067852020263672,,8fff940c0e30,success,
