backbone,N,alpha,method,seed,optimizer,student_lr,acc,delta_norm_spread,delta_pairwise_cosine_mean,status
mlp_mnist,10,0.05,raw_union_K20,42,sgd,,0.8466,0.1462129622134266,0.10856848187862499,success
mlp_mnist,10,0.05,raw_union_K20,42,adam,0.0001,0.837,0.07192158753243899,0.13542968429734237,success
mlp_mnist,10,0.05,raw_union_K20,42,adamw,0.0001,0.837,0.07192912904023652,0.1355497089037179,success
mlp_mnist,10,0.05,raw_union_K20,42,rmsprop,0.0001,0.8252,0.05281741817807527,0.15434846043517164,success
mlp_mnist,10,0.05,raw_union_K20,42,adam,0.0003,0.8244,0.07576026477364586,0.1211806236281628,success
mlp_mnist,10,0.05,raw_union_K20,42,adamw,0.0003,0.824,0.07586127562388535,0.12115654833338468,success
mlp_mnist,10,0.05,raw_union_K20,42,rmsprop,0.0003,0.8238,0.08056490297903918,0.11857222776914972,success
mlp_mnist,10,0.05,raw_union_K20,42,adam,0.001,0.7987,0.12399326769688682,0.08540976132360312,success
mlp_mnist,10,0.05,raw_union_K20,42,adamw,0.001,0.7981,0.12469890939042753,0.08581236744328075,success
mlp_mnist,10,0.05,raw_union_K20,42,lamb,0.001,0.8387,0.04631266536507187,0.1552471737844479,success
mlp_mnist,10,0.05,raw_union_K20,42,rmsprop,0.001,0.8245,0.12334229679663239,0.07373069597083928,success
mlp_mnist,10,0.05,raw_union_K20,42,adagrad,0.003,0.8261,0.06762427557319908,0.12387559760019844,success
mlp_mnist,10,0.05,raw_union_K20,42,lamb,0.003,0.8199,0.08426520465732393,0.1066795847457694,success
mlp_mnist,10,0.05,raw_union_K20,42,sgd,0.03,0.8514,0.20068271418017247,0.11885990757567703,success
mlp_mnist,10,0.05,raw_union_K20,42,adagrad,0.03,0.7193,0.07155199579728319,0.13658411106947319,success
mlp_mnist,10,0.05,raw_union_K20,42,nesterov,0.03,0.1021,1.1811538585690264,0.12734794200168634,success
mlp_mnist,10,0.05,raw_union_K20,42,sgd_momentum,0.03,0.4297,1.0710861658894166,0.1518786269908205,success
mlp_mnist,10,0.05,raw_union_K20,42,sgd,0.1,0.098,nan,0.04117745443886101,success
mlp_mnist,10,0.05,raw_union_K20,42,nesterov,0.1,0.098,nan,-0.0016302527000821073,success
mlp_mnist,10,0.05,raw_union_K20,42,sgd_momentum,0.1,0.098,nan,0.002806216802790993,success
mlp_mnist,10,0.05,raw_union_K20,42,adagrad,,0.8222,0.11243314438224551,0.0677634155469134,success
mlp_mnist,10,0.05,raw_union_K20,42,lamb,,0.7776,0.057089310242070486,0.1160039748220996,success
mlp_mnist,10,0.05,raw_union_K20,42,nesterov,,0.8211,0.17701613302003177,0.11462862931029753,success
mlp_mnist,10,0.05,raw_union_K20,42,sgd_momentum,,0.8095,0.18817688799822255,0.12441953537967831,success
mlp_mnist,10,1.0,raw_union_K20,42,sgd,,0.939,0.06464904668785583,0.38748666440753965,success
mlp_mnist,10,1.0,raw_union_K20,42,adam,0.0001,0.9349,0.040012844673091054,0.401081943243624,success
mlp_mnist,10,1.0,raw_union_K20,42,adamw,0.0001,0.9349,0.03994873548178047,0.4011103537923731,success
mlp_mnist,10,1.0,raw_union_K20,42,rmsprop,0.0001,0.9383,0.036512837964272446,0.39237458253203755,success
mlp_mnist,10,1.0,raw_union_K20,42,adam,0.0003,0.9427,0.03176544340141742,0.3617718712092469,success
mlp_mnist,10,1.0,raw_union_K20,42,adamw,0.0003,0.9424,0.03199724728335689,0.3615483237788121,success
mlp_mnist,10,1.0,raw_union_K20,42,rmsprop,0.0003,0.9456,0.025194285135516453,0.319778384783746,success
mlp_mnist,10,1.0,raw_union_K20,42,adam,0.001,0.9508,0.03314990577881877,0.27082307577330467,success
mlp_mnist,10,1.0,raw_union_K20,42,adamw,0.001,0.9508,0.03245492554841911,0.2708841484904539,success
mlp_mnist,10,1.0,raw_union_K20,42,lamb,0.001,0.9379,0.022986036704319313,0.38139671517545065,success
mlp_mnist,10,1.0,raw_union_K20,42,rmsprop,0.001,0.9473,0.03351520945076678,0.20855286342531165,success
mlp_mnist,10,1.0,raw_union_K20,42,adagrad,0.003,0.9436,0.027047429945220604,0.3251519644820822,success
mlp_mnist,10,1.0,raw_union_K20,42,lamb,0.003,0.9489,0.02474397211172907,0.31401653866272156,success
mlp_mnist,10,1.0,raw_union_K20,42,sgd,0.03,0.9456,0.07165639165789163,0.3645847353978234,success
mlp_mnist,10,1.0,raw_union_K20,42,adagrad,0.03,0.818,0.026930661741026065,0.18163034921275922,success
mlp_mnist,10,1.0,raw_union_K20,42,nesterov,0.03,0.8684,0.28552758636080416,0.22488447939644465,success
mlp_mnist,10,1.0,raw_union_K20,42,sgd_momentum,0.03,0.9504,0.14077767846331243,0.2743776091785959,success
mlp_mnist,10,1.0,raw_union_K20,42,sgd,0.1,0.6628,0.748140934308557,0.16640894254016111,success
mlp_mnist,10,1.0,raw_union_K20,42,nesterov,0.1,0.098,nan,0.006236998150935195,success
mlp_mnist,10,1.0,raw_union_K20,42,sgd_momentum,0.1,0.1025,1.8226604363070615,0.022185734168605257,success
mlp_mnist,10,1.0,raw_union_K20,42,adagrad,,0.9461,0.03220683189189603,0.20133814848741405,success
mlp_mnist,10,1.0,raw_union_K20,42,lamb,,0.952,0.02270807220592638,0.2514998854978619,success
mlp_mnist,10,1.0,raw_union_K20,42,nesterov,,0.9514,0.07936665030349119,0.31622508211512534,success
mlp_mnist,10,1.0,raw_union_K20,42,sgd_momentum,,0.9509,0.08483223192329388,0.3169746683319353,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,sgd,,0.7709,0.03940473769056978,0.12231383393826054,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,adam,0.0001,0.7692,0.061722564620630145,0.2350410449481766,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,adamw,0.0001,0.7692,0.06170793931720612,0.23522503002755682,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,rmsprop,0.0001,0.7531,0.03736088166766673,0.2730055593158912,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,adam,0.0003,0.7396,0.03378692695269287,0.2965734046984271,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,adamw,0.0003,0.7396,0.03379255779230714,0.29703033749126084,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,rmsprop,0.0003,0.6867,0.02437251028660482,0.36397961053515515,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,adam,0.001,0.6544,0.03264068255275406,0.3807403599274512,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,adamw,0.001,0.6535,0.032633227045223145,0.3818754430483578,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,lamb,0.001,0.7785,0.04744831256119102,0.23086922443464222,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,rmsprop,0.001,0.5554,0.011263354439181998,0.4326105862159804,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,adagrad,0.003,0.7206,0.026993344733655392,0.3237978108867531,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,lamb,0.003,0.7235,0.02560881922027558,0.31826788274235673,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,sgd,0.03,0.7586,0.03747623829585849,0.24358524668892367,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,adagrad,0.03,0.5302,0.04964376717490714,0.44513385195103594,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,nesterov,0.03,0.6709,0.027711500503881464,0.37125632604287984,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,sgd_momentum,0.03,0.6735,0.050534419042126424,0.3853715680925005,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,sgd,0.1,0.724,0.12543738006620933,0.12266979561709082,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,nesterov,0.1,0.4272,0.06264367172972249,0.004162198955497369,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,sgd_momentum,0.1,0.4638,0.10948421368366992,0.006148459267783044,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,adagrad,,0.6259,0.011758154070188943,0.39614243953445144,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,lamb,,0.5385,0.01306273841444694,0.4312375976522663,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,nesterov,,0.7259,0.04478577097869389,0.3289377941791668,success
vit_b32_cifar100,10,0.05,raw_union_K20,42,sgd_momentum,,0.7265,0.04429208699475361,0.32786398647573944,success
vit_b32_cifar100,10,1.0,raw_union_K20,42,sgd,,0.8577,0.019219297208320565,0.6023924987551917,success
vit_b32_cifar100,10,1.0,raw_union_K20,42,adam,0.0001,0.8554,0.013630755694401604,0.570447891861203,success
vit_b32_cifar100,10,1.0,raw_union_K20,42,adamw,0.0001,0.8554,0.013620171081067552,0.5707867418206395,success
vit_b32_cifar100,10,1.0,raw_union_K20,42,rmsprop,0.0001,0.8547,0.012068347243804851,0.569404979633864,success
vit_b32_cifar100,10,1.0,raw_union_K20,42,adam,0.0003,0.8522,0.010245952184508404,0.563944215203834,success
vit_b32_cifar100,10,1.0,raw_union_K20,42,adamw,0.0003,0.852,0.01023854441889191,0.5644343081544073,success
