backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,agg_method,agg_depth,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,agreement_gated,deep,0.8695,0.33282,0.5696,0.9735,0.8698,-0.11199960355870431,0,10,"[-0.027649769585253448, -0.3100784851127445, -0.15384615384615385, -0.11111111111111105, -0.1529175050301811, -0.12186001917545541, -0.07072145858557077, -0.009216589861751112, -0.10800079412348618, -0.05459414915533578]","[0.9262672811059908, 0.6880528217266725, 0.8401465201465201, 0.8838676451654436, 0.8458752515090543, 0.8745925215723873, 0.9210170215796596, 0.9493087557603687, 0.8888227119317054, 0.9439637412443346]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.8512841375212581,10,"[0.857536304456685, 0.8760768721007289, 0.8478389579632919, 0.8744053282588011, 0.8563989585419587, 0.8506016042780749, 0.8079658605974396, 0.8723012552301255, 0.899171943497321, 0.7705442902881536]",23.29015588760376,17.242138862609863,0.17237520217895508,5.286101818084717,0.04466128349304199,0.2368464469909668,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,consensus_proj,deep,0.8466,0.33282,0.5696,0.9735,0.8698,-0.1358368893474542,1,10,"[0.01382488479262678, -0.4104895976080728, -0.2244688644688645, -0.09939487575640527, -0.20724346076458755, -0.1277085330776606, -0.04558079908838397, -0.05069124423963134, -0.15346436370855665, -0.053152039555006136]","[0.967741935483871, 0.5876417092313442, 0.7695238095238095, 0.8955838805201494, 0.7915492957746478, 0.8687440076701821, 0.9461576810768464, 0.9078341013824884, 0.8433591423466349, 0.9454058508446642]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.8213980225848889,10,"[0.8276164246369554, 0.8744201457919152, 0.8221827511347938, 0.8399143672692674, 0.8345683957540557, 0.8073195187165776, 0.7467994310099573, 0.8565690376569037, 0.9050170482221139, 0.69957310565635]",23.789883852005005,17.882636547088623,0.16607308387756348,5.1985533237457275,0.0008528232574462891,0.22084712982177734,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,coord_median,deep,0.8692,0.33282,0.5696,0.9735,0.8698,-0.10990737493021677,0,10,"[-0.004608294930875556, -0.3194219509156596, -0.12322344322344325, -0.11226985966267544, -0.13038229376257537, -0.1582933844678811, -0.06751655864966877, -0.055299539170506895, -0.08417708953742298, -0.04388133498145852]","[0.9493087557603687, 0.6787093559237574, 0.8707692307692307, 0.8827088966138792, 0.86841046277666, 0.8381591562799616, 0.9242219215155616, 0.9032258064516129, 0.9126464165177686, 0.9546765554182118]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.8532022801817318,10,"[0.8619178768152228, 0.8807157057654076, 0.8391553187290309, 0.8670313986679353, 0.8590026036451032, 0.8624665775401069, 0.8158910790489737, 0.8768200836820084, 0.8915408345510635, 0.7774813233724653]",25.237825393676758,19.02911353111267,0.17012977600097656,5.441664218902588,0.026656627655029297,0.23782753944396973,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,coord_trimmed_mean,deep,0.86,0.33282,0.5696,0.9735,0.8698,-0.11288420691530143,1,10,"[0.01382488479262678, -0.3792201320543167, -0.11076923076923073, -0.10441611947985063, -0.12233400402414485, -0.18456375838926176, -0.06260237874795238, -0.03686635944700456, -0.07782410164780618, -0.06407086938607331]","[0.967741935483871, 0.6189111747851003, 0.8832234432234433, 0.890562636796704, 0.8764587525150905, 0.811888782358581, 0.929136101417278, 0.9216589861751152, 0.9189994044073854, 0.934487021013597]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.832660632032943,10,"[0.8455182774161242, 0.8727634194831014, 0.812907045589106, 0.8584681255946718, 0.8287602643701182, 0.852774064171123, 0.7904897378581589, 0.8512133891213389, 0.8895924663094659, 0.724119530416222]",24.76607608795166,18.544402837753296,0.16585659980773926,5.443234205245972,0.041368722915649414,0.23689937591552734,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,mag_weighted,depth-1,0.8467,0.33282,0.5696,0.9735,0.8698,-0.13741633473998313,1,10,"[0.004608294930875556, -0.3819608820231718, -0.2386813186813187, -0.09450238187202264, -0.21006036217303825, -0.14209012464046022, -0.04821593903568122, -0.03686635944700456, -0.1643835616438356, -0.06201071281417381]","[0.9585253456221198, 0.6161704248162452, 0.7553113553113553, 0.900476374404532, 0.7887323943661971, 0.8543624161073825, 0.9435225411295491, 0.9216589861751152, 0.8324399444113559, 0.9365471775854965]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.8241311550009748,10,"[0.8273660490736104, 0.8714380384360504, 0.8286954805604895, 0.8258801141769743, 0.8387742839975967, 0.8086564171122995, 0.7472058524690104, 0.8605857740585774, 0.9048546842019808, 0.727854855923159]",23.132120370864868,17.048898458480835,0.1468822956085205,5.162063121795654,0.0712118148803711,0.23607206344604492,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,poly_gate_d2_a,depth-2,0.8687,0.33282,0.5696,0.9735,0.8698,-0.11219585312027054,0,10,"[-0.02304147465437789, -0.2891491217142146, -0.14051282051282055, -0.1251448435689455, -0.138430583501006, -0.1294343240651965, -0.08589131828217356, -0.013824884792626668, -0.10998610283899146, -0.06654305727235266]","[0.9308755760368663, 0.7089821851252024, 0.8534798534798534, 0.8698339127076091, 0.8603621730382294, 0.8670182166826462, 0.9058471618830568, 0.9447004608294931, 0.8868374032162001, 0.9320148331273177]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.8519995190375077,10,"[0.8565348022033049, 0.8737574552683897, 0.8484310242747187, 0.8770218839200761, 0.8541958742239135, 0.8587901069518716, 0.8169071326966064, 0.8666108786610879, 0.8918655625913298, 0.775880469583778]",23.331958532333374,17.44612956047058,0.15804100036621094,5.172059059143066,0.0008957386016845703,0.23939013481140137,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,poly_gate_d2_b,depth-2,0.8681,0.33282,0.5696,0.9735,0.8698,-0.11139459965218287,0,10,"[-0.018433179723502335, -0.2950043602840414, -0.1424175824175824, -0.11922235097206124, -0.1412474849094567, -0.12751677852348986, -0.08339861833202755, -0.013824884792626668, -0.10839785586658723, -0.06448290070045326]","[0.9354838709677419, 0.7031269465553756, 0.8515750915750916, 0.8757564053044934, 0.8575452716297787, 0.8689357622243529, 0.9083398618332028, 0.9447004608294931, 0.8884256501886043, 0.9340749896992171]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.8505764012709337,10,"[0.8559088632949424, 0.8757455268389662, 0.8468521807775804, 0.8760704091341579, 0.8531944722611656, 0.8546122994652406, 0.813655761024182, 0.8661087866108786, 0.8941386588731937, 0.7694770544290288]",23.48056149482727,17.63799524307251,0.15253400802612305,5.148752212524414,0.0010809898376464844,0.23142743110656738,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,second_moment,deep,0.8672,0.33282,0.5696,0.9735,0.8698,-0.11389014231155614,0,10,"[-0.004608294930875556, -0.3346206552884017, -0.15443223443223442, -0.1031286210892236, -0.15774647887323945, -0.1274209012464046, -0.07100633857987315, -0.013824884792626668, -0.11236847329759769, -0.059744540585084494]","[0.9493087557603687, 0.6635106515510153, 0.8395604395604396, 0.891850135187331, 0.8410462776659959, 0.8690316395014381, 0.9207321415853572, 0.9447004608294931, 0.8844550327575939, 0.9388133498145859]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.8452811342068216,10,"[0.8534051076614922, 0.8764082173624917, 0.8413262285375962, 0.8720266412940058, 0.848387742839976, 0.8440842245989305, 0.7996342206868523, 0.8644351464435146, 0.9017697678194512, 0.7513340448239061]",25.25070548057556,19.318433046340942,0.1385178565979004,5.179849147796631,0.028860092163085938,0.23777508735656738,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,sign_majority,deep,0.8463,0.33282,0.5696,0.9735,0.8698,-0.13468884699325356,0,10,"[-0.02304147465437789, -0.377974336613928, -0.21010989010989012, -0.10196987253765932, -0.19476861167002013, -0.1414189837008628, -0.06644825867103477, -0.027649769585253448, -0.14850109191979344, -0.055006180469715726]","[0.9308755760368663, 0.620156970225489, 0.7838827838827839, 0.8930088837388953, 0.8040241448692153, 0.8550335570469799, 0.9252902214941956, 0.9308755760368663, 0.8483224141353981, 0.9435517099299546]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.8223250778306536,10,"[0.8301201802704056, 0.8624917163684559, 0.8217880402605092, 0.8377735490009515, 0.8321650310434608, 0.8099933155080213, 0.7567567567567568, 0.8535564853556485, 0.8960870271147914, 0.7225186766275347]",23.239429712295532,17.26248550415039,0.14877104759216309,5.175194263458252,0.03016972541809082,0.2192702293395996,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,weight_avg,depth-1,0.8466,0.33282,0.5696,0.9735,0.8698,-0.1358368893474542,1,10,"[0.01382488479262678, -0.4104895976080728, -0.2244688644688645, -0.09939487575640527, -0.20724346076458755, -0.1277085330776606, -0.04558079908838397, -0.05069124423963134, -0.15346436370855665, -0.053152039555006136]","[0.967741935483871, 0.5876417092313442, 0.7695238095238095, 0.8955838805201494, 0.7915492957746478, 0.8687440076701821, 0.9461576810768464, 0.9078341013824884, 0.8433591423466349, 0.9454058508446642]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.8213980225848889,10,"[0.8276164246369554, 0.8744201457919152, 0.8221827511347938, 0.8399143672692674, 0.8345683957540557, 0.8073195187165776, 0.7467994310099573, 0.8565690376569037, 0.9050170482221139, 0.69957310565635]",53.74971032142639,17.44266700744629,0.17564821243286133,5.3050055503845215,0.001995086669921875,0.2976081371307373,,f37ca08ce36f,success,
