backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,agg_method,agg_depth,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,drop_topnorm_k1,deep,0.8439,0.33282,0.5696,0.9735,0.8698,-0.1363180345599927,0,10,"[-0.013824884792626668, -0.40936838171172296, -0.20952380952380956, -0.15424230719711596, -0.24989939637826963, -0.1033557046979865, -0.05519549889608999, -0.009216589861751112, -0.12229501687512401, -0.036258755665430575]","[0.9400921658986175, 0.588762925127694, 0.7844688644688644, 0.8407364490794387, 0.7488933601609657, 0.8930968360498562, 0.9365429812691404, 0.9493087557603687, 0.8745284891800675, 0.9622991347342398]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.8181954709809691,10,"[0.8243615423134703, 0.8326706428098078, 0.829090191434774, 0.8753568030447193, 0.8373723212497497, 0.8001336898395722, 0.743548059337533, 0.8572384937238494, 0.886345185906803, 0.695837780149413]",22.900092601776123,17.018737316131592,0.15115618705749512,5.066682815551758,0.031098127365112305,0.2186746597290039,,8fff940c0e30,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,drop_topnorm_k2,deep,0.8276,0.33282,0.5696,0.9735,0.8698,-0.14697870566295093,1,10,"[0.009216589861751223, -0.5962376977700261, -0.1920879120879121, -0.13003733745332813, -0.2148893360160965, -0.09769894534995205, -0.045367139092657216, -0.04608294930875567, -0.12487591820528088, -0.031726411207251726]","[0.9631336405529954, 0.4018936090693908, 0.8019047619047619, 0.8649414188232265, 0.7839034205231389, 0.8987535953978907, 0.9463713410725731, 0.9124423963133641, 0.8719475878499107, 0.9668314791924186]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.7895703204296416,10,"[0.8048322483725588, 0.8757455268389662, 0.7835010854549043, 0.876546146527117, 0.7969156819547366, 0.7693850267379679, 0.7100182889656574, 0.8222594142259414, 0.9042052281214483, 0.5522945570971185]",23.050546169281006,17.231897592544556,0.15890264511108398,5.0629355907440186,0.020084857940673828,0.23914647102355957,,8fff940c0e30,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,weight_avg,depth-1,0.8466,0.33282,0.5696,0.9735,0.8698,-0.1358368893474542,1,10,"[0.01382488479262678, -0.4104895976080728, -0.2244688644688645, -0.09939487575640527, -0.20724346076458755, -0.1277085330776606, -0.04558079908838397, -0.05069124423963134, -0.15346436370855665, -0.053152039555006136]","[0.967741935483871, 0.5876417092313442, 0.7695238095238095, 0.8955838805201494, 0.7915492957746478, 0.8687440076701821, 0.9461576810768464, 0.9078341013824884, 0.8433591423466349, 0.9454058508446642]","[0.9539170506912442, 0.998131306839417, 0.993992673992674, 0.9949787562765546, 0.9987927565392354, 0.9964525407478427, 0.9917384801652304, 0.9585253456221198, 0.9968235060551915, 0.9985578903996704]",0.8213980225848889,10,"[0.8276164246369554, 0.8744201457919152, 0.8221827511347938, 0.8399143672692674, 0.8345683957540557, 0.8073195187165776, 0.7467994310099573, 0.8565690376569037, 0.9050170482221139, 0.69957310565635]",24.428871870040894,17.21679949760437,0.17983269691467285,4.991109609603882,0.0012774467468261719,0.23594903945922852,,8fff940c0e30,success,
mlp_mnist,MNIST,10,1.0,42,300,4.0,raw_union_K20,raw_union,1978,0.0,weight_avg,depth-1,0.939,0.89937,0.924,0.9735,0.8963,-0.046323026196880134,0,10,"[-0.052832590706556326, -0.05944954128440372, -0.04164954103301821, -0.04026416702172986, -0.04676952748312446, -0.0403431175445651, -0.05961070559610704, -0.039044796932194537, -0.04072164948453605, -0.04254462488256605]","[0.9368555060471038, 0.9354128440366972, 0.9456089875325387, 0.949936088623775, 0.929926068788171, 0.9351293392306661, 0.9219890510948905, 0.9477078612515252, 0.9301546391752578, 0.9413501543416991]","[0.9896880967536601, 0.9948623853211009, 0.987258528565557, 0.9902002556455048, 0.9766955962712954, 0.9754724567752312, 0.9815997566909975, 0.9867526581837197, 0.9708762886597938, 0.9838947792242652]",,0,"[null, null, null, null, null, null, null, null, null, null]",23.099711656570435,16.939398527145386,0.34609031677246094,5.287171840667725,0.0014765262603759766,0.19065451622009277,,8fff940c0e30,success,
mlp_mnist,MNIST,10,1.0,42,300,4.0,raw_union_K20,raw_union,1978,0.0,drop_topnorm_k1,deep,0.9381,0.89937,0.924,0.9735,0.8963,-0.04750309754694877,0,10,"[-0.05143220878421384, -0.06275229357798162, -0.041512535963830643, -0.041968470387728996, -0.05126968820315014, -0.04141535987133094, -0.0600669099756691, -0.04009063970716398, -0.042783505154639134, -0.0417393638437793]","[0.9382558879694463, 0.9321100917431193, 0.9457459926017263, 0.9482317852577758, 0.9254259080681453, 0.9340570969039003, 0.9215328467153284, 0.9466620184765557, 0.9280927835051547, 0.9421554153804859]","[0.9896880967536601, 0.9948623853211009, 0.987258528565557, 0.9902002556455048, 0.9766955962712954, 0.9754724567752312, 0.9815997566909975, 0.9867526581837197, 0.9708762886597938, 0.9838947792242652]",,0,"[null, null, null, null, null, null, null, null, null, null]",22.86722993850708,16.61207914352417,0.2609212398529053,5.492754697799683,0.0009713172912597656,0.19862604141235352,,8fff940c0e30,success,
mlp_mnist,MNIST,10,1.0,42,300,4.0,raw_union_K20,raw_union,1978,0.0,drop_topnorm_k2,deep,0.9352,0.89937,0.924,0.9735,0.8963,-0.04934896618579293,0,10,"[-0.05130490133672816, -0.060917431192660576, -0.04247157144814362, -0.04260758414997867, -0.05335904853744777, -0.043425814234016924, -0.06873479318734788, -0.04148509674045664, -0.046907216494845305, -0.04227620453630376]","[0.9383831954169319, 0.9339449541284404, 0.9447869571174133, 0.9475926714955262, 0.9233365477338477, 0.9320466425412143, 0.9128649635036497, 0.9452675614432631, 0.9239690721649485, 0.9416185746879614]","[0.9896880967536601, 0.9948623853211009, 0.987258528565557, 0.9902002556455048, 0.9766955962712954, 0.9754724567752312, 0.9815997566909975, 0.9867526581837197, 0.9708762886597938, 0.9838947792242652]",,0,"[null, null, null, null, null, null, null, null, null, null]",22.523006200790405,16.45082139968872,0.24733567237854004,5.325319528579712,0.0009222030639648438,0.192277193069458,,8fff940c0e30,success,
vit_b32_cifar100,CIFAR100,10,0.05,42,300,4.0,raw_union_K20,raw_union,4828,0.0,drop_topnorm_k1,deep,0.7536,0.22524000000000002,0.2926,0.8692,0.8091,-0.18741813975557328,0,10,"[-0.19499999999999995, -0.3567421566590484, -0.21037234042553188, -0.20573843416370108, -0.1929249352890423, -0.15255686676928337, -0.18251005169442847, -0.13654836087781086, -0.08587896253602312, -0.15590928914086355]","[0.7940625, 0.6265323083316019, 0.773936170212766, 0.75355871886121, 0.7706643658326143, 0.8346160424149136, 0.7979609419873636, 0.8458412354375509, 0.8910662824207493, 0.8225032708242477]","[0.9890625, 0.9832744649906503, 0.9843085106382978, 0.959297153024911, 0.9635893011216566, 0.987172909184197, 0.980470993681792, 0.9823895963153617, 0.9769452449567724, 0.9784125599651112]",0.7374001892269963,10,"[0.7371052631578947, 0.7701694915254237, 0.7547619047619047, 0.7438805970149254, 0.710983606557377, 0.7121538461538461, 0.7, 0.7461971830985915, 0.735, 0.76375]",6.840765476226807,2.664609909057617,0.33469486236572266,3.3989429473876953,0.0009503364562988281,0.1791543960571289,,8fff940c0e30,success,
vit_b32_cifar100,CIFAR100,10,0.05,42,300,4.0,raw_union_K20,raw_union,4828,0.0,drop_topnorm_k2,deep,0.7476,0.22524000000000002,0.2926,0.8692,0.8091,-0.192596613409252,0,10,"[-0.2009375, -0.33939330978599624, -0.19547872340425532, -0.17593416370106763, -0.185504745470233, -0.29382589362066014, -0.15867317633543931, -0.14413438092657815, -0.0818443804034582, -0.15023986044483206]","[0.788125, 0.643881155204654, 0.7888297872340425, 0.7833629893238434, 0.7780845556514236, 0.6933470155635368, 0.8217978173463527, 0.8382552153887836, 0.8951008645533142, 0.8281726995202792]","[0.9890625, 0.9832744649906503, 0.9843085106382978, 0.959297153024911, 0.9635893011216566, 0.987172909184197, 0.980470993681792, 0.9823895963153617, 0.9769452449567724, 0.9784125599651112]",0.7278186296948961,10,"[0.7326315789473684, 0.7505084745762712, 0.7393650793650793, 0.7243283582089552, 0.7055737704918033, 0.7407692307692307, 0.6816949152542373, 0.7329577464788732, 0.7228571428571429, 0.7475]",6.883606910705566,2.693631410598755,0.26726603507995605,3.4376721382141113,0.0007512569427490234,0.21193575859069824,,8fff940c0e30,success,
vit_b32_cifar100,CIFAR100,10,0.05,42,300,4.0,raw_union_K20,raw_union,4828,0.0,weight_avg,depth-1,0.7709,0.22524000000000002,0.2926,0.8692,0.8091,-0.19029962487497118,0,10,"[-0.229375, -0.15042592977352998, -0.22739361702127658, -0.2095195729537367, -0.2226056945642796, -0.2098512057465366, -0.21180356117174037, -0.1747493904091032, -0.10547550432276664, -0.16179677278674232]","[0.7596875, 0.8328485352171203, 0.7569148936170212, 0.7497775800711743, 0.740983606557377, 0.7773217034376604, 0.7686674325100517, 0.8076402059062585, 0.8714697406340057, 0.8166157871783689]","[0.9890625, 0.9832744649906503, 0.9843085106382978, 0.959297153024911, 0.9635893011216566, 0.987172909184197, 0.980470993681792, 0.9823895963153617, 0.9769452449567724, 0.9784125599651112]",0.7544325598187627,10,"[0.7723684210526316, 0.7215254237288136, 0.7633333333333333, 0.7617910447761194, 0.7460655737704918, 0.7512307692307693, 0.7335593220338983, 0.7733802816901408, 0.7535714285714286, 0.7675]",6.616684436798096,2.565335273742676,0.26061582565307617,3.333834648132324,0.0004930496215820312,0.1824798583984375,,8fff940c0e30,success,
vit_b32_cifar100,CIFAR100,10,1.0,42,300,4.0,raw_union_K20,raw_union,16992,0.0,drop_topnorm_k1,deep,0.8573,0.7057100000000001,0.7613,0.8692,0.8494,-0.06238357425215944,0,10,"[-0.06530115595213948, -0.06661786237188871, -0.06916144200626961, -0.05037126229179201, -0.05794353139485875, -0.07666064619707003, -0.060528246515040296, -0.06780432309442552, -0.05552250644457668, -0.053924766253533374]","[0.8943419184749544, 0.8947657393850659, 0.8912617554858934, 0.9205298013245033, 0.9016013485040034, 0.8894240417419226, 0.8923330887747616, 0.9012514220705347, 0.900059488399762, 0.9001956947162426]","[0.9596430744270938, 0.9613836017569546, 0.960423197492163, 0.9709010636162954, 0.9595448798988622, 0.9660846879389926, 0.9528613352898019, 0.9690557451649602, 0.9555819948443387, 0.954120460969776]",0.8216666666666667,6,"[0.8933333333333333, null, 0.67, 0.72, 0.8, 0.95, null, 0.8966666666666666, null, null]",7.489466667175293,2.6418135166168213,0.7482678890228271,3.6776771545410156,0.0008933544158935547,0.14921784400939941,,8fff940c0e30,success,
