section,setup,backbone,alpha,probe_size,method,acc_mean,acc_std,n_seeds
A,mnist_mlp,MLP,0.05,25.0,dp_avg_eps2_K20,0.3753,0.0395,3
A,mnist_mlp,MLP,0.05,25.0,dp_avg_eps8_K20,0.4239,0.0433,3
A,mnist_mlp,MLP,0.05,25.0,labelled_probe_warmup,0.3617,0.0575,3
A,mnist_mlp,MLP,0.05,25.0,no_phase0,0.3666,0.0305,3
A,mnist_mlp,MLP,0.05,25.0,raw_union_K20,0.8814,0.0045,3
A,mnist_mlp,MLP,0.05,25.0,warmup_only_labelled,0.2075,0.0475,3
A,mnist_mlp,MLP,0.05,100.0,dp_avg_eps2_K20,0.4582,0.0819,3
A,mnist_mlp,MLP,0.05,100.0,dp_avg_eps8_K20,0.4294,0.0816,3
A,mnist_mlp,MLP,0.05,100.0,labelled_probe_warmup,0.5588,0.0719,3
A,mnist_mlp,MLP,0.05,100.0,no_phase0,0.3671,0.0417,3
A,mnist_mlp,MLP,0.05,100.0,raw_union_K20,0.8596,0.0357,3
A,mnist_mlp,MLP,0.05,100.0,warmup_only_labelled,0.4275,0.1053,3
A,mnist_mlp,MLP,0.05,500.0,dp_avg_eps2_K20,0.5398,0.1306,3
A,mnist_mlp,MLP,0.05,500.0,dp_avg_eps8_K20,0.5022,0.1414,3
A,mnist_mlp,MLP,0.05,500.0,labelled_probe_warmup,0.8477,0.0163,3
A,mnist_mlp,MLP,0.05,500.0,no_phase0,0.4448,0.1627,3
A,mnist_mlp,MLP,0.05,500.0,raw_union_K20,0.8824,0.0278,3
A,mnist_mlp,MLP,0.05,500.0,warmup_only_labelled,0.804,0.0132,3
A,mnist_mlp,MLP,0.1,25.0,dp_avg_eps2_K20,0.6535,0.1114,3
A,mnist_mlp,MLP,0.1,25.0,dp_avg_eps8_K20,0.6363,0.0802,3
A,mnist_mlp,MLP,0.1,25.0,labelled_probe_warmup,0.5998,0.0897,3
A,mnist_mlp,MLP,0.1,25.0,no_phase0,0.628,0.0953,3
A,mnist_mlp,MLP,0.1,25.0,raw_union_K20,0.9141,0.009,3
A,mnist_mlp,MLP,0.1,25.0,warmup_only_labelled,0.2075,0.0475,3
A,mnist_mlp,MLP,0.1,100.0,dp_avg_eps2_K20,0.5097,0.0198,3
A,mnist_mlp,MLP,0.1,100.0,dp_avg_eps8_K20,0.4972,0.0401,3
A,mnist_mlp,MLP,0.1,100.0,labelled_probe_warmup,0.562,0.031,3
A,mnist_mlp,MLP,0.1,100.0,no_phase0,0.4643,0.0782,3
A,mnist_mlp,MLP,0.1,100.0,raw_union_K20,0.9114,0.0075,3
A,mnist_mlp,MLP,0.1,100.0,warmup_only_labelled,0.4275,0.1053,3
A,mnist_mlp,MLP,0.1,500.0,dp_avg_eps2_K20,0.5804,0.081,3
A,mnist_mlp,MLP,0.1,500.0,dp_avg_eps8_K20,0.5839,0.0733,3
A,mnist_mlp,MLP,0.1,500.0,labelled_probe_warmup,0.8437,0.018,3
A,mnist_mlp,MLP,0.1,500.0,no_phase0,0.5182,0.0966,3
A,mnist_mlp,MLP,0.1,500.0,raw_union_K20,0.9066,0.0067,3
A,mnist_mlp,MLP,0.1,500.0,warmup_only_labelled,0.804,0.0132,3
A,mnist_mlp,MLP,0.3,25.0,dp_avg_eps2_K20,0.7965,0.036,3
A,mnist_mlp,MLP,0.3,25.0,dp_avg_eps8_K20,0.7948,0.0287,3
A,mnist_mlp,MLP,0.3,25.0,labelled_probe_warmup,0.7848,0.0236,3
A,mnist_mlp,MLP,0.3,25.0,no_phase0,0.7829,0.0263,3
A,mnist_mlp,MLP,0.3,25.0,raw_union_K20,0.9359,0.0022,3
A,mnist_mlp,MLP,0.3,25.0,warmup_only_labelled,0.2075,0.0475,3
A,mnist_mlp,MLP,0.3,100.0,dp_avg_eps2_K20,0.7687,0.0373,3
A,mnist_mlp,MLP,0.3,100.0,dp_avg_eps8_K20,0.7809,0.0319,3
A,mnist_mlp,MLP,0.3,100.0,labelled_probe_warmup,0.8105,0.0309,3
A,mnist_mlp,MLP,0.3,100.0,no_phase0,0.7521,0.037,3
A,mnist_mlp,MLP,0.3,100.0,raw_union_K20,0.9361,0.0029,3
A,mnist_mlp,MLP,0.3,100.0,warmup_only_labelled,0.4275,0.1053,3
A,mnist_mlp,MLP,0.3,500.0,dp_avg_eps2_K20,0.7982,0.0208,3
A,mnist_mlp,MLP,0.3,500.0,dp_avg_eps8_K20,0.8031,0.0102,3
A,mnist_mlp,MLP,0.3,500.0,labelled_probe_warmup,0.8882,0.0071,3
A,mnist_mlp,MLP,0.3,500.0,no_phase0,0.7682,0.0065,3
A,mnist_mlp,MLP,0.3,500.0,raw_union_K20,0.9364,0.0045,3
A,mnist_mlp,MLP,0.3,500.0,warmup_only_labelled,0.804,0.0132,3
A,mnist_mlp,MLP,1.0,25.0,dp_avg_eps2_K20,0.8741,0.0132,3
A,mnist_mlp,MLP,1.0,25.0,dp_avg_eps8_K20,0.8741,0.0115,3
A,mnist_mlp,MLP,1.0,25.0,labelled_probe_warmup,0.8695,0.0142,3
