task,C,d,seed,arrangement,strategy,queries,fidelity,majority
ag_news,4,768,42,A,disclosed,0,1.0,0.3919
ag_news,4,768,42,A,logits,769,1.0,0.3919
ag_news,4,768,42,A,random,200,0.4556,0.3919
ag_news,4,768,42,A,random,500,0.4976,0.3919
ag_news,4,768,42,A,random,1000,0.5729,0.3919
ag_news,4,768,42,A,random,2000,0.6687,0.3919
ag_news,4,768,42,A,random,5000,0.8076,0.3919
ag_news,4,768,42,A,random,10000,0.8887,0.3919
ag_news,4,768,42,A,random,20000,0.9425,0.3919
ag_news,4,768,42,A,random,50000,0.9738,0.3919
ag_news,4,768,42,A,random,100000,0.985,0.3919
ag_news,4,768,42,A,random,200000,0.9931,0.3919
ag_news,4,768,42,A,boundary,200,0.4211,0.3919
ag_news,4,768,42,A,boundary,500,0.4474,0.3919
ag_news,4,768,42,A,boundary,1000,0.4783,0.3919
ag_news,4,768,42,A,boundary,2000,0.5798,0.3919
ag_news,4,768,42,A,boundary,5000,0.7196,0.3919
ag_news,4,768,42,A,boundary,10000,0.8395,0.3919
ag_news,4,768,42,A,boundary,20000,0.9115,0.3919
ag_news,4,768,42,A,boundary,50000,0.9855,0.3919
ag_news,4,768,42,A,boundary,100000,0.9985,0.3919
ag_news,4,768,42,A,boundary,200000,0.9996,0.3919
ag_news,4,768,42,B,disclosed,0,1.0,0.327
ag_news,4,768,42,B,logits,769,1.0,0.327
ag_news,4,768,42,B,random,200,0.4125,0.327
ag_news,4,768,42,B,random,500,0.496,0.327
ag_news,4,768,42,B,random,1000,0.5675,0.327
ag_news,4,768,42,B,random,2000,0.6633,0.327
ag_news,4,768,42,B,random,5000,0.8119,0.327
ag_news,4,768,42,B,random,10000,0.8835,0.327
ag_news,4,768,42,B,random,20000,0.9337,0.327
ag_news,4,768,42,B,random,50000,0.9679,0.327
ag_news,4,768,42,B,random,100000,0.9869,0.327
ag_news,4,768,42,B,random,200000,0.9934,0.327
ag_news,4,768,42,B,boundary,200,0.2996,0.327
ag_news,4,768,42,B,boundary,500,0.4178,0.327
ag_news,4,768,42,B,boundary,1000,0.4644,0.327
ag_news,4,768,42,B,boundary,2000,0.5646,0.327
ag_news,4,768,42,B,boundary,5000,0.71,0.327
ag_news,4,768,42,B,boundary,10000,0.8347,0.327
ag_news,4,768,42,B,boundary,20000,0.9139,0.327
ag_news,4,768,42,B,boundary,50000,0.979,0.327
ag_news,4,768,42,B,boundary,100000,0.994,0.327
ag_news,4,768,42,B,boundary,200000,0.9988,0.327
ag_news,4,768,43,A,disclosed,0,1.0,0.527
ag_news,4,768,43,A,logits,769,1.0,0.527
ag_news,4,768,43,A,random,200,0.5839,0.527
ag_news,4,768,43,A,random,500,0.6482,0.527
ag_news,4,768,43,A,random,1000,0.7074,0.527
