task,C,seed,access,eps,queries,fidelity,task_acc
ag_news,4,42,label,inf,1000,0.5537,0.8086
ag_news,4,42,label,inf,5000,0.8147,0.8086
ag_news,4,42,label,inf,20000,0.9451,0.8086
ag_news,4,42,label,inf,50000,0.9812,0.8086
ag_news,4,42,label,inf,100000,0.9892,0.8086
ag_news,4,42,label,8.0,1000,0.5685,0.8074
ag_news,4,42,label,8.0,5000,0.8063,0.8074
ag_news,4,42,label,8.0,20000,0.9053,0.8074
ag_news,4,42,label,8.0,50000,0.9755,0.8074
ag_news,4,42,label,8.0,100000,0.9852,0.8074
ag_news,4,42,label,4.0,1000,0.5279,0.7634
ag_news,4,42,label,4.0,5000,0.6702,0.7634
ag_news,4,42,label,4.0,20000,0.8893,0.7634
ag_news,4,42,label,4.0,50000,0.9397,0.7634
ag_news,4,42,label,4.0,100000,0.9564,0.7634
ag_news,4,42,label,2.0,1000,0.4,0.5862
ag_news,4,42,label,2.0,5000,0.5879,0.5862
ag_news,4,42,label,2.0,20000,0.7781,0.5862
ag_news,4,42,label,2.0,50000,0.8537,0.5862
ag_news,4,42,label,2.0,100000,0.8942,0.5862
ag_news,4,42,label,1.0,1000,0.3097,0.4164
ag_news,4,42,label,1.0,5000,0.4315,0.4164
ag_news,4,42,label,1.0,20000,0.6002,0.4164
ag_news,4,42,label,1.0,50000,0.691,0.4164
ag_news,4,42,label,1.0,100000,0.7752,0.4164
ag_news,4,42,label,0.5,1000,0.2692,0.326
ag_news,4,42,label,0.5,5000,0.3233,0.326
ag_news,4,42,label,0.5,20000,0.4303,0.326
ag_news,4,42,label,0.5,50000,0.5301,0.326
ag_news,4,42,label,0.5,100000,0.597,0.326
ag_news,4,42,probs,inf,1000,1.0,0.8086
ag_news,4,42,probs,inf,5000,1.0,0.8086
ag_news,4,42,probs,inf,20000,1.0,0.8086
ag_news,4,42,probs,inf,50000,1.0,0.8086
ag_news,4,42,probs,inf,100000,1.0,0.8086
ag_news,4,42,probs,8.0,1000,0.263,0.2696
ag_news,4,42,probs,8.0,5000,0.2994,0.2696
