C,d,seed,params,mult,queries,fidelity,majority
4,768,42,3072,0.25,768,0.5958,0.4802
4,768,42,3072,0.5,1536,0.6823,0.4802
4,768,42,3072,1.0,3072,0.7684,0.4802
4,768,42,3072,2.0,6144,0.8398,0.4802
4,768,42,3072,4.0,12288,0.9,0.4802
4,768,43,3072,0.25,768,0.6064,0.4314
4,768,43,3072,0.5,1536,0.695,0.4314
4,768,43,3072,1.0,3072,0.7938,0.4314
4,768,43,3072,2.0,6144,0.8734,0.4314
4,768,43,3072,4.0,12288,0.9302,0.4314
16,768,42,12288,0.25,3072,0.6147,0.4293
16,768,42,12288,0.5,6144,0.7078,0.4293
16,768,42,12288,1.0,12288,0.7946,0.4293
16,768,42,12288,2.0,24576,0.8649,0.4293
16,768,42,12288,4.0,49152,0.9099,0.4293
16,768,43,12288,0.25,3072,0.8603,0.8095
16,768,43,12288,0.5,6144,0.8889,0.8095
16,768,43,12288,1.0,12288,0.9286,0.8095
16,768,43,12288,2.0,24576,0.9516,0.8095
16,768,43,12288,4.0,49152,0.9688,0.8095
64,768,42,49152,0.25,12288,0.769,0.328
64,768,42,49152,0.5,24576,0.8488,0.328
64,768,42,49152,1.0,49152,0.9071,0.328
64,768,42,49152,2.0,98304,0.9306,0.328
64,768,42,49152,4.0,196608,0.9522,0.328
64,768,43,49152,0.25,12288,0.7207,0.2149
64,768,43,49152,0.5,24576,0.8185,0.2149
64,768,43,49152,1.0,49152,0.884,0.2149
64,768,43,49152,2.0,98304,0.9206,0.2149
64,768,43,49152,4.0,196608,0.938,0.2149
256,768,42,196608,0.25,49152,0.7708,0.2158
256,768,42,196608,0.5,98304,0.8394,0.2158
256,768,42,196608,1.0,196608,0.882,0.2158
256,768,42,196608,2.0,393216,0.9106,0.2158
256,768,42,196608,4.0,786432,0.9261,0.2158
256,768,43,196608,0.25,49152,0.7835,0.1244
256,768,43,196608,0.5,98304,0.8436,0.1244
256,768,43,196608,1.0,196608,0.888,0.1244
256,768,43,196608,2.0,393216,0.907,0.1244
256,768,43,196608,4.0,786432,0.927,0.1244
