method,n_parties,logN,C,c_padded,tournament_rounds,tau,collective_refreshes,total_ms,in_refresh_ms,local_eval_ms,extra_refreshes,extra_ms,correct_max,max_abs_error,true_index,decoded_index,index_exact,index_abs_error,onehot_sum,top1_top2_gap
tournament_max,10,15,4,4,2,0.00000,9,31000.3,12151.3,18849.1,0,0.0,true,1.126e-09,1,NaN,false,0.000e+00,0.000000,0.015540
onehot_index,10,15,4,4,2,0.00010,14,46855.6,18758.6,28097.0,5,15855.3,true,1.126e-09,1,1.000000,true,2.713e-09,1.000000,0.015540
onehot_index,10,15,4,4,2,0.00100,14,46562.6,18632.9,27929.7,5,15562.2,true,1.126e-09,1,1.000000,true,5.441e-09,1.000000,0.015540
tracked_index,10,15,4,4,2,0.00000,10,32260.5,13163.6,19096.9,1,1260.2,true,3.695e-09,1,1.000000,true,1.817e-08,NaN,0.015540
tournament_max,10,15,6,8,3,0.00000,14,46283.2,18549.8,27733.4,0,0.0,true,3.552e-09,2,NaN,false,0.000e+00,0.000000,0.031565
onehot_index,10,15,6,8,3,0.00010,19,62058.1,25020.0,37038.1,5,15774.9,true,3.552e-09,2,2.000000,true,2.832e-08,1.000000,0.031565
onehot_index,10,15,6,8,3,0.00100,19,62095.5,25023.0,37072.5,5,15812.3,true,3.552e-09,2,2.000000,true,3.744e-09,1.000000,0.031565
tracked_index,10,15,6,8,3,0.00000,16,49784.8,21300.5,28484.3,2,3501.6,true,2.671e-09,2,2.000000,true,6.192e-08,NaN,0.031565
tournament_max,10,15,14,16,4,0.00000,19,62776.9,25448.3,37328.6,0,0.0,true,3.457e-09,10,NaN,false,0.000e+00,0.000000,0.086773
onehot_index,10,15,14,16,4,0.00010,24,78982.5,31993.0,46989.5,5,16205.6,true,3.457e-09,10,10.000000,true,2.568e-08,1.000000,0.086773
onehot_index,10,15,14,16,4,0.00100,24,78920.4,31984.5,46935.9,5,16143.5,true,3.457e-09,10,10.000000,true,1.318e-07,1.000000,0.086773
tracked_index,10,15,14,16,4,0.00000,22,67963.0,29621.6,38341.4,3,5186.1,true,6.525e-09,10,10.000000,true,2.604e-07,NaN,0.086773
tournament_max,10,15,77,128,7,0.00000,34,110918.3,45534.0,65384.3,0,0.0,true,2.110e-09,22,NaN,false,0.000e+00,0.000000,0.006242
onehot_index,10,15,77,128,7,0.00010,39,127747.9,52091.6,75656.3,5,16829.6,true,2.110e-09,22,22.000001,true,5.549e-07,1.000000,0.006242
onehot_index,10,15,77,128,7,0.00100,39,127653.9,52080.0,75573.9,5,16735.6,true,2.110e-09,22,22.000000,true,4.381e-07,1.000000,0.006242
tracked_index,10,15,77,128,7,0.00000,40,120591.7,53881.3,66710.4,6,9673.4,true,1.463e-08,22,21.999999,true,7.395e-07,NaN,0.006242
tournament_max,10,15,100,128,7,0.00000,34,110884.0,45556.1,65327.9,0,0.0,true,3.062e-09,77,NaN,false,0.000e+00,0.000000,0.014465
onehot_index,10,15,100,128,7,0.00010,39,127753.5,52111.9,75641.6,5,16869.5,true,3.062e-09,77,77.000001,true,1.384e-06,1.000000,0.014465
onehot_index,10,15,100,128,7,0.00100,39,127725.9,52152.8,75573.1,5,16841.9,true,3.062e-09,77,77.000001,true,9.970e-07,1.000000,0.014465
tracked_index,10,15,100,128,7,0.00000,40,121130.1,54077.0,67053.1,6,10246.1,true,1.594e-08,77,76.999997,true,2.970e-06,NaN,0.014465
