method,n_parties,eval_logN,btp_logN,residual_max_level,C,c_padded,tournament_rounds,tau,server_bootstraps,total_ms,in_bootstrap_ms,local_eval_ms,extra_bootstraps,extra_ms,correct_max,max_abs_error,true_index,decoded_index,index_exact,index_abs_error,onehot_sum,top1_top2_gap,fresh_ciphertext_bytes,bootstrapping_key_bytes,bootstrapping_key_gen_ms
tournament_max,10,15,16,8,4,4,2,0.00000,17,391904.3,382127.3,9777.0,0,0.0,true,1.254e-05,1,NaN,false,0.000e+00,0.000000,0.015540,4719038,9336680445,44614.8
onehot_index,10,15,16,8,4,4,2,0.00010,26,597134.2,582506.3,14628.0,9,205230.0,true,1.254e-05,1,1.000000,true,4.705e-09,1.000000,0.015540,4719038,9336680445,44614.8
onehot_index,10,15,16,8,4,4,2,0.00100,26,596237.7,581622.0,14615.7,9,204333.4,true,1.254e-05,1,1.000000,true,8.405e-09,1.000000,0.015540,4719038,9336680445,44614.8
tracked_index,10,15,16,8,4,4,2,0.00000,18,409232.5,399310.7,9921.8,1,17328.2,true,1.253e-05,1,0.999980,true,1.984e-05,NaN,0.015540,4719038,9336680445,44614.8
tournament_max,10,15,16,8,6,8,3,0.00000,26,590560.8,576162.5,14398.2,0,0.0,true,2.505e-05,2,NaN,false,0.000e+00,0.000000,0.031565,4719038,9336680445,44614.8
onehot_index,10,15,16,8,6,8,3,0.00010,35,794216.3,774916.6,19299.6,9,203655.5,true,2.505e-05,2,2.000000,true,2.446e-09,1.000000,0.031565,4719038,9336680445,44614.8
onehot_index,10,15,16,8,6,8,3,0.00100,35,794730.4,775450.4,19280.0,9,204169.6,true,2.505e-05,2,2.000000,true,2.823e-08,1.000000,0.031565,4719038,9336680445,44614.8
tracked_index,10,15,16,8,6,8,3,0.00000,28,633489.6,618781.4,14708.2,2,42928.8,true,2.505e-05,2,1.999867,true,1.335e-04,NaN,0.031565,4719038,9336680445,44614.8
tournament_max,10,15,16,8,14,16,4,0.00000,35,797667.2,778477.3,19190.0,0,0.0,true,3.747e-05,10,NaN,false,0.000e+00,0.000000,0.086773,4719038,9336680445,44614.8
onehot_index,10,15,16,8,14,16,4,0.00010,44,1001535.0,977412.7,24122.2,9,203867.8,true,3.747e-05,10,10.000000,true,2.272e-08,1.000000,0.086773,4719038,9336680445,44614.8
onehot_index,10,15,16,8,14,16,4,0.00100,44,1001837.7,977669.0,24168.7,9,204170.5,true,3.747e-05,10,10.000000,true,7.627e-08,1.000000,0.086773,4719038,9336680445,44614.8
tracked_index,10,15,16,8,14,16,4,0.00000,38,859149.8,839504.9,19644.9,3,61482.6,true,3.747e-05,10,9.999501,true,4.994e-04,NaN,0.086773,4719038,9336680445,44614.8
tournament_max,10,15,16,8,77,128,7,0.00000,62,1406827.1,1372839.7,33987.4,0,0.0,true,7.298e-05,22,NaN,false,0.000e+00,0.000000,0.006242,4719038,9336680445,44614.8
onehot_index,10,15,16,8,77,128,7,0.00010,71,1611351.5,1572121.6,39229.9,9,204524.4,true,7.298e-05,22,22.000000,true,2.774e-08,1.000000,0.006242,4719038,9336680445,44614.8
onehot_index,10,15,16,8,77,128,7,0.00100,71,1612215.7,1572975.7,39240.0,9,205388.6,true,7.298e-05,22,31.707321,false,9.707e+00,1.571019,0.006242,4719038,9336680445,44614.8
tracked_index,10,15,16,8,77,128,7,0.00000,68,1540250.4,1505343.7,34906.8,6,133423.3,true,7.299e-05,22,21.990538,true,9.462e-03,NaN,0.006242,4719038,9336680445,44614.8
tournament_max,10,15,16,8,100,128,7,0.00000,62,1410238.0,1376207.0,34031.0,0,0.0,true,7.242e-05,77,NaN,false,0.000e+00,0.000000,0.014465,4719038,9336680445,44614.8
onehot_index,10,15,16,8,100,128,7,0.00010,71,1615874.8,1576578.1,39296.7,9,205636.8,true,7.242e-05,77,77.000001,true,5.168e-07,1.000000,0.014465,4719038,9336680445,44614.8
onehot_index,10,15,16,8,100,128,7,0.00100,71,1615721.7,1576404.3,39317.4,9,205483.7,true,7.242e-05,77,77.000001,true,1.263e-06,1.000000,0.014465,4719038,9336680445,44614.8
tracked_index,10,15,16,8,100,128,7,0.00000,68,1542981.6,1508092.2,34889.5,6,132743.6,true,7.242e-05,77,76.990707,true,9.293e-03,NaN,0.014465,4719038,9336680445,44614.8
