task,arrangement,n_parties,logN,log_scale,C,d,test_index,true_label,plaintext_label,encrypted_label,agree,plaintext_margin,scaled_margin,gamma,decoded_index,index_abs_error,collective_refreshes,head_apply_ms,argmax_ms,key_switch_ms,total_ms
ag_news,A,10,15,45,4,768,56,0,0,0,true,0.378855,0.068486,0.18076980,-0.000000,1.049e-08,11,5657.6,36545.0,594.3,42878.3
ag_news,A,10,15,45,4,768,335,2,2,2,true,0.075265,0.013606,0.18076980,2.000000,1.752e-08,11,5573.6,34579.8,622.5,40853.0
ag_news,A,10,15,45,4,768,443,0,0,0,true,0.481804,0.087096,0.18076980,-0.000000,1.482e-08,11,5655.9,34496.7,603.7,40838.1
ag_news,A,10,15,45,4,768,925,3,3,3,true,0.449719,0.081296,0.18076980,3.000000,3.036e-08,11,5573.0,34259.5,589.9,40503.8
ag_news,A,10,15,45,4,768,1473,2,2,2,true,0.145881,0.026371,0.18076980,2.000000,3.167e-08,11,5438.6,34366.0,586.6,40467.1
ag_news,A,10,15,45,4,768,1950,1,1,1,true,0.358789,0.064858,0.18076980,1.000000,1.579e-08,11,5494.3,34224.3,584.2,40378.7
ag_news,A,10,15,45,4,768,2343,0,0,0,true,0.110535,0.019981,0.18076980,-0.000000,2.011e-08,11,5435.2,34274.0,584.9,40369.7
ag_news,A,10,15,45,4,768,2644,1,1,1,true,0.403693,0.072976,0.18076980,1.000000,2.273e-08,11,5479.4,34447.7,600.3,40602.6
ag_news,A,10,15,45,4,768,2868,0,2,2,true,0.103666,0.018740,0.18076980,2.000000,2.214e-08,11,5423.5,34218.3,583.2,40299.5
ag_news,A,10,15,45,4,768,2944,3,3,3,true,0.579592,0.104773,0.18076980,3.000000,4.286e-08,11,5508.3,34503.7,587.7,40673.9
ag_news,A,10,15,45,4,768,3257,2,2,2,true,0.037456,0.006771,0.18076980,2.000000,2.971e-08,11,5640.9,34526.2,584.2,40836.6
ag_news,A,10,15,45,4,768,3454,0,1,1,true,0.053299,0.009635,0.18076980,1.000000,2.528e-08,11,5510.0,34487.9,589.4,40663.2
ag_news,A,10,15,45,4,768,3930,2,2,2,true,0.804991,0.145518,0.18076980,2.000000,3.384e-08,11,5418.5,34256.8,582.2,40332.0
ag_news,A,10,15,45,4,768,4368,1,1,1,true,0.160512,0.029016,0.18076980,1.000000,3.295e-08,11,5470.0,34327.3,588.0,40460.6
ag_news,A,10,15,45,4,768,4570,2,2,2,true,0.444663,0.080382,0.18076980,2.000000,2.472e-08,11,5463.2,34664.5,587.2,40789.3
ag_news,A,10,15,45,4,768,4812,3,3,3,true,0.330826,0.059803,0.18076980,3.000000,4.005e-08,11,5500.2,34611.6,588.7,40778.0
