n_parties,logN,C,c_padded,slots,held_out_per_client,blocks_per_ciphertext,score_ciphertexts_per_client,tournament_rounds,one_score_ms,one_score_refreshes,one_score_refresh_ms,server_combine_ms,final_compare_ms,final_compare_refreshes,threshold_decrypt_ms,selection_total_ms,selection_total_refreshes,sequential_sign_circuits,scalar_comparisons,paper_claim_2nc,score_ciphertext_bytes,score_upload_bytes,refresh_share_bytes,refresh_traffic_bytes,key_switch_share_bytes,decrypt_share_bytes,selection_total_bytes,winner_correct,decoded_winner,per_class_count_rel_err,plaintext_score_gap
5,15,4,4,16384,4,4,1,2,38812.7,14,10346.6,175.81,11385.1,4,79.55,399943.2,144,31,161,40,5767646,57676460,4981181,3586450320,1835072,9175360,3653302140,true,1.000000,2.022e-09,0.750000
5,15,14,16,16384,14,16,1,4,66004.4,24,18060.4,304.38,11175.9,4,76.32,671905.4,244,51,2241,140,5767646,57676460,4981181,6077040820,1835072,9175360,6143892640,true,1.000000,2.205e-09,0.571429
5,15,77,128,16384,77,128,1,7,103480.1,39,28187.3,469.29,11157.4,4,80.98,1046978.2,394,81,98561,770,5767646,57676460,4981181,9812926570,1835072,9175360,9879778390,true,1.000000,6.698e-09,0.350649
5,15,100,128,16384,100,128,1,7,103687.6,39,28340.7,480.79,11139.0,4,76.30,1049052.4,394,81,128001,1000,5767646,57676460,4981181,9812926570,1835072,9175360,9879778390,true,1.000000,6.279e-09,0.330000
10,15,4,4,16384,4,4,1,2,45746.4,14,18339.0,157.39,13399.2,4,109.79,928752.0,284,61,321,80,5767646,115352920,4981181,14146554040,1835072,18350720,14280257680,true,1.000000,2.409e-09,0.750000
10,15,14,16,16384,14,16,1,4,77971.5,24,31694.6,294.11,13451.4,4,109.26,1573578.7,484,101,4481,280,5767646,115352920,4981181,24108916040,1835072,18350720,24242619680,true,1.000000,3.480e-09,0.571429
10,15,77,128,16384,77,128,1,7,126444.0,39,51741.2,472.85,13436.6,4,108.64,2543370.5,784,161,197121,1540,5767646,115352920,4981181,39052459040,1835072,18350720,39186162680,true,1.000000,8.527e-09,0.350649
10,15,100,128,16384,100,128,1,7,126418.5,39,51973.2,482.48,13458.4,4,109.91,2542902.7,784,161,256001,2000,5767646,115352920,4981181,39052459040,1835072,18350720,39186162680,true,1.000000,8.843e-09,0.330000
20,15,4,4,16384,4,4,1,2,63899.0,14,36030.4,168.55,18520.5,4,177.96,2574994.5,564,121,641,160,5767646,230705840,4981181,56187721680,1835072,36701440,56455128960,true,1.000000,2.859e-09,0.750000
20,15,14,16,16384,14,16,1,4,109302.7,24,62107.2,305.35,18649.4,4,177.99,4391546.1,964,201,8961,560,5767646,230705840,4981181,96037169680,1835072,36701440,96304576960,true,1.000000,4.469e-09,0.571429
20,15,77,128,16384,77,128,1,7,177387.1,39,101188.3,496.64,18556.3,4,177.94,7115212.9,1564,321,394241,3080,5767646,230705840,4981181,155811341680,1835072,36701440,156078748960,true,1.000000,1.163e-08,0.350649
20,15,100,128,16384,100,128,1,7,177288.7,39,101210.7,504.53,18508.6,4,176.63,7111243.4,1564,321,512001,4000,5767646,230705840,4981181,155811341680,1835072,36701440,156078748960,true,1.000000,1.029e-08,0.330000
