task,backbone,N,alpha,seed,base_frac,K,r,n_trainable,A0,Astar,A_central,increment,gap
ag_news,roberta_base,10,0.1,42,0.0,200,0,3076,0.287,0.438,0.876,0.151,0.438
ag_news,roberta_base,10,0.1,43,0.0,200,0,3076,0.251,0.49,0.869,0.239,0.379
ag_news,roberta_base,10,0.1,44,0.0,200,0,3076,0.24,0.251,0.872,0.011,0.621
ag_news,roberta_base,10,0.1,42,0.0,200,8,297988,0.258,0.54,0.916,0.282,0.376
ag_news,roberta_base,10,0.1,43,0.0,200,8,297988,0.245,0.777,0.924,0.532,0.147
ag_news,roberta_base,10,0.1,44,0.0,200,8,297988,0.243,0.273,0.91,0.03,0.637
ag_news,roberta_base,10,0.1,42,0.0,200,16,592900,0.258,0.516,0.916,0.258,0.4
ag_news,roberta_base,10,0.1,43,0.0,200,16,592900,0.251,0.627,0.92,0.376,0.293
ag_news,roberta_base,10,0.1,44,0.0,200,16,592900,0.253,0.385,0.911,0.132,0.526
dbpedia_14,roberta_base,10,0.1,42,0.0,200,0,10766,0.065,0.591,0.936,0.526,0.345
dbpedia_14,roberta_base,10,0.1,43,0.0,200,0,10766,0.056,0.341,0.937,0.285,0.596
dbpedia_14,roberta_base,10,0.1,44,0.0,200,0,10766,0.073,0.32,0.929,0.247,0.609
dbpedia_14,roberta_base,10,0.1,42,0.0,200,8,305678,0.063,0.782,0.988,0.719,0.206
dbpedia_14,roberta_base,10,0.1,43,0.0,200,8,305678,0.047,0.811,0.987,0.764,0.176
dbpedia_14,roberta_base,10,0.1,44,0.0,200,8,305678,0.08,0.774,0.984,0.694,0.21
dbpedia_14,roberta_base,10,0.1,42,0.0,200,16,600590,0.103,0.692,0.986,0.589,0.294
dbpedia_14,roberta_base,10,0.1,43,0.0,200,16,600590,0.086,0.819,0.984,0.733,0.165
dbpedia_14,roberta_base,10,0.1,44,0.0,200,16,600590,0.0686,0.7516,0.9842,0.683,0.2326
trec,roberta_base,10,0.1,42,0.0,200,0,4614,0.082,0.322,0.748,0.24,0.426
trec,roberta_base,10,0.1,43,0.0,200,0,4614,0.168,0.188,0.764,0.02,0.576
trec,roberta_base,10,0.1,44,0.0,200,0,4614,0.128,0.624,0.76,0.496,0.136
trec,roberta_base,10,0.1,42,0.0,200,8,299526,0.19,0.714,0.96,0.524,0.246
trec,roberta_base,10,0.1,43,0.0,200,8,299526,0.14,0.23,0.966,0.09,0.736
trec,roberta_base,10,0.1,44,0.0,200,8,299526,0.108,0.604,0.96,0.496,0.356
trec,roberta_base,10,0.1,42,0.0,200,16,594438,0.156,0.664,0.962,0.508,0.298
trec,roberta_base,10,0.1,43,0.0,200,16,594438,0.278,0.228,0.968,-0.05,0.74
trec,roberta_base,10,0.1,44,0.0,200,16,594438,0.13,0.642,0.96,0.512,0.318
banking77,roberta_base,10,0.1,42,0.0,200,0,59213,0.0127,0.0821,0.5208,0.0695,0.4386
banking77,roberta_base,10,0.1,43,0.0,200,0,59213,0.0068,0.1104,0.5065,0.1036,0.3961
banking77,roberta_base,10,0.1,44,0.0,200,0,59213,0.0117,0.0786,0.5698,0.0669,0.4912
banking77,roberta_base,10,0.1,42,0.0,200,8,354125,0.014,0.3721,0.9036,0.3581,0.5315
banking77,roberta_base,10,0.1,43,0.0,200,8,354125,0.0065,0.3948,0.8903,0.3883,0.4955
banking77,roberta_base,10,0.1,44,0.0,200,8,354125,0.0081,0.3711,0.8961,0.363,0.525
banking77,roberta_base,10,0.1,42,0.0,200,16,649037,0.0153,0.3377,0.9036,0.3224,0.5659
banking77,roberta_base,10,0.1,43,0.0,200,16,649037,0.0156,0.3578,0.8857,0.3422,0.5279
banking77,roberta_base,10,0.1,44,0.0,200,16,649037,0.0117,0.389,0.8987,0.3773,0.5097
dbpedia_14,roberta_base,10,0.05,42,0.0,200,8,305678,0.063,0.6118,0.9864,0.5488,0.3746
dbpedia_14,roberta_base,10,0.05,43,0.0,200,8,305678,0.0474,0.5444,0.9868,0.497,0.4424
dbpedia_14,roberta_base,10,0.05,44,0.0,200,8,305678,0.0804,0.5818,0.9836,0.5014,0.4018
dbpedia_14,roberta_base,10,0.3,42,0.0,200,8,305678,0.063,0.9268,0.9864,0.8638,0.0596
dbpedia_14,roberta_base,10,0.3,43,0.0,200,8,305678,0.0474,0.9644,0.9868,0.917,0.0224
dbpedia_14,roberta_base,10,0.3,44,0.0,200,8,305678,0.0804,0.9202,0.9836,0.8398,0.0634
dbpedia_14,roberta_base,10,1.0,42,0.0,200,8,305678,0.063,0.9862,0.9864,0.9232,0.0002
dbpedia_14,roberta_base,10,1.0,43,0.0,200,8,305678,0.0474,0.9832,0.9868,0.9358,0.0036
dbpedia_14,roberta_base,10,1.0,44,0.0,200,8,305678,0.0804,0.9776,0.9836,0.8972,0.006
dbpedia_14,roberta_base,20,0.1,44,0.0,200,8,305678,0.0804,0.8524,0.9836,0.772,0.1312
dbpedia_14,roberta_base,50,0.1,44,0.0,200,8,305678,0.0804,0.8606,0.9836,0.7802,0.123
dbpedia_14,roberta_base,100,0.1,44,0.0,200,8,305678,0.0804,0.8634,0.9836,0.783,0.1202
