backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
resnet18_cifar10,CIFAR10,10,0.05,42,1000,4.0,raw_union_K20,raw_union,626,0.0,0.497,0.22974999999999998,0.4259,0.8701,0.7176,-0.535225940193792,0,10,"[-0.4041847938678268, -0.7606311848087723, -0.3254006799417193, -0.5105710333926101, -0.4284009546539379, -0.41577880907248843, -0.046470493648496536, -0.7974452554744526, -0.7894736842105263, -0.8739025128670905]","[0.5695048684483116, 0.21155389141481679, 0.644487615347256, 0.4825133372851215, 0.5035799522673031, 0.544022485129747, 0.8305193761054832, 0.20164233576642335, 0.21052631578947367, 0.10369361186799879]","[0.9736896623161384, 0.9721850762235892, 0.9698882952889752, 0.9930843706777317, 0.931980906921241, 0.9598012942022355, 0.8769898697539797, 0.9990875912408759, 1.0, 0.9775961247350893]",0.45501759259259267,9,"[0.3952, 0.5666666666666667, 0.4211666666666667, 0.4553333333333333, 0.4196666666666667, 0.3595, 0.4535, 0.495125, 0.529, null]",11.67304801940918,2.171571969985962,0.037264108657836914,9.202709913253784,0.0003979206085205078,0.12438535690307617,1115489,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,42,1000,4.0,raw_union_K20,raw_union,626,0.0,0.5566,0.22974999999999998,0.4259,0.8701,0.7176,-0.43584529934674243,0,10,"[-0.3391340377045784, -0.5049478470179192, -0.3033835195078517, -0.38194032799841926, -0.39737470167064437, -0.36270344466958626, -0.070429329474192, -0.5328467153284671, -0.6052631578947368, -0.8604299122010294]","[0.63455562461156, 0.46723722920566996, 0.6665047757811235, 0.6111440426793124, 0.5346062052505967, 0.5970978495326492, 0.8065605402797877, 0.46624087591240876, 0.39473684210526316, 0.11716621253405994]","[0.9736896623161384, 0.9721850762235892, 0.9698882952889752, 0.9930843706777317, 0.931980906921241, 0.9598012942022355, 0.8769898697539797, 0.9990875912408759, 1.0, 0.9775961247350893]",0.5143308641975309,9,"[0.4692, 0.593, 0.4756666666666667, 0.5138333333333334, 0.4975, 0.42025, 0.5518333333333333, 0.53925, 0.5684444444444444, null]",11.521691799163818,2.155409097671509,0.04078388214111328,9.094277381896973,0.0004012584686279297,0.11798620223999023,1115499,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,42,1000,1.0,raw_union_K20,raw_union,626,0.0,0.7066,0.22974999999999998,0.4259,0.8701,0.7176,-0.3099789600393977,0,10,"[-0.2639320488916511, -0.5423910136400107, -0.16367168528411846, -0.1665678719620629, -0.14916467780429588, -0.1498137133145958, -0.07348448303585786, -0.5757299270072993, -0.4473684210526315, -0.5676657584014532]","[0.7097576134244873, 0.4297940625835785, 0.8062166100048568, 0.8265164987156688, 0.7828162291169452, 0.8099875808876397, 0.8035053867181219, 0.4233576642335766, 0.5526315789473685, 0.4099303663336361]","[0.9736896623161384, 0.9721850762235892, 0.9698882952889752, 0.9930843706777317, 0.931980906921241, 0.9598012942022355, 0.8769898697539797, 0.9990875912408759, 1.0, 0.9775961247350893]",0.6878675925925926,9,"[0.6136, 0.73, 0.6893333333333334, 0.6548333333333334, 0.6521666666666667, 0.64025, 0.7466666666666667, 0.725625, 0.7383333333333333, null]",11.522945404052734,2.153874158859253,0.040486812591552734,9.10697340965271,0.00040793418884277344,0.1179351806640625,1115494,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,42,1000,1.0,raw_union_K20,raw_union,626,0.0,0.7255,0.22974999999999998,0.4259,0.8701,0.7176,-0.257198337548224,0,10,"[-0.27532628962088257, -0.3891414816795935, -0.16431924882629112, -0.1734835012843312, -0.12052505966587113, -0.15942218445650047, -0.11722141823444288, -0.39598540145985395, -0.3421052631578947, -0.4344535270965788]","[0.6983633726952558, 0.5830435945439957, 0.8055690464626841, 0.8196008693934005, 0.8114558472553699, 0.800379109745735, 0.7597684515195369, 0.6031021897810219, 0.6578947368421053, 0.5431425976385105]","[0.9736896623161384, 0.9721850762235892, 0.9698882952889752, 0.9930843706777317, 0.931980906921241, 0.9598012942022355, 0.8769898697539797, 0.9990875912408759, 1.0, 0.9775961247350893]",0.713529938271605,9,"[0.6642, 0.7435, 0.7065, 0.6833333333333333, 0.6956666666666667, 0.68625, 0.7715, 0.729375, 0.7414444444444445, null]",11.692472457885742,2.175614833831787,0.03824806213378906,9.250292539596558,0.0004017353057861328,0.12283086776733398,1115492,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,42,100,4.0,raw_union_K20,raw_union,626,0.0,0.5542,0.22974999999999998,0.4259,0.8701,0.7176,-0.43750061476504937,0,10,"[-0.34845659830122233, -0.5044129446376036, -0.3043548648211106, -0.3841138114997037, -0.40214797136038183, -0.36695208837178905, -0.07059012703006917, -0.5282846715328466, -0.6052631578947368, -0.8604299122010294]","[0.6252330640149161, 0.4677721315859856, 0.6655334304678646, 0.608970559178028, 0.5298329355608592, 0.5928492058304464, 0.8063997427239106, 0.4708029197080292, 0.39473684210526316, 0.11716621253405994]","[0.9736896623161384, 0.9721850762235892, 0.9698882952889752, 0.9930843706777317, 0.931980906921241, 0.9598012942022355, 0.8769898697539797, 0.9990875912408759, 1.0, 0.9775961247350893]",0.511995061728395,9,"[0.4694, 0.5901666666666666, 0.4716666666666667, 0.5121666666666667, 0.49616666666666664, 0.41725, 0.5493333333333333, 0.53625, 0.5655555555555556, null]",3.3989737033843994,2.173631429672241,0.041115760803222656,0.9469962120056152,0.0003981590270996094,0.1213223934173584,1115489,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,42,100,4.0,raw_union_K20,raw_union,626,0.0,0.6269,0.22974999999999998,0.4259,0.8701,0.7176,-0.3666616534822523,0,10,"[-0.253159312202196, -0.5274137469911742, -0.21693378662781282, -0.2458012250543371, -0.22911694510739855, -0.2566180796130466, -0.0966393310821676, -0.5456204379562044, -0.5263157894736843, -0.7689978807145019]","[0.7205303501139424, 0.4447713292324151, 0.7529545086611624, 0.7472831456233946, 0.7028639618138425, 0.7031832145891889, 0.7803505386718121, 0.4534671532846715, 0.47368421052631576, 0.20859824402058735]","[0.9736896623161384, 0.9721850762235892, 0.9698882952889752, 0.9930843706777317, 0.931980906921241, 0.9598012942022355, 0.8769898697539797, 0.9990875912408759, 1.0, 0.9775961247350893]",0.5942234567901233,9,"[0.5204, 0.646, 0.5818333333333333, 0.5578333333333333, 0.5705, 0.5375, 0.6566666666666666, 0.6275, 0.6497777777777778, null]",3.37712025642395,2.1627402305603027,0.04104471206665039,0.9411330223083496,0.00037407875061035156,0.11689352989196777,1115499,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,42,100,1.0,raw_union_K20,raw_union,626,0.0,0.7255,0.22974999999999998,0.4259,0.8701,0.7176,-0.257812253738531,0,10,"[-0.2776051377667288, -0.3931532495319604, -0.16480492148292047, -0.1734835012843312, -0.12171837708830546, -0.15863781946532451, -0.11738221579032004, -0.3968978102189781, -0.3421052631578947, -0.4323342415985467]","[0.6960845245494096, 0.5790318266916288, 0.8050833738060548, 0.8196008693934005, 0.8102625298329356, 0.801163474736911, 0.7596076539636597, 0.6021897810218978, 0.6578947368421053, 0.5452618831365426]","[0.9736896623161384, 0.9721850762235892, 0.9698882952889752, 0.9930843706777317, 0.931980906921241, 0.9598012942022355, 0.8769898697539797, 0.9990875912408759, 1.0, 0.9775961247350893]",0.7137771604938272,9,"[0.6648, 0.7445, 0.7068333333333333, 0.6845, 0.6953333333333334, 0.6855, 0.771, 0.72975, 0.7417777777777778, null]",3.396230459213257,2.1799004077911377,0.04134225845336914,0.9412484169006348,0.00037741661071777344,0.11805081367492676,1115494,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,42,100,1.0,raw_union_K20,raw_union,626,0.0,0.7486,0.22974999999999998,0.4259,0.8701,0.7176,-0.20304988423546977,0,10,"[-0.254816656308266, -0.2527413746991174, -0.1659381576817225, -0.18652440229203715, -0.11813842482100234, -0.18870514412706718, -0.14005467116899828, -0.2691605839416058, -0.1842105263157895, -0.2702089009990917]","[0.7188730060078724, 0.7194437015244718, 0.8039501376072528, 0.8065599683856945, 0.8138424821002387, 0.7710961500751683, 0.7369351985849815, 0.7299270072992701, 0.8157894736842105, 0.7073872237359976]","[0.9736896623161384, 0.9721850762235892, 0.9698882952889752, 0.9930843706777317, 0.931980906921241, 0.9598012942022355, 0.8769898697539797, 0.9990875912408759, 1.0, 0.9775961247350893]",0.7465651234567902,9,"[0.7206, 0.7651666666666667, 0.7373333333333333, 0.7195, 0.7468333333333333, 0.74975, 0.7795, 0.745625, 0.7547777777777778, null]",3.4424540996551514,2.1987407207489014,0.04133868217468262,0.964583158493042,0.000385284423828125,0.12205624580383301,1115492,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,42,300,4.0,raw_union_K20,raw_union,626,0.0,0.5316,0.22974999999999998,0.4259,0.8701,0.7176,-0.4682467963878832,0,10,"[-0.38036047234307024, -0.5782294731211554, -0.31050671847175004, -0.4250148192056906, -0.41527446300715987, -0.3897640368651546, -0.05933429811866864, -0.5994525547445255, -0.6578947368421053, -0.8666363911595519]","[0.5933291899730682, 0.3939556031024338, 0.6593815768172252, 0.5680695514720411, 0.5167064439140812, 0.5700372573370809, 0.8176555716353111, 0.39963503649635035, 0.34210526315789475, 0.11095973357553739]","[0.9736896623161384, 0.9721850762235892, 0.9698882952889752, 0.9930843706777317, 0.931980906921241, 0.9598012942022355, 0.8769898697539797, 0.9990875912408759, 1.0, 0.9775961247350893]",0.48945740740740745,9,"[0.4472, 0.5786666666666667, 0.4483333333333333, 0.49016666666666664, 0.468, 0.394, 0.512, 0.51775, 0.549, null]",5.215353965759277,2.1667208671569824,0.0374598503112793,2.7858293056488037,0.0003807544708251953,0.11882257461547852,1115489,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,42,300,4.0,raw_union_K20,raw_union,626,0.0,0.5884,0.22974999999999998,0.4259,0.8701,0.7176,-0.4126614051495413,0,10,"[-0.2844416822042677, -0.5533565124364803, -0.26517727051966977, -0.3246393993281961, -0.31622911694510736, -0.3063598928034512, -0.07959479015918958, -0.5812043795620437, -0.5789473684210527, -0.8366636391159552]","[0.6892479801118707, 0.41882856378710887, 0.7047110247693055, 0.6684449713495356, 0.6157517899761337, 0.6534414013987843, 0.7973950795947902, 0.41788321167883213, 0.42105263157894735, 0.14093248561913413]","[0.9736896623161384, 0.9721850762235892, 0.9698882952889752, 0.9930843706777317, 0.931980906921241, 0.9598012942022355, 0.8769898697539797, 0.9990875912408759, 1.0, 0.9775961247350893]",0.550208024691358,9,"[0.4824, 0.6138333333333333, 0.5293333333333333, 0.5296666666666666, 0.5305, 0.4755, 0.5971666666666666, 0.58425, 0.6092222222222222, null]",5.168329238891602,2.150665521621704,0.037355661392211914,2.7501933574676514,0.00039649009704589844,0.11734890937805176,1115499,ai08,success,
