backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
resnet18_cifar10,CIFAR10,10,0.05,42,100,1.0,no_phase0,none,0,0.0,0.2358,0.22974999999999998,0.4259,0.8701,0.1112,-0.8270510846480491,0,10,"[-0.8379946136316553, -0.9601497726664884, -0.7283470940586045, -0.9839952578541791, -0.8078758949880668, -0.5099026080135958, -0.48255346518732917, -0.990875912408759, -1.0, -0.9688162276718135]","[0.13569504868448312, 0.01203530355710083, 0.24154120123037073, 0.009089112823552658, 0.12410501193317422, 0.44989868618863976, 0.3944364045666506, 0.008211678832116789, 0.0, 0.00877989706327581]","[0.9736896623161384, 0.9721850762235892, 0.9698882952889752, 0.9930843706777317, 0.931980906921241, 0.9598012942022355, 0.8769898697539797, 0.9990875912408759, 1.0, 0.9775961247350893]",0.19983580246913576,9,"[0.0328, 0.33016666666666666, 0.20766666666666667, 0.262, 0.22266666666666668, 0.025, 0.24783333333333332, 0.2085, 0.2618888888888889, null]",10.511303901672363,2.382425546646118,0.005937099456787109,1.0188353061676025,0.0009312629699707031,0.12017202377319336,1115537,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,42,100,1.0,no_phase0,none,0,0.0,0.1705,0.21995,0.4104,0.8722,0.1144,-0.8347168121981703,0,10,"[-0.9349492438367516, -0.820272800213961, -0.732394366197183, -0.9749061450306263, -0.869928400954654, -0.6525916726583436, -0.6263064801415019, -0.8448905109489051, -0.9210526315789473, -0.9698758704208296]","[0.03625440232028175, 0.1479005081572613, 0.23393232960984298, 0.01778304682868998, 0.059665871121718374, 0.30178443035492514, 0.24859302138607492, 0.1541970802919708, 0.07894736842105263, 0.0025734181047532547]","[0.9712036461570334, 0.9681733083712223, 0.966326695807026, 0.9926891918593164, 0.9295942720763724, 0.9543761030132688, 0.8748995015275768, 0.9990875912408759, 1.0, 0.9724492885255828]",0.1495743827160494,9,"[0.0716, 0.25416666666666665, 0.0785, 0.22916666666666666, 0.179, 0.005, 0.20316666666666666, 0.154125, 0.17144444444444445, null]",4.161001443862915,2.6823127269744873,0.00850534439086914,1.2142374515533447,0.0007278919219970703,0.14136624336242676,1115537,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,42,100,1.0,no_phase0,none,0,0.0,0.2358,0.22981,0.4253,0.8697,0.1112,-0.8269926838313509,0,10,"[-0.8377874456183965, -0.9598823214763306, -0.7286708758296908, -0.9837976684449714, -0.8078758949880668, -0.5098372442643311, -0.4822318700755749, -0.990875912408759, -1.0, -0.9689676052073872]","[0.13610938471100062, 0.012302754747258626, 0.24121741945928443, 0.009286702232760324, 0.12410501193317422, 0.44989868618863976, 0.3950795947901592, 0.008211678832116789, 0.0, 0.00877989706327581]","[0.9738968303293971, 0.9721850762235892, 0.9698882952889752, 0.9930843706777317, 0.931980906921241, 0.9597359304529708, 0.8773114648657341, 0.9990875912408759, 1.0, 0.977747502270663]",0.199820987654321,9,"[0.033, 0.3305, 0.2075, 0.262, 0.22233333333333333, 0.025, 0.24766666666666667, 0.2085, 0.2618888888888889, null]",4.450973272323608,2.866262435913086,0.007479429244995117,1.3173613548278809,0.0007076263427734375,0.14340448379516602,1115537,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,43,100,1.0,no_phase0,none,0,0.0,0.1961,0.28791,0.3571,0.868,0.1046,-0.7403074296287835,0,10,"[-0.7377010406811731, -0.97678916827853, -0.9027661357921207, -0.6175922883119728, -0.9688838782412627, -0.4677996422182469, -0.9675740592473979, -0.4127579737335835, -0.6848445028471309, -0.6663656069364162]","[0.23178807947019867, 0.020309477756286266, 0.05504330818664432, 0.3247891335305072, 0.021871476888387822, 0.518783542039356, 0.011008807045636509, 0.49437148217636023, 0.2756241787122208, 0.2848627167630058]","[0.9694891201513718, 0.9970986460348162, 0.957809443978765, 0.94238142184248, 0.9907553551296505, 0.9865831842576028, 0.9785828662930345, 0.9071294559099438, 0.9604686815593517, 0.951228323699422]",0.17513373015873016,9,"[0.20466666666666666, 0.173625, 0.255, 0.1398, 0.29425, 0.11742857142857142, 0.1496, 0.12483333333333334, 0.117, null]",3.3361334800720215,2.1576120853424072,0.005602598190307617,0.9488213062286377,0.0003840923309326172,0.1163492202758789,1115537,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,43,100,1.0,no_phase0,none,0,0.0,0.1407,0.26048,0.347,0.8669,0.1124,-0.8131421726779694,0,10,"[-0.934247871333964, -0.7753062540296582, -0.502374965074043, -0.8652645415708182, -0.8962795941375423, -0.868515205724508, -0.7129703763010409, -0.7654784240150093, -0.9403197547087166, -0.8706647398843931]","[0.027672658467360455, 0.21663442940038685, 0.4456552109527801, 0.06912038558440135, 0.09177001127395716, 0.07513416815742398, 0.25840672538030424, 0.10694183864915573, 0.019601401664476565, 0.07406069364161849]","[0.9619205298013245, 0.9919406834300452, 0.9480301760268232, 0.9343849271552196, 0.9880496054114994, 0.943649373881932, 0.9713771016813451, 0.8724202626641651, 0.9599211563731932, 0.9447254335260116]",0.1580166666666667,9,"[0.2215, 0.13825, 0.1066, 0.0842, 0.245, 0.17214285714285715, 0.1776, 0.094, 0.18285714285714286, null]",4.12745475769043,2.6476259231567383,0.008008241653442383,1.2247233390808105,0.0007355213165283203,0.13911795616149902,1115537,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,43,100,1.0,no_phase0,none,0,0.0,0.1963,0.2881,0.3572,0.8678,0.1046,-0.7402825727870683,0,10,"[-0.7377010406811731, -0.9771115409413282, -0.9026264319642359, -0.6163873370577282, -0.9688838782412627, -0.4686940966010733, -0.9675740592473979, -0.4127579737335835, -0.683639947437582, -0.667449421965318]","[0.23178807947019867, 0.020309477756286266, 0.05476390053087454, 0.32533683864607293, 0.021871476888387822, 0.5178890876565295, 0.011008807045636509, 0.49437148217636023, 0.2768287341217696, 0.283778901734104]","[0.9694891201513718, 0.9974210186976145, 0.9573903324951104, 0.9417241757038011, 0.9907553551296505, 0.9865831842576028, 0.9785828662930345, 0.9071294559099438, 0.9604686815593517, 0.951228323699422]",0.17517076719576719,9,"[0.20466666666666666, 0.173625, 0.255, 0.1402, 0.29425, 0.11771428571428572, 0.1492, 0.12516666666666668, 0.11671428571428571, null]",4.4124696254730225,2.8533806800842285,0.007139921188354492,1.304934024810791,0.0007245540618896484,0.1421043872833252,1115537,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,44,100,1.0,no_phase0,none,0,0.0,0.1899,0.24933,0.3431,0.8667,0.0998,-0.7812904800004294,0,10,"[-0.708300765984055, -0.8618684114867321, -0.7547754259163655, -0.7083582855676277, -0.6036536934074663, -0.8221086855550395, -0.7802750118539592, -0.8841507786348421, -0.7596153846153846, -0.929798356982823]","[0.23620447084570892, 0.1312250090876045, 0.22973670624677336, 0.2648644024296347, 0.3880063542494043, 0.12819321876451464, 0.18890469416785205, 0.08179304322514917, 0.09134615384615384, 0.05899925317401045]","[0.944505236829764, 0.9930934205743366, 0.9845121321631388, 0.9732226879972624, 0.9916600476568705, 0.9503019043195541, 0.9691797060218112, 0.9659438218599913, 0.8509615384615384, 0.9887976101568334]",0.1727989417989418,9,"[0.144, 0.20185714285714285, 0.20883333333333334, 0.1508, 0.1376, 0.21983333333333333, 0.1166, 0.17266666666666666, 0.203, null]",3.3809638023376465,2.1971566677093506,0.0056552886962890625,0.9564974308013916,0.0003802776336669922,0.11586332321166992,1115537,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,44,100,1.0,no_phase0,none,0,0.0,0.1787,0.21258000000000005,0.3221,0.8694,0.0834,-0.7777251723188462,0,10,"[-0.8677505080506487, -0.9520174482006543, -0.9096541042849767, -0.8016939002480965, -0.7903097696584591, -0.8190896423594984, -0.7009009009009008, -0.7057196914568475, -0.451923076923077, -0.7781926811053024]","[0.07503517273722057, 0.041075972373682296, 0.06866288074341766, 0.16759346394045685, 0.19618745035742652, 0.10473757547607988, 0.2598387861545756, 0.25440256149032164, 0.19230769230769232, 0.20089619118745333]","[0.9427856807878693, 0.9930934205743366, 0.9783169850283944, 0.9692873641885533, 0.9864972200158856, 0.9238272178355783, 0.9607396870554765, 0.9601222529471692, 0.6442307692307693, 0.9790888722927558]",0.19352222222222226,9,"[0.225, 0.209, 0.2405, 0.2422, 0.1898, 0.17733333333333334, 0.1282, 0.18466666666666667, 0.145, null]",4.132183074951172,2.6449637413024902,0.008097171783447266,1.2271466255187988,0.0007212162017822266,0.1385326385498047,1115537,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,44,100,1.0,no_phase0,none,0,0.0,0.1902,0.24893,0.3433,0.8664,0.0998,-0.7794067282813739,0,10,"[-0.7079881194309833, -0.8607778989458379, -0.7552916881775942, -0.7077594319445633, -0.601667990468626, -0.8214119832791453, -0.779800853485064, -0.8840052394120216, -0.7451923076923077, -0.9301717699775952]","[0.23698608722838832, 0.13231552162849872, 0.22922044398554467, 0.2654632560526991, 0.38999205718824465, 0.12842545285647933, 0.18928402086296822, 0.08208412167079028, 0.09134615384615384, 0.05899925317401045]","[0.9449742066593716, 0.9930934205743366, 0.9845121321631388, 0.9732226879972624, 0.9916600476568705, 0.9498374361356247, 0.9690848743480323, 0.9660893610828118, 0.8365384615384616, 0.9891710231516057]",0.17297619047619048,9,"[0.1436, 0.2022857142857143, 0.20916666666666667, 0.1512, 0.1374, 0.2205, 0.1168, 0.17233333333333334, 0.2035, null]",4.435123443603516,2.85166335105896,0.007560253143310547,1.3219780921936035,0.0007212162017822266,0.14119219779968262,1115537,ai08,success,
resnet18_cifar10,CIFAR10,10,0.05,42,100,1.0,raw_union_K20,raw_union,626,0.0,0.7486,0.22974999999999998,0.4259,0.8701,0.7176,-0.20304988423546977,0,10,"[-0.254816656308266, -0.2527413746991174, -0.1659381576817225, -0.18652440229203715, -0.11813842482100234, -0.18870514412706718, -0.14005467116899828, -0.2691605839416058, -0.1842105263157895, -0.2702089009990917]","[0.7188730060078724, 0.7194437015244718, 0.8039501376072528, 0.8065599683856945, 0.8138424821002387, 0.7710961500751683, 0.7369351985849815, 0.7299270072992701, 0.8157894736842105, 0.7073872237359976]","[0.9736896623161384, 0.9721850762235892, 0.9698882952889752, 0.9930843706777317, 0.931980906921241, 0.9598012942022355, 0.8769898697539797, 0.9990875912408759, 1.0, 0.9775961247350893]",0.7465651234567902,9,"[0.7206, 0.7651666666666667, 0.7373333333333333, 0.7195, 0.7468333333333333, 0.74975, 0.7795, 0.745625, 0.7547777777777778, null]",3.422400712966919,2.1995177268981934,0.0396113395690918,0.9533638954162598,0.000385284423828125,0.11708927154541016,1115537,ai08,success,
