backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
lenet_fmnist,FashionMNIST,10,0.05,42,300,4.0,dp_avg_eps0.5_K20,dp_avg,10,17.938383831034383,0.3596,0.29660000000000003,0.4733,0.8845,0.0656,-0.7531260672059021,0,10,"[-0.9451697127937336, -0.5426468948600736, -0.9113273647333593, -0.9928075396825397, -0.10167130919220058, -0.2642160199682323, -0.9652020053081687, -0.9181818181818181, -0.9297520661157025, -0.960285941223193]","[0.02610966057441253, 0.45088638644218976, 0.08174386920980926, 0.005456349206349206, 0.8593314763231198, 0.7127751304742456, 0.028605131229725744, 0.03939393939393939, 0.03305785123966942, 0.03526608419380461]","[0.9712793733681462, 0.9935332813022634, 0.9930712339431685, 0.9982638888888888, 0.9610027855153204, 0.9769911504424779, 0.9938071365378944, 0.9575757575757575, 0.9628099173553719, 0.9955520254169976]",0.2860352380952381,10,"[0.3625, 0.48333333333333334, 0.061, 0.3318, 0.37957142857142856, 0.0, 0.43883333333333335, 0.5266, 0.2767142857142857, 0.0]",35.032920360565186,20.86067247390747,0.09088873863220215,6.707756042480469,0.0017578601837158203,0.44906187057495117,1117014,ai05,success,
lenet_fmnist,FashionMNIST,10,0.05,43,300,4.0,dp_avg_eps0.5_K20,dp_avg,10,18.034533654714135,0.225,0.25249,0.3674,0.8887,0.1002,-0.6894160026305528,0,10,"[-1.0, -0.9399303540336623, -0.9990421455938697, -0.7881612939458609, -0.17684887459807075, -0.9516843971631206, -0.9882145508537491, -0.744906524227394, -0.007213706041478862, -0.2981581798483207]","[0.0, 0.0581834010446895, 0.0003831417624521073, 0.16792092553072, 0.7588424437299035, 0.03701241134751773, 0.004083147735708983, 0.21800839374284625, 0.9729486023444545, 0.6331527627302275]","[1.0, 0.9981137550783518, 0.9994252873563219, 0.9560822194765809, 0.9356913183279743, 0.9886968085106383, 0.992297698589458, 0.9629149179702403, 0.9801623083859333, 0.9313109425785482]",0.20256547619047618,10,"[0.25, 0.17971428571428572, 0.32042857142857145, 0.20783333333333334, 0.1978, 0.03842857142857143, 0.49525, 0.0028, 0.0014, 0.332]",35.424988746643066,20.858768224716187,0.08691000938415527,6.8473687171936035,0.0017292499542236328,0.4552469253540039,1117039,ai05,success,
lenet_fmnist,FashionMNIST,10,0.05,44,300,4.0,dp_avg_eps0.5_K20,dp_avg,10,17.97075226951448,0.3004,0.27226,0.4574,0.8744,0.104,-0.7110296215617667,0,10,"[-0.5755162515047689, -0.9931485992691839, -0.8148951554591467, -0.40044018643190055, -0.8271767810026385, -0.9135419894638984, -0.9583333333333334, -0.04126687611446034, -0.9815789473684211, -0.6043980956699161]","[0.3865172701176035, 0.0003045066991473812, 0.1735357917570499, 0.4981874676333506, 0.05804749340369393, 0.08057018903005887, 0.0, 0.32894625116752996, 0.0, 0.3733847200181365]","[0.9620335216223724, 0.9934531059683313, 0.9884309472161966, 0.8986276540652511, 0.8852242744063324, 0.9941121784939573, 0.9583333333333334, 0.3702131272819903, 0.9815789473684211, 0.9777828156880526]",0.2436988095238095,10,"[0.24975, 0.45816666666666667, 0.1896, 0.0, 0.2114, 0.237, 0.3755, 0.2864285714285714, 0.42914285714285716, 0.0]",35.23144793510437,20.92507576942444,0.09047698974609375,6.674496173858643,0.0017304420471191406,0.4471564292907715,1117064,ai05,success,
lenet_fmnist,FashionMNIST,10,0.05,42,300,4.0,dp_avg_eps2_K1,dp_avg,10,89.69191915517192,0.1,0.29514,0.4627,0.8821,0.1,-0.9411620983492439,0,10,"[-0.9712793733681462, -0.9957631843014829, -0.9248734916309848, -0.9982638888888888, -0.9623955431754875, -0.7504878602223735, -0.9593040401061633, -0.9161616161616161, -0.9380165289256198, -0.9950754567116759]","[0.0, 0.0, 0.06640716231996886, 0.0, 0.0, 0.22654867256637168, 0.029489826010026542, 0.04141414141414142, 0.024793388429752067, 0.00015885623510722796]","[0.9712793733681462, 0.9957631843014829, 0.9912806539509537, 0.9982638888888888, 0.9623955431754875, 0.9770365327887451, 0.9887938661161899, 0.9575757575757575, 0.9628099173553719, 0.9952343129467831]",0.06345238095238095,10,"[0.125, 0.16666666666666666, 0.0, 0.2, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0]",27.806323766708374,20.3958580493927,0.0629262924194336,6.747294902801514,0.0017325878143310547,0.4164316654205322,1117008,ai05,success,
lenet_fmnist,FashionMNIST,10,0.05,43,300,4.0,dp_avg_eps2_K1,dp_avg,10,90.17266827357066,0.1,0.25433,0.371,0.8832,0.1,-0.8805852940550741,0,10,"[-1.0, -0.9986941381311666, -0.9994252873563219, -0.7937773784117713, -0.9356913183279743, -0.978058510638298, -0.992297698589458, -0.9202594429607021, -0.2569882777276826, -0.9306608884073673]","[0.0, 0.0, 0.0, 0.165225204987083, 0.0, 0.010859929078014184, 0.0, 0.03517741320106829, 0.7233543733092876, 0.0]","[1.0, 0.9986941381311666, 0.9994252873563219, 0.9590025833988544, 0.9356913183279743, 0.9889184397163121, 0.992297698589458, 0.9554368561617703, 0.9803426510369703, 0.9306608884073673]",0.11801587301587302,10,"[0.1111111111111111, 0.14285714285714285, 0.14285714285714285, 0.0, 0.2, 0.0, 0.25, 0.0, 0.0, 0.3333333333333333]",27.850982666015625,20.463351011276245,0.05724668502807617,6.720257520675659,0.0017609596252441406,0.41877031326293945,1117014,ai05,success,
lenet_fmnist,FashionMNIST,10,0.05,44,300,4.0,dp_avg_eps2_K1,dp_avg,10,89.8537613475724,0.1003,0.27302,0.4534,0.8862,0.1,-0.8562135171482309,0,10,"[-0.950087971108436, -0.9913215590742996, -0.9884309472161966, -0.5222682547902641, -0.8278364116094987, -0.9917880384257824, -0.9583333333333334, -0.3702131272819903, -0.9815789473684211, -0.9802765812740876]","[0.01296416334845819, 0.0001522533495736906, 0.0, 0.37461160020714657, 0.05738786279683377, 0.0, 0.0, 0.0, 0.0, 0.0004534119247336205]","[0.9630521344568942, 0.9914738124238733, 0.9884309472161966, 0.8968798549974106, 0.8852242744063324, 0.9917880384257824, 0.9583333333333334, 0.3702131272819903, 0.9815789473684211, 0.9807299931988211]",0.10292130952380951,10,"[0.0, 0.16666666666666666, 0.2, 0.0, 0.0006, 0.25, 0.125375, 0.1432857142857143, 0.1432857142857143, 0.0]",28.07703423500061,20.629388093948364,0.058783769607543945,6.786300897598267,0.001730203628540039,0.40837764739990234,1117039,ai05,success,
lenet_fmnist,FashionMNIST,10,0.05,42,300,4.0,dp_avg_eps2_K20,dp_avg,10,4.484595957758596,0.4153,0.29637,0.4723,0.8884,0.2018,-0.7337283124742794,0,10,"[-0.9451697127937336, -0.4914706210279852, -0.8980926430517711, -0.9818948412698412, -0.11420612813370479, -0.14495121397776267, -0.9604836331465645, -0.9171717171717171, -0.9297520661157025, -0.9540905480540112]","[0.02610966057441253, 0.5031776117738879, 0.0897625535227715, 0.01636904761904762, 0.8481894150417827, 0.8328114363512593, 0.02831023296962548, 0.04040404040404041, 0.03305785123966942, 0.04098490865766481]","[0.9712793733681462, 0.9946482328018731, 0.9878551965745426, 0.9982638888888888, 0.9623955431754875, 0.977762650329022, 0.9887938661161899, 0.9575757575757575, 0.9628099173553719, 0.995075456711676]",0.35191142857142854,10,"[0.42175, 0.5595, 0.20766666666666667, 0.3492, 0.4594285714285714, 0.00425, 0.5338333333333334, 0.6372, 0.3462857142857143, 0.0]",35.22809314727783,20.931955575942993,0.08612966537475586,6.727267503738403,0.0017573833465576172,0.45400357246398926,1117008,ai05,success,
lenet_fmnist,FashionMNIST,10,0.05,43,300,4.0,dp_avg_eps2_K20,dp_avg,10,4.508633413678534,0.2371,0.25416000000000005,0.3675,0.883,0.0899,-0.7024006633865116,0,10,"[-1.0, -0.9399303540336622, -0.9614942528735633, -0.44704032348646516, -0.16398713826366562, -0.9598847517730497, -0.8629361544172234, -0.7774132010682946, -0.6153291253381425, -0.29599133261105093]","[0.0, 0.05876378409750435, 0.03793103448275862, 0.5107267213298888, 0.7717041800643086, 0.02903368794326241, 0.1291759465478842, 0.18534910339565053, 0.3648331830477908, 0.6411700975081257]","[1.0, 0.9986941381311666, 0.9994252873563219, 0.957767044816354, 0.9356913183279743, 0.9889184397163121, 0.9921121009651076, 0.9627623044639451, 0.9801623083859333, 0.9371614301191766]",0.19294801587301585,10,"[0.2634444444444444, 0.196, 0.1987142857142857, 0.20683333333333334, 0.03, 0.17457142857142857, 0.28725, 0.196, 0.0, 0.37666666666666665]",27.589334964752197,20.249418020248413,0.06351852416992188,6.652003526687622,0.0017642974853515625,0.4258108139038086,1117014,ai05,success,
lenet_fmnist,FashionMNIST,10,0.05,44,300,4.0,dp_avg_eps2_K20,dp_avg,10,4.49268806737862,0.2826,0.26458,0.48,0.8754,0.181,-0.668283989747531,0,10,"[-0.029261968700805607, -0.9823386114494518, -0.7982646420824294, -0.5267995857068877, -0.8905013192612137, -0.9092035946699721, -0.9583333333333334, -0.018255922560923787, -0.9815789473684211, -0.5883019723418725]","[0.4154088341513103, 0.011114494518879416, 0.19016630513376717, 0.3718280683583635, 0.03100263852242744, 0.08335915711186861, 0.0, 0.3519572047210665, 0.0, 0.39242802085694856]","[0.4446708028521159, 0.9934531059683313, 0.9884309472161966, 0.8986276540652511, 0.9215039577836411, 0.9925627517818407, 0.9583333333333334, 0.3702131272819903, 0.9815789473684211, 0.9807299931988211]",0.21798047619047622,10,"[0.264, 0.4003333333333333, 0.1146, 0.0, 0.2618, 0.12925, 0.35325, 0.25285714285714284, 0.4037142857142857, 0.0]",28.047555446624756,20.616042137145996,0.0673518180847168,6.744340896606445,0.0017442703247070312,0.4187445640563965,1117039,ai05,success,
lenet_fmnist,FashionMNIST,10,0.05,42,300,4.0,dp_avg_eps2_K5,dp_avg,10,17.938383831034383,0.4372,0.29396,0.4608,0.8887,0.1046,-0.7235879669218657,0,10,"[-0.9451697127937336, -0.46827962983610205, -0.908057609964967, -0.9779265873015872, -0.08495821727019504, -0.09380530973451329, -0.9625479209672664, -0.9171717171717171, -0.9256198347107438, -0.9523431294678316]","[0.02610966057441253, 0.526368602965771, 0.08400155702608018, 0.020337301587301588, 0.8760445682451253, 0.8745178125709099, 0.02831023296962548, 0.04040404040404041, 0.0371900826446281, 0.043050039714058776]","[0.9712793733681462, 0.9946482328018731, 0.9920591669910471, 0.9982638888888888, 0.9610027855153204, 0.9683231223054232, 0.9908581539368918, 0.9575757575757575, 0.9628099173553719, 0.9953931691818904]",0.3765898809523809,10,"[0.442375, 0.5891666666666666, 0.26666666666666666, 0.3592, 0.48828571428571427, 0.001, 0.5688333333333333, 0.6818, 0.36857142857142855, 0.0]",27.670013904571533,20.342397451400757,0.06069159507751465,6.6760618686676025,0.0016965866088867188,0.4007132053375244,1117064,ai05,success,
