backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
cnn5_cifar10,CIFAR10,16,0.05,42,100,4.0,raw_union_K20,raw_union,699,0.0,0.1719,0.14963125,0.2679,0.7793,0.2375,-0.7693409344906,0,16,"[-0.988193624557261, -0.7685160247778077, -0.6705276705276705, -0.9553903345724907, -0.9858906525573192, -0.07499999999999996, -0.07675675675675675, -0.9773462783171522, -0.9971027412525073, -0.9943805874840358, -0.7582070707070707, -0.9927667269439421, -0.646627971254837, -0.9567367119901112, -0.5178571428571428, -0.9481546572934975]","[0.006493506493506494, 0.2314839752221923, 0.32432432432432434, 0.044255620463798905, 0.0, 0.925, 0.9167567567567567, 0.003236245954692557, 0.0006685981724983285, 0.0015325670498084292, 0.24179292929292928, 0.0002583311805734952, 0.35337202874516305, 0.04326328800988875, 0.4, 0.014938488576449912]","[0.9946871310507674, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.13435818452380952,16,"[0.0792, 0.11185714285714286, 0.06771428571428571, 0.06616666666666667, 0.17625, 0.087, 0.1305, 0.11171428571428571, 0.22216666666666668, 0.24542857142857144, 0.189, 0.3262, 0.0002, 0.2205, 0.11583333333333333, 0.0]",287.4322974681854,278.9543671607971,0.45055651664733887,4.847592353820801,0.00844264030456543,2.537428379058838,1116351,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,100,4.0,raw_union_K20,raw_union,699,0.0,0.1591,0.14935625,0.2661,0.7806,0.2379,-0.7820378943121378,0,16,"[-0.9713695395513576, -0.7787503366549959, -0.8631488631488631, -0.973800672685431, -0.9858906525573192, -0.09583333333333333, -0.11621621621621614, -0.9644012944983819, -0.6558948072208604, -0.9918263090676884, -0.8800505050505051, -0.9930250581245156, -0.7700386954118297, -0.984919653893696, -0.5392857142857143, -0.9481546572934975]","[0.023612750885478158, 0.22124966334500404, 0.1317031317031317, 0.025845282350858558, 0.0, 0.9041666666666667, 0.8772972972972973, 0.016181229773462782, 0.3418765322041453, 0.004086845466155811, 0.11994949494949494, 0.0, 0.22996130458817027, 0.01508034610630408, 0.37857142857142856, 0.014938488576449912]","[0.9949822904368358, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.11432162698412698,16,"[0.0228, 0.09885714285714285, 0.035, 0.07833333333333334, 0.1865, 0.0768888888888889, 0.11333333333333333, 0.096, 0.17016666666666666, 0.1747142857142857, 0.16128571428571428, 0.3136, 0.004, 0.24416666666666667, 0.0535, 0.0]",287.3893492221832,278.93197417259216,0.44814300537109375,4.85078239440918,0.008560419082641602,2.5566790103912354,1116351,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,100,1.0,raw_union_K20,raw_union,699,0.0,0.2029,0.14946875,0.2655,0.7833,0.2379,-0.7573277960755548,0,16,"[-0.9716646989374262, -0.805144088338271, -0.6945516945516945, -0.9391042662418128, -0.9858906525573192, -0.20416666666666672, -0.20594594594594595, -0.9611650485436893, -0.7550702028081124, -0.9008939974457216, -0.7288510101010102, -0.9919917334022216, -0.5988114980652295, -0.9735475896168109, -0.5392857142857143, -0.8611599297012302]","[0.023022432113341203, 0.19485591166172905, 0.3003003003003003, 0.0605416887944769, 0.0, 0.7958333333333333, 0.7875675675675675, 0.019417475728155338, 0.24270113661689324, 0.0950191570881226, 0.2711489898989899, 0.0010333247222939809, 0.40118850193477057, 0.026452410383189122, 0.37857142857142856, 0.10193321616871705]","[0.9946871310507674, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.16488725198412696,16,"[0.0656, 0.1747142857142857, 0.098, 0.11216666666666666, 0.21775, 0.1358888888888889, 0.20216666666666666, 0.15971428571428573, 0.20483333333333334, 0.23914285714285713, 0.2072857142857143, 0.3786, 0.021, 0.2818333333333333, 0.1395, 0.0]",287.3522906303406,278.9122886657715,0.4478271007537842,4.846885919570923,0.008419275283813477,2.5381019115448,1116351,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,100,1.0,raw_union_K20,raw_union,699,0.0,0.2332,0.14949375,0.2667,0.7816,0.2365,-0.7262374821353382,0,16,"[-0.8701298701298702, -0.8410988419068139, -0.628056628056628, -0.9612320764737121, -0.982363315696649, -0.35416666666666663, -0.354054054054054, -0.8673139158576052, -0.45085803432137295, -0.815581098339719, -0.6085858585858586, -0.9919917334022216, -0.7034273079049198, -0.8828182941903585, -0.5357142857142857, -0.7724077328646749]","[0.12455726092089728, 0.1589011580931861, 0.3667953667953668, 0.03841387856257745, 0.003527336860670194, 0.6458333333333334, 0.6394594594594595, 0.11326860841423948, 0.5469133051036327, 0.18033205619412515, 0.39141414141414144, 0.0010333247222939809, 0.29657269209508014, 0.11718170580964153, 0.3821428571428571, 0.19068541300527242]","[0.9946871310507674, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.19041778273809523,16,"[0.1018, 0.23885714285714285, 0.10528571428571429, 0.20666666666666667, 0.242875, 0.186, 0.2605, 0.1977142857142857, 0.22433333333333333, 0.21314285714285713, 0.18214285714285713, 0.4058, 0.0584, 0.286, 0.13716666666666666, 0.0]",287.45028257369995,279.0076632499695,0.4487030506134033,4.845781087875366,0.00853872299194336,2.538118839263916,1116351,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,300,4.0,raw_union_K20,raw_union,699,0.0,0.2075,0.14944375000000001,0.2662,0.7819,0.2376,-0.7549837523681203,0,16,"[-0.9808146399055491, -0.7792889846485322, -0.6186186186186187, -0.9169764560099133, -0.9858906525573192, -0.1166666666666667, -0.11135135135135132, -0.9773462783171522, -0.9906396255850235, -0.9959131545338442, -0.7032828282828283, -0.9930250581245156, -0.47388059701492535, -0.9601977750309023, -0.5285714285714285, -0.9472759226713533]","[0.013872491145218418, 0.2207110153514678, 0.3762333762333762, 0.08266949902637635, 0.0, 0.8833333333333333, 0.8821621621621621, 0.003236245954692557, 0.007131713839982171, 0.0, 0.2967171717171717, 0.0, 0.5261194029850746, 0.03980222496909765, 0.3892857142857143, 0.015817223198594025]","[0.9946871310507674, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.17205706845238095,16,"[0.088, 0.1662857142857143, 0.11385714285714285, 0.07383333333333333, 0.213875, 0.12933333333333333, 0.194, 0.1662857142857143, 0.22516666666666665, 0.296, 0.23314285714285715, 0.3998, 0.0, 0.2725, 0.18083333333333335, 0.0]",296.8874468803406,278.9034490585327,0.450502872467041,14.319217443466187,0.008427143096923828,2.6110119819641113,1116351,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,300,4.0,raw_union_K20,raw_union,699,0.0,0.1437,0.1495,0.2669,0.7826,0.2374,-0.7861598974487931,0,16,"[-0.9861275088547815, -0.7640721788311339, -0.8695838695838696, -0.9883165161975571, -0.9858906525573192, -0.04583333333333328, -0.06216216216216208, -0.9741100323624595, -0.7104969913082237, -0.9943805874840358, -0.8926767676767677, -0.9930250581245156, -0.8260088446655611, -0.9957972805933251, -0.5392857142857143, -0.9507908611599297]","[0.00885478158205431, 0.23592782116886615, 0.12526812526812528, 0.011329438838732518, 0.0, 0.9541666666666667, 0.9313513513513514, 0.006472491909385114, 0.2872743481167818, 0.0015325670498084292, 0.10732323232323232, 0.0, 0.17399115533443893, 0.004202719406674907, 0.37857142857142856, 0.012302284710017574]","[0.9949822904368358, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.0984142609126984,16,"[0.018, 0.07057142857142858, 0.016714285714285713, 0.06433333333333334, 0.169125, 0.05488888888888889, 0.08216666666666667, 0.07, 0.17266666666666666, 0.16285714285714287, 0.15057142857142858, 0.2856, 0.0008, 0.22433333333333333, 0.032, 0.0]",296.97091484069824,278.98978757858276,0.4501197338104248,14.334270238876343,0.008440494537353516,2.593799352645874,1116351,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,300,1.0,raw_union_K20,raw_union,699,0.0,0.1969,0.14961875,0.2667,0.7785,0.2367,-0.7641090272041583,0,16,"[-0.974025974025974, -0.7950444384594667, -0.728013728013728, -0.9240573552841211, -0.9858906525573192, -0.16249999999999998, -0.16756756756756752, -0.9773462783171522, -0.9425005571651438, -0.9106002554278416, -0.7938762626262627, -0.9922500645827951, -0.5099502487562189, -0.9636588380716935, -0.5249999999999999, -0.8734622144112478]","[0.02066115702479339, 0.20495556154053327, 0.26683826683826684, 0.07558859975216853, 0.0, 0.8375, 0.825945945945946, 0.003236245954692557, 0.055270782259861824, 0.08531289910600255, 0.20612373737373738, 0.0007749935417204857, 0.4900497512437811, 0.03634116192830655, 0.39285714285714285, 0.08963093145869948]","[0.9946871310507674, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.16237904265873013,16,"[0.0646, 0.16128571428571428, 0.11628571428571428, 0.0765, 0.214125, 0.12544444444444444, 0.187, 0.1492857142857143, 0.20666666666666667, 0.26085714285714284, 0.2267142857142857, 0.365, 0.0168, 0.27316666666666667, 0.15433333333333332, 0.0]",296.9827518463135,279.0199296474457,0.4511282444000244,14.339505672454834,0.008422613143920898,2.565549612045288,1116351,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,300,1.0,raw_union_K20,raw_union,699,0.0,0.2123,0.14944375000000001,0.2669,0.7765,0.2377,-0.7476296441942493,0,16,"[-0.936245572609209, -0.8163210342041476, -0.6919776919776919, -0.9539741547176491, -0.9858906525573192, -0.24583333333333335, -0.2518918918918919, -0.9288025889967637, -0.5502562959661244, -0.8978288633461048, -0.692550505050505, -0.9919917334022216, -0.6731619679380874, -0.950061804697157, -0.5464285714285714, -0.8488576449912127]","[0.05844155844155844, 0.1836789657958524, 0.3028743028743029, 0.04567180031864047, 0.0, 0.7541666666666667, 0.7416216216216216, 0.05177993527508091, 0.4475150434588812, 0.09808429118773947, 0.307449494949495, 0.0010333247222939809, 0.32683803206191264, 0.04993819530284302, 0.37142857142857144, 0.11423550087873462]","[0.9946871310507674, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.1696600446428571,16,"[0.072, 0.19242857142857142, 0.08671428571428572, 0.14933333333333335, 0.227375, 0.14966666666666667, 0.21616666666666667, 0.171, 0.206, 0.21957142857142858, 0.18957142857142859, 0.3934, 0.03, 0.2855, 0.12583333333333332, 0.0]",296.83475279808044,278.9493691921234,0.4475414752960205,14.28897213935852,0.008524179458618164,2.5379559993743896,1116351,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,30,4.0,raw_union_K20,raw_union,699,0.0,0.1623,0.1496875,0.2665,0.7825,0.2375,-0.7953227103153763,0,16,"[-0.9840613931523022, -0.7872340425531915, -0.824967824967825, -0.9330855018587361, -0.9858906525573192, -0.13749999999999996, -0.14054054054054055, -0.9773462783171522, -0.9971027412525073, -0.9948914431673053, -0.8882575757575758, -0.9930250581245156, -0.5733830845771144, -1.0, -0.5535714285714286, -0.9543057996485061]","[0.010920897284533649, 0.2127659574468085, 0.16988416988416988, 0.06656045317755355, 0.0, 0.8625, 0.8529729729729729, 0.003236245954692557, 0.0006685981724983285, 0.0010217113665389529, 0.11174242424242424, 0.0, 0.42661691542288555, 0.0, 0.36428571428571427, 0.008787346221441126]","[0.9949822904368358, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.1277065724206349,16,"[0.0296, 0.10471428571428572, 0.08357142857142857, 0.024833333333333332, 0.184375, 0.08144444444444444, 0.12216666666666667, 0.10457142857142857, 0.17316666666666666, 0.2317142857142857, 0.21071428571428572, 0.3244, 0.0002, 0.24583333333333332, 0.122, 0.0]",284.2118525505066,278.9530246257782,0.5758147239685059,1.5545029640197754,0.002682209014892578,2.532428026199341,1116351,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,30,4.0,raw_union_K20,raw_union,699,0.0,0.1898,0.1494375,0.2663,0.7759,0.2378,-0.76275061140225,0,16,"[-0.890495867768595, -0.8072986803124158, -0.7885027885027884, -0.9637103912196849, -0.9858906525573192, -0.20416666666666672, -0.22594594594594586, -0.8996763754045307, -0.5790060173835525, -0.9558109833971903, -0.7872474747474747, -0.9930250581245156, -0.7184908789386402, -0.9453646477132263, -0.5428571428571428, -0.9165202108963093]","[0.10419126328217237, 0.19270131968758417, 0.20634920634920634, 0.03593556381660471, 0.0, 0.7958333333333333, 0.7675675675675676, 0.08090614886731391, 0.4187653220414531, 0.040102171136653895, 0.21275252525252525, 0.0, 0.2815091210613599, 0.0546353522867738, 0.375, 0.04657293497363796]","[0.9946871310507674, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.1458795386904762,16,"[0.0484, 0.15728571428571428, 0.069, 0.117, 0.212125, 0.12233333333333334, 0.16883333333333334, 0.13857142857142857, 0.18033333333333335, 0.19285714285714287, 0.177, 0.3628, 0.0262, 0.2613333333333333, 0.1, 0.0]",284.2540400028229,279.10961532592773,0.454526424407959,1.5525248050689697,0.0025725364685058594,2.530080795288086,1116351,ai08,success,
