backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
cnn5_cifar10,CIFAR10,16,0.05,42,300,4.0,raw_union_K20,raw_union,699,0.0,0.2057,0.14946875,0.2661,0.7779,0.238,-0.7559661007776758,0,16,"[-0.9811097992916175, -0.77888499865338, -0.6207636207636207, -0.9169764560099133, -0.9858906525573192, -0.1166666666666667, -0.10918918918918918, -0.9773462783171522, -0.9897481613550256, -0.9959131545338442, -0.7064393939393939, -0.9930250581245156, -0.4796849087893864, -0.9644004944375772, -0.532142857142857, -0.9472759226713533]","[0.013872491145218418, 0.22111500134662, 0.3740883740883741, 0.08266949902637635, 0.0, 0.8833333333333333, 0.8843243243243243, 0.003236245954692557, 0.008023178069979943, 0.0, 0.2935606060606061, 0.0, 0.5203150912106136, 0.035599505562422744, 0.38571428571428573, 0.015817223198594025]","[0.9949822904368358, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.17021463293650793,16,"[0.0854, 0.16357142857142856, 0.11171428571428571, 0.07183333333333333, 0.21225, 0.1272222222222222, 0.19083333333333333, 0.16357142857142856, 0.22316666666666668, 0.29328571428571426, 0.2322857142857143, 0.3978, 0.0, 0.27166666666666667, 0.17883333333333334, 0.0]",296.60590744018555,278.66174507141113,0.45270514488220215,14.283920526504517,0.008416414260864258,2.597200632095337,1116352,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,300,4.0,synthetic_K100,synthetic,6200,0.0,0.1323,0.1495125,0.266,0.7803,0.2613,-0.7825035780676295,0,16,"[-0.9654663518299882, -0.7483167250201993, -0.945087945087945, -0.9932731456895025, -0.9717813051146384, -0.04166666666666663, -0.04270270270270271, -0.9546925566343042, -0.9765990639625586, -0.9959131545338442, -0.9949494949494949, -0.9803668302764144, -0.7810945273631841, -0.8123609394313968, -0.35357142857142854, -0.9622144112478032]","[0.02922077922077922, 0.2516832749798007, 0.049764049764049766, 0.006372809346787042, 0.014109347442680775, 0.9583333333333334, 0.9508108108108108, 0.025889967637540454, 0.02117227546244707, 0.0, 0.005050505050505051, 0.012658227848101266, 0.21890547263681592, 0.18763906056860322, 0.5642857142857143, 0.0008787346221441124]","[0.9946871310507674, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.09178194444444444,16,"[0.0592, 0.047857142857142855, 0.05042857142857143, 0.0525, 0.162, 0.041444444444444443, 0.05333333333333334, 0.04971428571428571, 0.20316666666666666, 0.18257142857142858, 0.14942857142857144, 0.2054, 0.0128, 0.17166666666666666, 0.016, 0.011]",300.7522072792053,278.9731159210205,4.313101530075073,14.272934198379517,0.008423328399658203,2.5841305255889893,1116352,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,300,4.0,synthetic_logit_K100,synthetic_logit,6200,0.0,0.1613,0.14952500000000002,0.2658,0.7851,0.2695,-0.7744080734329645,0,16,"[-0.9695985832349469, -0.754780500942634, -0.945087945087945, -0.8675871835723137, -0.9770723104056438, -0.07499999999999996, -0.06648648648648647, -0.941747572815534, -0.9806106529975486, -0.9948914431673053, -0.9952651515151515, -0.9330922242314647, -0.6880873410724158, -0.8291718170580964, -0.4107142857142857, -0.9613356766256591]","[0.02538370720188902, 0.245219499057366, 0.049764049764049766, 0.13205877146397593, 0.008818342151675485, 0.925, 0.927027027027027, 0.038834951456310676, 0.0171606864274571, 0.0010217113665389529, 0.004734848484848485, 0.05993283389305089, 0.3119126589275843, 0.17082818294190358, 0.5071428571428571, 0.0017574692442882249]","[0.9949822904368358, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.12695049603174605,16,"[0.086, 0.08914285714285715, 0.09428571428571429, 0.05266666666666667, 0.2, 0.07555555555555556, 0.08583333333333333, 0.09457142857142857, 0.225, 0.225, 0.19328571428571428, 0.2366, 0.0416, 0.21866666666666668, 0.07, 0.043]",307.25356125831604,277.6231324672699,5.035614967346191,14.270702123641968,0.008482694625854492,2.600376844406128,1116352,ai08,success,
cnn5_cifar10,CIFAR10,16,1.0,42,300,4.0,raw_union_K20,raw_union,3127,0.0,0.5024,0.479,0.5254,0.7815,0.4859,-0.4930101105930773,0,16,"[-0.4809802487198245, -0.5056074766355141, -0.5157133878064111, -0.4754039497307002, -0.5016403220996123, -0.520820189274448, -0.5763255656872679, -0.4225058609012764, -0.5486725663716814, -0.4830934047539337, -0.4611371935315597, -0.48698004734528233, -0.5246621621621621, -0.4577540106951872, -0.4849128771780705, -0.441952506596306]","[0.5190197512801755, 0.49439252336448597, 0.48428661219358893, 0.5245960502692998, 0.4983596779003877, 0.47917981072555205, 0.42367443431273216, 0.5774941390987236, 0.45132743362831856, 0.5169065952460663, 0.5388628064684403, 0.5130199526547177, 0.47533783783783784, 0.5422459893048128, 0.5150871228219295, 0.558047493403694]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,0,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",295.9873995780945,278.30741572380066,1.2908930778503418,14.331242322921753,0.00843667984008789,1.4940876960754395,1116352,ai08,success,
cnn5_cifar10,CIFAR10,16,1.0,42,300,4.0,synthetic_K100,synthetic,16000,0.0,0.3919,0.47804375,0.5297,0.7781,0.25,-0.6075695925494768,0,16,"[-0.5932699341623995, -0.5719626168224299, -0.5999371464487744, -0.6201077199281867, -0.642708022666269, -0.6627760252365931, -0.6001350894967916, -0.5892159416514717, -0.6234021632251721, -0.6672246401071309, -0.5959833072509129, -0.6608048698004734, -0.5709459459459459, -0.5639928698752228, -0.534636634084148, -0.6240105540897098]","[0.4067300658376006, 0.4280373831775701, 0.4000628535512256, 0.3798922800718133, 0.35729197733373097, 0.33722397476340693, 0.3998649105032084, 0.41078405834852827, 0.37659783677482794, 0.3327753598928691, 0.40401669274908714, 0.3391951301995266, 0.42905405405405406, 0.4360071301247772, 0.4653633659158521, 0.3759894459102902]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,0,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",302.2105860710144,278.3730573654175,7.524431943893433,14.247179746627808,0.008466720581054688,1.5069496631622314,1116352,ai08,success,
cnn5_cifar10,CIFAR10,16,1.0,42,300,4.0,synthetic_logit_K100,synthetic_logit,16000,0.0,0.4123,0.47873750000000004,0.5279,0.7792,0.2523,-0.594741252416508,0,16,"[-0.612289685442575, -0.5666666666666667, -0.6099937146448775, -0.6179533213644524, -0.596779003877125, -0.6141955835962145, -0.579871664978048, -0.6090127637405575, -0.6145526057030481, -0.663542015400067, -0.5685967657798643, -0.6060196144741292, -0.5520270270270271, -0.530837789661319, -0.5495112622184446, -0.6240105540897098]","[0.387710314557425, 0.43333333333333335, 0.39000628535512255, 0.3820466786355476, 0.40322099612287504, 0.3858044164037855, 0.42012833502195207, 0.39098723625944254, 0.3854473942969518, 0.33645798459993304, 0.43140323422013566, 0.39398038552587084, 0.44797297297297295, 0.46916221033868094, 0.45048873778155546, 0.3759894459102902]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,0,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",303.22901463508606,278.63911747932434,8.173909425735474,14.30298924446106,0.008480548858642578,1.5109930038452148,1116352,ai08,success,
resnet18_cifar10,CIFAR10,16,0.05,42,100,1.0,raw_union_K20,raw_union,699,0.0,0.7642,0.165825,0.2885,0.8701,0.7564,-0.18824718220645745,0,16,"[-0.24704840613931522, -0.07110153514678152, -0.16602316602316602, -0.44414940697468575, -0.24867724867724872, -0.15000000000000002, -0.18594594594594593, -0.24595469255663427, -0.12057053710719867, -0.12056194125159647, -0.1515151515151516, -0.30948075432704736, -0.12354892205638479, -0.24647713226205192, -0.10357142857142865, -0.0773286467486819]","[0.7432113341204251, 0.7390250471316995, 0.8258258258258259, 0.5535493007611967, 0.7372134038800705, 0.85, 0.8075675675675675, 0.7346278317152104, 0.877200802317807, 0.8753512132822477, 0.8308080808080808, 0.6830276414363213, 0.8568269762299613, 0.719159456118665, 0.7892857142857143, 0.8611599297012302]","[0.9902597402597403, 0.810126582278481, 0.9918489918489919, 0.9976987077358824, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 0.9823232323232324, 0.9925083957633687, 0.9803758982863461, 0.965636588380717, 0.8928571428571429, 0.9384885764499121]",0.7491959821428572,16,"[0.6888, 0.7755714285714286, 0.733, 0.7808333333333334, 0.76475, 0.7573333333333333, 0.815, 0.748, 0.7375, 0.7411428571428571, 0.7445714285714286, 0.8282, 0.6936, 0.7833333333333333, 0.7215, 0.674]",3.981003761291504,2.2051401138305664,0.04078555107116699,1.498358964920044,0.0005853176116943359,0.1326427459716797,1116352,ai08,success,
resnet18_cifar10,CIFAR10,16,0.05,42,100,1.0,synthetic_K100,synthetic,6200,0.0,0.7748,0.165825,0.2885,0.8701,0.7733,-0.19065406633130913,0,16,"[-0.30578512396694213, -0.05305682736331807, -0.18189618189618195, -0.3051867587183572, -0.19753086419753085, -0.1875, -0.22864864864864864, -0.31391585760517804, -0.10073545798974826, -0.12439335887611758, -0.15688131313131315, -0.30457246189615095, -0.14013266998341634, -0.2533992583436342, -0.11071428571428577, -0.08611599297012307]","[0.6844746162927982, 0.7570697549151629, 0.8099528099528099, 0.6925119490175252, 0.7883597883597884, 0.8125, 0.7648648648648648, 0.6666666666666666, 0.8970358814352574, 0.8715197956577266, 0.8254419191919192, 0.6879359338672177, 0.8402432283029297, 0.7122373300370828, 0.7821428571428571, 0.8523725834797891]","[0.9902597402597403, 0.810126582278481, 0.9918489918489919, 0.9976987077358824, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 0.9823232323232324, 0.9925083957633687, 0.9803758982863461, 0.965636588380717, 0.8928571428571429, 0.9384885764499121]",0.7656388640873015,16,"[0.734, 0.7917142857142857, 0.7534285714285714, 0.7958333333333333, 0.772625, 0.7757777777777778, 0.8168333333333333, 0.7795714285714286, 0.7571666666666667, 0.7602857142857142, 0.7542857142857143, 0.8036, 0.7256, 0.8071666666666667, 0.7423333333333333, 0.68]",4.380253314971924,2.197221040725708,0.427152156829834,1.5053277015686035,0.0006151199340820312,0.13326048851013184,1116352,ai08,success,
resnet18_cifar10,CIFAR10,16,0.05,42,100,1.0,synthetic_logit_K100,synthetic_logit,6200,0.0,0.7695,0.165825,0.2885,0.8701,0.766,-0.19655798883466508,0,16,"[-0.2880755608028336, -0.11944519256665764, -0.15915915915915924, -0.2881926004602584, -0.29453262786596124, -0.19999999999999996, -0.22540540540540532, -0.2912621359223301, -0.10340985067974151, -0.13639846743295025, -0.14267676767676774, -0.3177473521053992, -0.1390270867882809, -0.25710754017305315, -0.09285714285714286, -0.08963093145869949]","[0.7021841794569067, 0.6906813897118234, 0.8326898326898327, 0.709506107275624, 0.691358024691358, 0.8, 0.7681081081081081, 0.6893203883495146, 0.8943614887452641, 0.859514687100894, 0.8396464646464646, 0.6747610436579695, 0.8413488114980652, 0.7085290482076638, 0.8, 0.8488576449912126]","[0.9902597402597403, 0.810126582278481, 0.9918489918489919, 0.9976987077358824, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 0.9823232323232324, 0.9925083957633687, 0.9803758982863461, 0.965636588380717, 0.8928571428571429, 0.9384885764499121]",0.7590482638888888,16,"[0.7196, 0.7997142857142857, 0.7431428571428571, 0.7798333333333334, 0.77525, 0.7698888888888888, 0.8175, 0.7702857142857142, 0.7595, 0.751, 0.7438571428571429, 0.8126, 0.7096, 0.7945, 0.7345, 0.664]",11.584629535675049,2.382906675338745,0.5441145896911621,1.4903943538665771,0.0010859966278076172,0.1383678913116455,1116352,ai08,success,
resnet18_cifar10,CIFAR10,16,1.0,42,100,1.0,raw_union_K20,raw_union,3127,0.0,0.834,0.693425,0.7868,0.8701,0.8303,-0.024968396044803415,1,16,"[-0.008046817849304944, -0.042367601246105946, -0.023570081709616608, -0.03087971274685819, -0.01699970175961818, -0.03154574132492116, -0.06653157716987501, -0.03698879916644959, -0.014421501147164895, -0.04050887177770335, -0.03860198226395417, -0.031450794724382836, -0.015878378378378355, -0.022103386809269154, -0.04292392690182745, 0.0633245382585752]","[0.8474762253108998, 0.8348909657320872, 0.8390949088623507, 0.8366247755834829, 0.8341783477482851, 0.8545741324921136, 0.83451536643026, 0.8533472258400625, 0.8187479514913143, 0.8352862403749581, 0.8547209181011998, 0.838349678728441, 0.8641891891891892, 0.8787878787878788, 0.8130046748831279, 0.8456464379947229]","[0.8555230431602048, 0.8772585669781932, 0.8626649905719673, 0.8675044883303411, 0.8511780495079033, 0.8861198738170347, 0.901046943600135, 0.8903360250065121, 0.8331694526384792, 0.8757951121526615, 0.8933229003651539, 0.8698004734528239, 0.8800675675675675, 0.9008912655971479, 0.8559286017849553, 0.7823218997361477]",,0,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",4.0218284130096436,2.1852657794952393,0.11249613761901855,1.5080854892730713,0.0005996227264404297,0.11251616477966309,1116352,ai08,success,
