backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
mlp_mnist,MNIST,10,0.01,43,300,4.0,dp_avg_eps2_K20,dp_avg,10,4.216436363495281,0.3196,0.18355,0.2904,0.9747,0.1677,-0.6782046707722629,0,10,"[-0.33909180651530113, -0.5853808985298654, -0.8237082066869301, -0.6226113150710721, -0.9219845722300141, -0.9285714285714286, -0.9850636989310294, -0.043609289133132445, -0.7340965266033563, -0.7979289654504984]","[0.6559723593287266, 0.4140022617456564, 0.16109422492401215, 0.375223571495811, 0.07801542776998598, 0.0, 0.013032654854297847, 0.9563907108668676, 0.26551320411083645, 0.2011032613955289]","[0.9950641658440277, 0.9993831602755218, 0.9848024316109423, 0.9978348865668831, 1.0, 0.9285714285714286, 0.9980963537853272, 1.0, 0.9996097307141928, 0.9990322268460273]",0.30006710921447016,10,"[0.21356043236161154, 0.29028259791769956, 0.34547792541791683, 0.29109632048223033, 0.3458980044345898, 0.39568801521876984, 0.31795716639209226, 0.24772676868485252, 0.2761868877166541, 0.27679697351828497]",17.74552607536316,13.109323024749756,0.04493975639343262,4.2045464515686035,0.0010426044464111328,0.20831894874572754,1116729,ai05,success,
mlp_mnist,MNIST,10,0.01,44,300,4.0,dp_avg_eps2_K20,dp_avg,10,4.208864507125922,0.3554,0.15971,0.2014,0.9776,0.2757,-0.7611927226060002,0,10,"[-0.8662477558348294, -0.9455607075390692, -0.11165611343975734, -0.9184, -0.31918687589158345, -0.8550446998722862, -0.9994954591321897, -0.7491082045184305, -0.8488600628930818, -0.9983673469387755]","[0.13375224416517056, 0.054439292460930794, 0.8879871577633105, 0.0656, 0.676444365192582, 0.14431673052362706, 0.0003363605785401951, 0.25089179548156954, 0.15074685534591195, 0.0004897959183673469]","[1.0, 1.0, 0.9996432712030678, 0.984, 0.9956312410841655, 0.9993614303959132, 0.9998318197107299, 1.0, 0.9996069182389937, 0.9988571428571429]",0.37065574827372794,10,"[0.33449131513647645, 0.3895452518947838, 0.2258024384175168, 0.4380952380952381, 0.2815343004671748, 0.3598463289698349, 0.45691676436107853, 0.37055837563451777, 0.41914357682619646, 0.43062389293446174]",17.80692481994629,13.137476205825806,0.040219783782958984,4.226016998291016,0.0011019706726074219,0.2229626178741455,1116760,ai05,success,
mlp_mnist,MNIST,10,0.01,44,300,4.0,noprobe_dp_avg_eps2_K20,noprobe_dp_avg,24,4.208864507125922,0.2898,0.15971,0.2014,0.9776,0.1892,-0.7747115480722326,0,10,"[-0.8919210053859964, -0.8179632491842692, -0.2042272362436457, -0.9328, -0.6854493580599144, -0.6679438058748404, -0.9993272788429196, -0.924346016646849, -0.6246069182389937, -0.998530612244898]","[0.1080789946140036, 0.18203675081573073, 0.7954160349594221, 0.0512, 0.3101818830242511, 0.3314176245210728, 0.0005045408678102926, 0.07565398335315102, 0.375, 0.00032653061224489796]","[1.0, 1.0, 0.9996432712030678, 0.984, 0.9956312410841655, 0.9993614303959132, 0.9998318197107299, 1.0, 0.9996069182389937, 0.9988571428571429]",0.2764246960844393,10,"[0.23784119106699753, 0.3014935354436023, 0.16558845483951232, 0.31932773109243695, 0.28300958937791987, 0.2097324985771201, 0.34862250879249707, 0.3183305132543711, 0.28488664987405543, 0.29541428852588075]",17.793014526367188,13.18300724029541,0.03860211372375488,4.18081259727478,0.0010447502136230469,0.2073533535003662,1116729,ai05,success,
mlp_mnist,MNIST,10,0.01,42,300,4.0,noprobe_dp_avg_eps8_K20,noprobe_dp_avg,0,0.0,,0.18243,0.4034,0.9735,,,,,[],[],[],,,[],13.275202989578247,13.070342540740967,0.0,0.0,0.0,0.0,1116760,ai05,FAIL,"RuntimeError: cannot reshape tensor of 0 elements into shape [0, -1] because the unspecified dimension size -1 can be any value and is ambiguous"
mlp_mnist,MNIST,10,0.01,43,300,4.0,noprobe_dp_avg_eps8_K20,noprobe_dp_avg,26,1.0541090908738202,0.3317,0.18355,0.2904,0.9747,0.1344,-0.6467554215010619,0,10,"[-0.05478775913129319, -0.3478976046057366, -0.9171732522796353, -0.7250305939941635, -0.4821178120617111, -0.8571428571428572, -0.9808171035290671, -0.24924658748448858, -0.8713412254455575, -0.9819994193361077]","[0.9402764067127345, 0.6514855556697852, 0.067629179331307, 0.2728042925727196, 0.5178821879382889, 0.07142857142857142, 0.017279250256260068, 0.7507534125155114, 0.12826850526863537, 0.017032807509919676]","[0.9950641658440277, 0.9993831602755218, 0.9848024316109423, 0.9978348865668831, 1.0, 0.9285714285714286, 0.9980963537853272, 1.0, 0.9996097307141928, 0.9990322268460273]",0.27987233854307586,10,"[0.10547002947920078, 0.23921665840356965, 0.33576225175025004, 0.33567750847670474, 0.30864745011086475, 0.35307545973367155, 0.297807628944367, 0.2843202483921047, 0.3357196684250188, 0.2030264817150063]",17.713693857192993,13.114516019821167,0.04147028923034668,4.1624345779418945,0.0010557174682617188,0.21475744247436523,1116795,ai05,success,
mlp_mnist,MNIST,10,0.01,44,300,4.0,noprobe_dp_avg_eps8_K20,noprobe_dp_avg,24,1.0522161267814805,0.4427,0.15971,0.2014,0.9776,0.3149,-0.5931534794627021,0,10,"[-0.6464991023339317, -0.12278894040872401, -0.27209488985998387, -0.6768000000000001, -0.6166191155492153, -0.6372924648786717, -0.9991590985536495, -0.3980380499405469, -0.563875786163522, -0.9983673469387755]","[0.35350089766606824, 0.877211059591276, 0.727548381343084, 0.3072, 0.37901212553495006, 0.3620689655172414, 0.0006727211570803902, 0.6019619500594531, 0.4357311320754717, 0.0004897959183673469]","[1.0, 1.0, 0.9996432712030678, 0.984, 0.9956312410841655, 0.9993614303959132, 0.9998318197107299, 1.0, 0.9996069182389937, 0.9988571428571429]",0.42635620047166956,10,"[0.40248138957816376, 0.3913285777975925, 0.3712366260263747, 0.47983193277310926, 0.4588148512417015, 0.407655093910074, 0.4928194607268464, 0.4221094190637338, 0.39445843828715366, 0.4428262153119465]",17.84031081199646,13.175492286682129,0.03992009162902832,4.217929363250732,0.0010752677917480469,0.22490596771240234,1116821,ai05,success,
mlp_mnist,MNIST,10,0.01,42,300,4.0,noprobe_raw_union_K20,noprobe_raw_union,0,0.0,,0.18243,0.4034,0.9735,,,,,[],[],[],,,[],13.585839033126831,13.380041122436523,0.0,0.0,0.0,0.0,1116842,ai05,FAIL,"RuntimeError: cannot reshape tensor of 0 elements into shape [0, -1] because the unspecified dimension size -1 can be any value and is ambiguous"
mlp_mnist,MNIST,10,0.01,42,300,4.0,raw_union_K20,raw_union,356,0.0,0.7905,0.18243,0.4034,0.9735,0.7807,-0.25304861180219107,0,8,"[null, -0.8756696840938482, -0.1739180346688095, -0.12370015372095122, -0.12054329371816641, -0.16283157558325345, -0.07164674634794155, null, -0.13585616934899225, -0.3602232369355657]","[null, 0.12396083502678737, 0.824819194122374, 0.8713265213852971, 0.8675721561969439, 0.8371684244167465, 0.9268924302788845, null, 0.8583442076265043, 0.639100287502114]","[null, 0.9996305191206355, 0.9987372287911835, 0.9950266751062483, 0.9881154499151104, 1.0, 0.998539176626826, null, 0.9942003769754966, 0.9993235244376797]",0.7805991263776146,10,"[0.7905, 0.8486874690440812, 0.7474442768560415, 0.8407684793226962, 0.7856158376143341, 0.7842175657601427, 0.6948460622554856, 0.7905, 0.7871739491609901, 0.7362376237623762]",16.893635988235474,13.100738048553467,0.061155080795288086,3.3459107875823975,0.001049041748046875,0.20615887641906738,1116795,ai05,success,
mlp_mnist,MNIST,10,0.01,43,300,4.0,raw_union_K20,raw_union,400,0.0,0.801,0.18355,0.2904,0.9747,0.7384,-0.16204238661624576,0,10,"[-0.14659427443237916, -0.12048935951475281, -0.17553191489361708, -0.4323637390567636, -0.028225806451612878, -0.07142857142857151, -0.09562161370625266, -0.06186846303846838, -0.1944841940939248, -0.29381592954611446]","[0.8484698914116485, 0.878893800760769, 0.8092705167173252, 0.5654711475101195, 0.9717741935483871, 0.8571428571428571, 0.9024747400790746, 0.9381315369615316, 0.805125536620268, 0.7052162972999129]","[0.9950641658440277, 0.9993831602755218, 0.9848024316109423, 0.9978348865668831, 1.0, 0.9285714285714286, 0.9980963537853272, 1.0, 0.9996097307141928, 0.9990322268460273]",0.7763287867331351,10,"[0.7312479528332787, 0.7884234010907288, 0.7816830975853694, 0.8501820921763155, 0.7811529933481153, 0.7611921369689283, 0.7802559878342415, 0.7848746950543358, 0.7842250690781211, 0.7200504413619168]",17.894543170928955,13.2374849319458,0.0648646354675293,4.200559139251709,0.001062154769897461,0.20572972297668457,1116821,ai05,success,
mlp_mnist,MNIST,10,0.01,44,300,4.0,raw_union_K20,raw_union,342,0.0,0.7464,0.15971,0.2014,0.9776,0.7122,-0.2513673537780218,0,10,"[-0.08779174147217239, -0.05581315473123816, -0.04878266298046907, -0.08640000000000003, -0.23288159771754635, -0.18454661558109842, -0.9719138916918937, -0.04919738406658736, -0.18671383647798745, -0.6096326530612245]","[0.9122082585278276, 0.9441868452687618, 0.9508606082225988, 0.8976, 0.7627496433666191, 0.8148148148148148, 0.02791792801883619, 0.9508026159334126, 0.8128930817610063, 0.3892244897959184]","[1.0, 1.0, 0.9996432712030678, 0.984, 0.9956312410841655, 0.9993614303959132, 0.9998318197107299, 1.0, 0.9996069182389937, 0.9988571428571429]",0.7435571089546656,10,"[0.7031017369727047, 0.72447614801605, 0.6943269470017417, 0.7700280112044818, 0.7445291369559872, 0.6869664200341491, 0.8081770222743259, 0.7183305132543711, 0.7129722921914358, 0.8726628616414092]",18.19429111480713,13.396744012832642,0.061299800872802734,4.328165054321289,0.0010848045349121094,0.21167922019958496,1116842,ai05,success,
