backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
mlp_mnist,MNIST,10,0.05,42,300,4.0,dp_avg_eps2_K20,dp_avg,10,4.230935073091968,0.5172,0.33375,0.5902,0.9735,0.1668,-0.4562762599025786,0,10,"[-0.24884792626728114, -0.7569453095801669, -0.7305494505494505, -0.3386120767349041, -0.8515090543259558, -0.5, -0.33644327327113455, -0.2626728110599078, -0.407186817550129, -0.12999587968685622]","[0.7050691244239631, 0.23744861093808398, 0.26344322344322346, 0.6516029354963306, 0.14004024144869215, 0.4993288590604027, 0.6614201267715974, 0.695852534562212, 0.5886440341473099, 0.8685620107128141]","[0.9539170506912442, 0.9943939205182509, 0.993992673992674, 0.9902150122312348, 0.9915492957746479, 0.9993288590604027, 0.997863400042732, 0.9585253456221198, 0.9958308516974389, 0.9985578903996704]",0.43389877290947754,10,"[0.47120681021532296, 0.31610337972166996, 0.4511545293072824, 0.4069933396764986, 0.4830763068295614, 0.3825200534759358, 0.25868725868725867, 0.5533054393305439, 0.5388861828218867, 0.47705442902881534]",17.707380533218384,13.103726387023926,0.05344200134277344,4.161563158035278,0.0010974407196044922,0.19399333000183105,1116375,ai05,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,noprobe_dp_avg_eps2_K20,noprobe_dp_avg,50,4.230935073091968,0.4539,0.33375,0.5902,0.9735,0.1869,-0.517599618939267,0,10,"[-0.4377880184331797, -0.7703999003363649, -0.7742124542124542, -0.36461954422556975, -0.917102615694165, -0.6171620325982743, -0.45644897087102054, -0.23502304147465436, -0.4310105221361922, -0.17222908941079518]","[0.5161290322580645, 0.22399402018188613, 0.21978021978021978, 0.625595468005665, 0.0744466800804829, 0.38216682646212846, 0.5414144291717115, 0.7235023041474654, 0.5648203295612467, 0.8263288009888752]","[0.9539170506912442, 0.9943939205182509, 0.993992673992674, 0.9902150122312348, 0.9915492957746479, 0.9993288590604027, 0.997863400042732, 0.9585253456221198, 0.9958308516974389, 0.9985578903996704]",0.3483336132870124,10,"[0.406985478217326, 0.16401590457256462, 0.3508979672389974, 0.3144624167459562, 0.37232124974964953, 0.31183155080213903, 0.18736029262345053, 0.4589121338912134, 0.4453645072251989, 0.47118463180362863]",24.648826122283936,13.278939247131348,0.06773710250854492,4.180341005325317,0.0011219978332519531,0.20082855224609375,1116375,ai05,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,noprobe_dp_avg_eps8_K20,noprobe_dp_avg,50,1.057733768272992,0.4548,0.33375,0.5902,0.9735,0.2849,-0.5215287194820738,0,10,"[-0.4285714285714286, -0.7680328889996263, -0.7775824175824175, -0.36976953778807786, -0.93158953722334, -0.6274209012464046, -0.45331529093369416, -0.2626728110599078, -0.4284296208060353, -0.16790276060980636]","[0.5253456221198156, 0.22636103151862463, 0.2164102564102564, 0.6204454744431569, 0.05995975855130785, 0.3719079578139981, 0.5445481091090378, 0.695852534562212, 0.5674012308914036, 0.830655129789864]","[0.9539170506912442, 0.9943939205182509, 0.993992673992674, 0.9902150122312348, 0.9915492957746479, 0.9993288590604027, 0.997863400042732, 0.9585253456221198, 0.9958308516974389, 0.9985578903996704]",0.3501804196942498,10,"[0.4116174261392088, 0.15308151093439365, 0.35366094335898957, 0.3206470028544244, 0.3797316242739836, 0.3165106951871658, 0.18349928876244664, 0.46543933054393305, 0.4453645072251989, 0.47225186766275346]",17.595609664916992,13.02627158164978,0.04812169075012207,4.125741481781006,0.0010950565338134766,0.19437837600708008,1116375,ai05,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,noprobe_raw_union_K20,noprobe_raw_union,50,0.0,0.4736,0.33375,0.5902,0.9735,0.4275,-0.49705322780409283,0,10,"[-0.31336405529953915, -0.7574436277563225, -0.7654212454212455, -0.36217329728337844, -0.9263581488933602, -0.6410354745925215, -0.38715191225696177, -0.24884792626728103, -0.4008338296605122, -0.16790276060980636]","[0.6405529953917051, 0.2369502927619285, 0.22857142857142856, 0.6280417149478563, 0.06519114688128773, 0.3582933844678811, 0.6107114877857702, 0.7096774193548387, 0.5949970220369267, 0.830655129789864]","[0.9539170506912442, 0.9943939205182509, 0.993992673992674, 0.9902150122312348, 0.9915492957746479, 0.9993288590604027, 0.997863400042732, 0.9585253456221198, 0.9958308516974389, 0.9985578903996704]",0.37459411481504573,10,"[0.42513770655983973, 0.18058316766070245, 0.38523781330175644, 0.3361084681255947, 0.4129781694372121, 0.3449197860962567, 0.19122129648445438, 0.5015899581589958, 0.4692320181847702, 0.4989327641408751]",17.612112998962402,13.060476541519165,0.0433201789855957,4.130213260650635,0.0010995864868164062,0.19442200660705566,1116375,ai05,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,0.861,0.33375,0.5902,0.9735,0.824,-0.11757156559460875,1,10,"[0.01382488479262678, -0.36277563224118603, -0.16249084249084245, -0.0982361272048411, -0.17142857142857149, -0.14189837008628958, -0.05683355886332886, -0.041474654377880116, -0.10125074449076832, -0.053152039555006136]","[0.967741935483871, 0.6316182882770649, 0.8315018315018315, 0.8919788850263937, 0.8201207243460764, 0.8574304889741131, 0.9410298411794031, 0.9170506912442397, 0.8945801072066706, 0.9454058508446642]","[0.9539170506912442, 0.9943939205182509, 0.993992673992674, 0.9902150122312348, 0.9915492957746479, 0.9993288590604027, 0.997863400042732, 0.9585253456221198, 0.9958308516974389, 0.9985578903996704]",0.8347910393627753,10,"[0.8453930896344517, 0.8707753479125249, 0.8283007696862048, 0.8660799238820172, 0.8399759663528941, 0.8368983957219251, 0.7817516764885186, 0.8577405857740585, 0.8990095794771878, 0.7219850586979722]",17.603992700576782,12.99004340171814,0.08831572532653809,4.154310941696167,0.0011012554168701172,0.19330072402954102,1116375,ai05,success,
mlp_mnist,MNIST,10,1.0,42,300,4.0,dp_avg_eps2_K20,dp_avg,10,4.230935073091968,0.8817,0.89373,0.9285,0.9735,0.2821,-0.10792980933050263,0,10,"[-0.08860598345003179, -0.14018348623853205, -0.08110700095903545, -0.08457605453770767, -0.13693346190935385, -0.12397801903230132, -0.11952554744525545, -0.08105281506013606, -0.13891752577319594, -0.08441819889947666]","[0.8982813494589433, 0.8539449541284404, 0.9065625428140841, 0.8964635705155518, 0.8463516554162649, 0.8583299825760622, 0.8448905109489051, 0.8976817151821509, 0.8502577319587629, 0.9047107770769024]","[0.9868873329089751, 0.9941284403669725, 0.9876695437731196, 0.9810396250532595, 0.9832851173256187, 0.9823080016083635, 0.9644160583941606, 0.978734530242287, 0.9891752577319588, 0.989128975976379]",,0,"[null, null, null, null, null, null, null, null, null, null]",17.720556259155273,13.167474746704102,0.0569610595703125,4.148166179656982,0.0010929107666015625,0.16540837287902832,1116375,ai05,success,
mlp_mnist,MNIST,10,1.0,42,300,4.0,noprobe_dp_avg_eps2_K20,noprobe_dp_avg,100,4.230935073091968,0.8916,0.89373,0.9285,0.9735,0.5014,-0.09658056196818342,0,10,"[-0.08287714831317627, -0.12587155963302754, -0.07905192492122204, -0.07626757562846187, -0.12375441980070712, -0.09744002144484654, -0.10431873479318732, -0.06815408750217888, -0.12190721649484537, -0.08616293115018125]","[0.9040101845957988, 0.8682568807339449, 0.9086176188518975, 0.9047720494247976, 0.8595306975249116, 0.884867980163517, 0.8600973236009732, 0.9105804427401081, 0.8672680412371134, 0.9029660448261978]","[0.9868873329089751, 0.9941284403669725, 0.9876695437731196, 0.9810396250532595, 0.9832851173256187, 0.9823080016083635, 0.9644160583941606, 0.978734530242287, 0.9891752577319588, 0.989128975976379]",,0,"[null, null, null, null, null, null, null, null, null, null]",17.521711587905884,12.957292795181274,0.07157278060913086,4.148241281509399,0.0010876655578613281,0.16558480262756348,1116375,ai05,success,
mlp_mnist,MNIST,10,1.0,42,300,4.0,noprobe_dp_avg_eps8_K20,noprobe_dp_avg,100,1.057733768272992,0.8897,0.89373,0.9285,0.9735,0.5679,-0.09886799839027673,0,10,"[-0.08122215149586243, -0.11926605504587151, -0.08453212768872442, -0.07648061354921176, -0.12134361941497906, -0.10172899075191, -0.11389902676399022, -0.06867700888966366, -0.1306701030927836, -0.09086028720977057]","[0.9056651814131127, 0.8748623853211009, 0.9031374160843951, 0.9045590115040477, 0.8619414979106397, 0.8805790108564535, 0.8505170316301703, 0.9100575213526233, 0.8585051546391752, 0.8982686887666085]","[0.9868873329089751, 0.9941284403669725, 0.9876695437731196, 0.9810396250532595, 0.9832851173256187, 0.9823080016083635, 0.9644160583941606, 0.978734530242287, 0.9891752577319588, 0.989128975976379]",,0,"[null, null, null, null, null, null, null, null, null, null]",17.64246106147766,13.069564819335938,0.060758352279663086,4.1641929149627686,0.00110626220703125,0.16542387008666992,1116375,ai05,success,
mlp_mnist,MNIST,10,1.0,42,300,4.0,noprobe_raw_union_K20,noprobe_raw_union,100,0.0,0.8857,0.89373,0.9285,0.9735,0.5461,-0.10220198429976231,0,10,"[-0.08962444302991723, -0.1269724770642202, -0.0871352240032881, -0.08180656156795907, -0.12311153969784627, -0.10655408122235632, -0.11024939172749393, -0.06954854453547155, -0.134278350515464, -0.09273922963360626]","[0.8972628898790579, 0.8671559633027522, 0.9005343197698314, 0.8992330634853004, 0.8601735776277725, 0.8757539203860072, 0.8541666666666666, 0.9091859857068154, 0.8548969072164948, 0.8963897463427728]","[0.9868873329089751, 0.9941284403669725, 0.9876695437731196, 0.9810396250532595, 0.9832851173256187, 0.9823080016083635, 0.9644160583941606, 0.978734530242287, 0.9891752577319588, 0.989128975976379]",,0,"[null, null, null, null, null, null, null, null, null, null]",17.604442834854126,13.056828260421753,0.051644086837768555,4.15487813949585,0.0010943412780761719,0.165330171585083,1116375,ai05,success,
mlp_mnist,MNIST,10,1.0,42,300,4.0,raw_union_K20,raw_union,1978,0.0,0.936,0.89373,0.9285,0.9735,0.9145,-0.048224694491916506,0,10,"[-0.050668364099299756, -0.06018348623853209, -0.042060556240580804, -0.03110353642948449, -0.05625200900032146, -0.048518965286154736, -0.05185523114355228, -0.031375283249084895, -0.057216494845360844, -0.05301301838679373]","[0.9362189688096754, 0.9339449541284404, 0.9456089875325387, 0.949936088623775, 0.9270331083252973, 0.9337890363222088, 0.9125608272506083, 0.9473592469932021, 0.931958762886598, 0.9361159575895853]","[0.9868873329089751, 0.9941284403669725, 0.9876695437731196, 0.9810396250532595, 0.9832851173256187, 0.9823080016083635, 0.9644160583941606, 0.978734530242287, 0.9891752577319588, 0.989128975976379]",,0,"[null, null, null, null, null, null, null, null, null, null]",17.732389211654663,13.040050983428955,0.17769622802734375,4.174282073974609,0.0011138916015625,0.16540026664733887,1116375,ai05,success,
