backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
mpnet_st_agnews,AGNews,10,0.05,42,100,1.0,no_phase0,none,0,0.0,0.6819736842105263,0.43794736842105253,0.5530263157894737,0.9061842105263158,0.2838157894736842,-0.2552087011453932,0,9,"[null, 0.0, -0.2097053726169844, -0.34590476190476194, -0.3520151133501259, -0.3660714285714286, -0.3807175321535634, -0.16883116883116878, -0.2912723449001051, -0.18236058798040067]","[null, 1.0, 0.7400346620450606, 0.648, 0.6429471032745592, 0.5446428571428571, 0.5926570608903072, 0.7012987012987013, 0.6751362202466303, 0.8171394286857104]","[null, 1.0, 0.949740034662045, 0.993904761904762, 0.9949622166246851, 0.9107142857142857, 0.9733745930438706, 0.8701298701298701, 0.9664085651467355, 0.9995000166661111]",0.6827236842105264,10,"[0.6819736842105263, 0.6642105263157895, 0.616578947368421, 0.6921052631578948, 0.6921052631578948, 0.6642105263157895, 0.7473684210526316, 0.6921052631578948, 0.6997368421052632, 0.6768421052631579]",7.012917518615723,5.149080991744995,0.005143165588378906,0.9826717376708984,0.0003769397735595703,0.28467655181884766,1117781,ai05,success,
mpnet_st_agnews,AGNews,10,0.05,42,100,1.0,raw_union_K20,raw_union,227,0.0,0.8497368421052631,0.43794736842105253,0.5530263157894737,0.9061842105263158,0.8397368421052631,-0.10142764540346288,0,9,"[null, 0.0, -0.1109185441941074, -0.1417142857142858, -0.15302267002518888, -0.0803571428571428, -0.20294620120555718, -0.06493506493506485, -0.1202561896568205, -0.03869871004299852]","[null, 1.0, 0.8388214904679376, 0.8521904761904762, 0.8419395465994962, 0.8303571428571429, 0.7704283918383135, 0.8051948051948052, 0.846152375489915, 0.9608013066231126]","[null, 1.0, 0.949740034662045, 0.993904761904762, 0.9949622166246851, 0.9107142857142857, 0.9733745930438706, 0.8701298701298701, 0.9664085651467355, 0.9995000166661111]",0.8468684210526316,10,"[0.8497368421052631, 0.84, 0.805, 0.8498245614035088, 0.8498245614035088, 0.84, 0.8944736842105263, 0.8498245614035088, 0.8594736842105263, 0.8305263157894737]",7.185914516448975,5.162622451782227,0.06653285026550293,1.0414586067199707,0.0003898143768310547,0.2848856449127197,1117781,ai05,success,
mpnet_st_agnews,AGNews,10,1.0,42,100,1.0,no_phase0,none,0,0.0,0.7307894736842105,0.860013157894737,0.8892105263157895,0.9061842105263158,0.2838157894736842,-0.19897260790898152,0,10,"[-0.25105358217941, -0.2135204628240841, -0.1718848018249216, -0.2262058918743931, -0.17938217751268581, -0.2139252416388675, -0.21997677119628334, -0.18376669009135627, -0.15056754115613014, -0.17944291879168295]","[0.7128236002408188, 0.6947718020141418, 0.7714856002281152, 0.6905956620265458, 0.7431229413335707, 0.6918142160636387, 0.6914053426248549, 0.7539236355118295, 0.8207923024881606, 0.7438211063162025]","[0.9638771824202288, 0.9082922648382259, 0.9433704020530368, 0.9168015539009389, 0.9225051188462565, 0.9057394577025062, 0.9113821138211382, 0.9376903256031858, 0.9713598436442907, 0.9232640251078854]",,0,"[null, null, null, null, null, null, null, null, null, null]",7.0145180225372314,5.1451170444488525,0.004700183868408203,1.0173161029815674,0.00037860870361328125,0.2681550979614258,1117781,ai05,success,
mpnet_st_agnews,AGNews,10,1.0,42,100,1.0,raw_union_K20,raw_union,800,0.0,0.8676315789473684,0.860013157894737,0.8892105263157895,0.9061842105263158,0.8647368421052631,-0.06565398215409993,0,10,"[-0.12071041541240224, -0.07820869937861585, -0.045223838038209285, -0.0810132729038524, -0.042775750022255865, -0.07167906936960056, -0.07839721254355403, -0.055985008198641384, -0.04111854468916787, -0.04142801098469984]","[0.8431667670078266, 0.83008356545961, 0.8981465640148275, 0.8357882809970865, 0.8797293688240007, 0.8340603883329056, 0.8329849012775842, 0.8817053174045444, 0.9302412989551229, 0.8818360141231856]","[0.9638771824202288, 0.9082922648382259, 0.9433704020530368, 0.9168015539009389, 0.9225051188462565, 0.9057394577025062, 0.9113821138211382, 0.9376903256031858, 0.9713598436442907, 0.9232640251078854]",,0,"[null, null, null, null, null, null, null, null, null, null]",7.135189056396484,5.1836254596710205,0.059357643127441406,1.009662389755249,0.0003800392150878906,0.29560065269470215,1117781,ai05,success,
mpnet_st_dbpedia,DBpedia14,10,0.05,42,100,1.0,no_phase0,none,0,0.0,0.3586,0.38778999999999997,0.6265,0.9884,0.0919,-0.6262497249643066,0,10,"[-0.6750126061828479, -0.5076721096250103, -0.6511194907046067, -0.7743992768724735, -0.38878476267666273, -0.6582652586836687, -0.780978982733026, -0.6863674766402279, -0.6049689440993788, -0.5349283414251631]","[0.3242892052286568, 0.4919996717814064, 0.3416209811647217, 0.22354181836442613, 0.6101514614254597, 0.3407717340771734, 0.215895773107274, 0.3069871253294327, 0.3813664596273292, 0.45698817091279176]","[0.9993018114115046, 0.9996717814064167, 0.9927404718693285, 0.9979410952368996, 0.9989362241021225, 0.9990369927608421, 0.9968747558403, 0.9933546019696606, 0.986335403726708, 0.9919165123379549]",0.34627001474943686,10,"[0.3721819645732689, 0.3517841601392515, 0.3623147889292703, 0.3998986957072306, 0.31069815908301496, 0.3564798286326312, 0.3978058669210589, 0.3923100969052829, 0.34003583515827196, 0.1791907514450867]",4242.279579639435,26.113890647888184,0.005933284759521484,1.464099407196045,0.00039696693420410156,1.2381234169006348,1118054,ai05,success,
mpnet_st_dbpedia,DBpedia14,10,0.05,42,100,1.0,raw_union_K20,raw_union,1111,0.0,0.9589,0.38778999999999997,0.6265,0.9884,0.9576,-0.03900733119681719,0,10,"[-0.024417206469880992, -0.024370230573562024, -0.051728839697958495, -0.10894619228161795, -0.023656349728990445, -0.02244803081623159, -0.030217204469099146, -0.03935538378119363, -0.029813664596273215, -0.03512020955336437]","[0.9748846049416237, 0.9753015508328546, 0.94101163217137, 0.8889949029552816, 0.975279874373132, 0.9765889619446105, 0.9666575513712009, 0.953999218188467, 0.9565217391304348, 0.9567963027845905]","[0.9993018114115046, 0.9996717814064167, 0.9927404718693285, 0.9979410952368996, 0.9989362241021225, 0.9990369927608421, 0.9968747558403, 0.9933546019696606, 0.986335403726708, 0.9919165123379549]",0.9543240906973303,10,"[0.9510869565217391, 0.960313315926893, 0.9793122728543472, 0.9590983917943523, 0.9536297325460229, 0.9496608354159228, 0.9654185547340806, 0.9685839324788996, 0.9601831574756122, 0.8959537572254336]",31.797502040863037,26.35774278640747,0.2759675979614258,1.3178761005401611,0.0003962516784667969,1.2251970767974854,1118054,ai05,success,
mpnet_st_dbpedia,DBpedia14,10,1.0,42,100,1.0,no_phase0,none,0,0.0,0.4734,0.96867,0.9788,0.9884,0.0919,-0.5128095026364481,0,10,"[-0.5486377867087062, -0.5160455969602027, -0.5450466490990671, -0.5090462165334279, -0.5080843013803907, -0.5647152761548648, -0.4648845686512758, -0.456184456256285, -0.5114450832163928, -0.5040050914038668]","[0.44254723893687414, 0.4720218652089861, 0.44609833107803337, 0.48032420222778305, 0.48396441133871304, 0.4232102516164213, 0.5257138517618469, 0.5376741847435713, 0.48182517767416594, 0.483046941865824]","[0.9911850256455803, 0.9880674621691887, 0.9911449801771004, 0.9893704187612109, 0.9920487127191038, 0.9879255277712862, 0.9905984204131227, 0.9938586409998563, 0.9932702608905587, 0.9870520332696908]",,0,"[null, null, null, null, null, null, null, null, null, null]",31.46445894241333,26.29563069343567,0.00563502311706543,1.4690816402435303,0.00036334991455078125,1.2200360298156738,1118054,ai05,success,
mpnet_st_dbpedia,DBpedia14,10,1.0,42,100,1.0,raw_union_K20,raw_union,2800,0.0,0.9719,0.96867,0.9788,0.9884,0.9716,-0.022104901077555018,0,10,"[-0.020694095965539505, -0.02483834411039265, -0.022101939557961248, -0.019487565604446755, -0.016833673258254245, -0.033594297733115286, -0.022402794653705982, -0.016215342623186357, -0.021004028790004958, -0.023876928478943182]","[0.9704909296800408, 0.9632291180587961, 0.9690430406191392, 0.9698828531567641, 0.9752150394608495, 0.9543312300381709, 0.9681956257594168, 0.97764329837667, 0.9722662321005537, 0.9631751047907476]","[0.9911850256455803, 0.9880674621691887, 0.9911449801771004, 0.9893704187612109, 0.9920487127191038, 0.9879255277712862, 0.9905984204131227, 0.9938586409998563, 0.9932702608905587, 0.9870520332696908]",,0,"[null, null, null, null, null, null, null, null, null, null]",31.763548612594604,26.423596143722534,0.21815848350524902,1.3221876621246338,0.00039768218994140625,1.2119345664978027,1118054,ai05,success,
roberta_base_agnews,AGNews,10,0.05,42,100,1.0,no_phase0,none,0,0.0,0.704078947368421,0.4542236842105264,0.5710526315789474,0.9142105263157895,0.20355263157894737,-0.30002975250391084,0,9,"[null, -0.25, -0.2772963604852686, -0.4281904761904761, -0.4124685138539044, -0.1160714285714286, -0.23089320826483584, -0.4675324675324675, -0.32635503297963864, -0.19146028465717813]","[null, 0.75, 0.6863084922010398, 0.5683809523809524, 0.5846977329974811, 0.75, 0.744544370305902, 0.4935064935064935, 0.6412580059267756, 0.8079397353421552]","[null, 1.0, 0.9636048526863085, 0.9965714285714286, 0.9971662468513854, 0.8660714285714286, 0.9754375785707379, 0.961038961038961, 0.9676130389064143, 0.9994000199993334]",0.7065657894736843,10,"[0.704078947368421, 0.6331578947368421, 0.6623684210526316, 0.7436842105263158, 0.7436842105263158, 0.6331578947368421, 0.7457894736842106, 0.7436842105263158, 0.775, 0.6810526315789474]",20.478676795959473,7.981311082839966,0.00502777099609375,0.9874155521392822,0.00039386749267578125,0.28414487838745117,1117781,ai05,success,
roberta_base_agnews,AGNews,10,0.05,42,100,1.0,raw_union_K20,raw_union,227,0.0,0.8555263157894737,0.4542236842105264,0.5710526315789474,0.9142105263157895,0.8442105263157895,-0.10162662577347763,0,9,"[null, 0.0, -0.10225303292894283, -0.1321904761904762, -0.11555415617128473, -0.07142857142857151, -0.20787802598072402, -0.1298701298701298, -0.0963005448809865, -0.059164694510183025]","[null, 1.0, 0.8613518197573656, 0.8643809523809524, 0.8816120906801007, 0.7946428571428571, 0.7675595525900138, 0.8311688311688312, 0.8713124940254278, 0.9402353254891503]","[null, 1.0, 0.9636048526863085, 0.9965714285714286, 0.9971662468513854, 0.8660714285714286, 0.9754375785707379, 0.961038961038961, 0.9676130389064143, 0.9994000199993334]",0.8541315789473684,10,"[0.8555263157894737, 0.8689473684210526, 0.8157894736842105, 0.8464912280701754, 0.8464912280701754, 0.8689473684210526, 0.8952631578947369, 0.8464912280701754, 0.8421052631578947, 0.8552631578947368]",6.971027135848999,5.089064359664917,0.07060384750366211,0.9044122695922852,0.0003867149353027344,0.3140883445739746,1117781,ai05,success,
