backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,agg_method,agg_depth,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
lenet_fmnist,FashionMNIST,10,0.05,42,20,4.0,no_phase0,none,0,0.0,sign_majority,deep,0.1,0.29673,0.4731,0.8874,0.1,-0.9420274371057973,0,10,"[-0.9712793733681462, -0.9948712231017951, -0.9246399377189567, -0.9982638888888888, -0.9623955431754875, -0.7573405945087361, -0.9625479209672663, -0.9161616161616161, -0.9380165289256198, -0.9947577442414615]","[0.0, 0.0, 0.06640716231996886, 0.0, 0.0, 0.22654867256637168, 0.029489826010026542, 0.04141414141414142, 0.024793388429752067, 0.00015885623510722796]","[0.9712793733681462, 0.9948712231017951, 0.9910471000389256, 0.9982638888888888, 0.9623955431754875, 0.9838892670751078, 0.9920377469772929, 0.9575757575757575, 0.9628099173553719, 0.9949166004765687]",0.06345238095238095,10,"[0.125, 0.16666666666666666, 0.0, 0.2, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0]",27.071451663970947,25.728875875473022,0.021547555923461914,0.6404514312744141,0.0010683536529541016,0.40366673469543457,1120477,ai07,success,
lenet_fmnist,FashionMNIST,10,0.05,43,20,4.0,no_phase0,none,0,0.0,poly_gate_d2_a,depth-2,0.0482,0.25220000000000004,0.3631,0.8803,0.0368,-0.9023347468263422,0,10,"[-1.0, -0.9869413813116656, -0.9994252873563219, -0.951813995282489, -0.7845659163987138, -0.7247340425531915, -0.9925760950259837, -0.9464326592903471, -0.9256988277727684, -0.7111592632719393]","[0.0, 0.010591990713871156, 0.0, 0.000336965067954622, 0.15112540192926044, 0.2641843971631206, 0.0001855976243504083, 0.013353681800839375, 0.05446348061316501, 0.2216684723726977]","[1.0, 0.9975333720255368, 0.9994252873563219, 0.9521509603504437, 0.9356913183279743, 0.9889184397163121, 0.9927616926503341, 0.9597863410911865, 0.9801623083859333, 0.9328277356446371]",0.029538888888888892,10,"[0.05355555555555556, 0.037142857142857144, 0.06885714285714285, 0.08033333333333334, 0.0, 0.0, 0.0555, 0.0, 0.0, 0.0]",28.799749851226807,27.37069582939148,0.024921894073486328,0.7440769672393799,0.001161336898803711,0.44464778900146484,1120477,ai07,success,
lenet_fmnist,FashionMNIST,10,0.05,42,20,4.0,raw_union_K20,raw_union,674,0.0,weight_avg,depth-1,0.6454,0.29632000000000003,0.4702,0.8886,0.6234,-0.45361731488319207,0,10,"[-0.9033942558746736, -0.2762849816033003, -0.14262358894511484, -0.2822420634920635, -0.1406685236768802, -0.3254368050828228, -0.8504865821291655, -0.7717171717171717, -0.23140495867768596, -0.6119142176330421]","[0.06788511749347259, 0.7189207269483777, 0.8506811989100818, 0.7160218253968254, 0.8217270194986073, 0.6485137281597458, 0.14037157180772633, 0.18585858585858586, 0.731404958677686, 0.3836378077839555]","[0.9712793733681462, 0.995205708551678, 0.9933047878551966, 0.9982638888888888, 0.9623955431754875, 0.9739505332425686, 0.9908581539368918, 0.9575757575757575, 0.9628099173553719, 0.9955520254169976]",0.6458247619047619,10,"[0.68675, 0.6403333333333333, 0.49, 0.7236, 0.6345714285714286, 0.61225, 0.666, 0.6876, 0.5521428571428572, 0.765]",33.69804859161377,31.8741774559021,0.2124955654144287,0.8468301296234131,0.002171754837036133,0.5184159278869629,1120477,ai07,success,
lenet_fmnist,FashionMNIST,10,0.05,43,20,4.0,raw_union_K20,raw_union,648,0.0,coord_median,deep,0.4571,0.25305999999999995,0.3624,0.8912,0.4401,-0.43201125132279294,0,10,"[-0.2857142857142857, -0.5269878119558908, -0.16206896551724137, -0.7355947433449399, -0.03536977491961413, -0.9377216312056738, -0.9653860430586488, -0.21136970621900042, -0.18232642019837697, -0.27757313109425785]","[0.7142857142857143, 0.4706906558328497, 0.8373563218390805, 0.21341120970459396, 0.9003215434083601, 0.0511968085106383, 0.02412769116555308, 0.7479587943533003, 0.7987376014427412, 0.6500541711809318]","[1.0, 0.9976784677887406, 0.9994252873563219, 0.9490059530495338, 0.9356913183279743, 0.9889184397163121, 0.989513734224202, 0.9593285005723007, 0.9810640216411182, 0.9276273022751896]",0.4503095238095239,10,"[0.43533333333333335, 0.32785714285714285, 0.45685714285714285, 0.4805, 0.5358, 0.4027142857142857, 0.7015, 0.279, 0.3912, 0.49233333333333335]",33.21482467651367,31.211370706558228,0.23377442359924316,0.9634060859680176,0.0012674331665039062,0.5402648448944092,1120477,ai07,success,
lenet_fmnist,FashionMNIST,10,0.1,42,20,4.0,no_phase0,none,0,0.0,coord_median,deep,0.1,0.34589,0.6305,0.8855,0.1,-0.6811560203073987,0,10,"[-0.016534867002156672, -0.9881982114059522, -0.9603122251539138, -0.6933895921237694, -0.996031746031746, -0.916008316008316, -0.2539464653397392, -0.9493499152063313, -0.7750573833205815, -0.2627314814814815]","[0.9647735442127966, 0.0, 0.00010993843447669306, 0.20815752461322082, 0.0007936507936507937, 0.0, 0.7336993822923816, 0.005879027699265122, 0.21346595256312165, 0.6763117283950617]","[0.9813084112149533, 0.9881982114059522, 0.9604221635883905, 0.9015471167369902, 0.9968253968253968, 0.916008316008316, 0.9876458476321208, 0.9552289429055963, 0.9885233358837031, 0.9390432098765432]",0.09259259259259259,9,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, null]",32.989874601364136,31.65750527381897,0.02334761619567871,0.6669783592224121,0.0011029243469238281,0.38373827934265137,1120477,ai07,success,
lenet_fmnist,FashionMNIST,10,0.1,44,20,4.0,no_phase0,none,0,0.0,sign_majority,deep,0.1,0.35588000000000003,0.612,0.8726,0.0897,-0.7651042630091606,0,10,"[-0.9683032939714108, -0.9126547455295736, -0.7404832836809003, -0.9966101694915255, -0.7808665164037065, -0.5195344970906068, -0.7453342782896292, -0.9660194174757282, -0.26717557251908397, -0.7540608556394418]","[0.002486016159105034, 0.03156808803301238, 0.18746551914377138, 0.0, 0.17405459554219885, 0.0, 0.22041105598866054, 0.0, 0.3460559796437659, 0.15682910089224433]","[0.9707893101305158, 0.944222833562586, 0.9279488028246717, 0.9966101694915255, 0.9549211119459053, 0.5195344970906068, 0.9657453342782897, 0.9660194174757282, 0.6132315521628499, 0.9108899565316861]",0.06999999999999999,10,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.2, 0.0, 0.3333333333333333, 0.0, 0.0]",34.204110622406006,32.93618440628052,0.021756410598754883,0.6205768585205078,0.0011970996856689453,0.40840816497802734,1120477,ai07,success,
lenet_fmnist,FashionMNIST,10,0.1,42,20,4.0,raw_union_K20,raw_union,940,0.0,norm_normalized,deep,0.702,0.34666,0.6225,0.8835,0.6318,-0.2016161027989015,0,10,"[-0.07907979870596693, -0.15943410057176366, -0.6480870712401057, -0.049226441631504914, -0.18333333333333335, -0.2321354321354322, -0.12422786547700759, -0.13487846240814017, -0.14881407804131597, -0.2569444444444444]","[0.9022286125089863, 0.8245125348189415, 0.3143139841688654, 0.8523206751054853, 0.8134920634920635, 0.6927828927828927, 0.8613589567604667, 0.8167326172979085, 0.8400918133129304, 0.683641975308642]","[0.9813084112149533, 0.9839466353907051, 0.962401055408971, 0.9015471167369902, 0.9968253968253968, 0.9249183249183249, 0.9855868222374743, 0.9516110797060486, 0.9889058913542463, 0.9405864197530864]",0.6047629629629631,9,"[0.66325, 0.4895, 0.8175, 0.7915, 0.7198, 0.5956666666666667, 0.73125, 0.085, 0.5494, null]",30.02691149711609,28.368876934051514,0.16440343856811523,0.8544437885284424,0.0016620159149169922,0.41283583641052246,1120477,ai07,success,
lenet_fmnist,FashionMNIST,10,0.1,44,20,4.0,raw_union_K20,raw_union,1019,0.0,weight_avg,depth-1,0.6675,0.35974000000000006,0.5984,0.8845,0.6479,-0.20913144442793516,1,10,"[-0.1423244251087632, -0.1825997248968363, -0.1034977380558314, -0.8529884032114184, -0.14750813924367645, 0.2862288722637849, -0.11504842901015822, -0.33907766990291266, -0.040712468193384255, -0.4537863189201556]","[0.8234928527035426, 0.7588720770288858, 0.8250027584684982, 0.14362176628010706, 0.8027798647633358, 0.8057633693543917, 0.8523505787857312, 0.6269417475728155, 0.5725190839694656, 0.45790436970944864]","[0.9658172778123058, 0.9414718019257221, 0.9285004965243296, 0.9966101694915255, 0.9502880040070123, 0.5195344970906068, 0.9673990077958894, 0.9660194174757282, 0.6132315521628499, 0.9116906886296042]",0.6873666666666667,10,"[0.5943333333333334, 0.7815, 0.7024, 0.6948333333333333, 0.46425, 0.5136, 0.5833333333333334, 0.8156666666666667, 0.84975, 0.874]",34.18946194648743,32.34812068939209,0.2839055061340332,0.8620710372924805,0.002211332321166992,0.4753694534301758,1120477,ai07,success,
lenet_fmnist,FashionMNIST,10,0.3,43,20,4.0,no_phase0,none,0,0.0,weight_avg,depth-1,0.2139,0.51359,0.6617,0.8851,0.0368,-0.7119158379953716,0,10,"[-0.8332605848974247, -0.6523707410054801, -0.8659738875566214, -0.36142249710088903, -0.9068553141317163, -0.9239461103867884, -0.30328947368421055, -0.8568097014925373, -0.7358295407529997, -0.6794005289450485]","[0.12178088171104322, 0.2885394329282821, 0.11057820410338395, 0.438345574023966, 0.061647296614451744, 0.025380269448066057, 0.6651315789473684, 0.0020988805970149254, 0.16259826230864707, 0.26432559506317954]","[0.9550414666084679, 0.9409101739337622, 0.9765520916600053, 0.799768071124855, 0.9685026107461681, 0.9493263798348545, 0.968421052631579, 0.8589085820895522, 0.8984278030616467, 0.9437261240082281]",0.3913333333333333,5,"[0.972, null, 0.0016666666666666668, null, 0.983, null, 0.0, 0.0, null, null]",32.81035494804382,31.31298589706421,0.025004148483276367,0.8494300842285156,0.0020737648010253906,0.4041757583618164,1120477,ai07,success,
lenet_fmnist,FashionMNIST,10,0.3,44,20,4.0,no_phase0,none,0,0.0,coord_median,deep,0.1925,0.5666199999999999,0.7485,0.8838,0.0897,-0.7488746966101884,0,10,"[-0.837467018469657, -0.691017454235845, -0.7422501207146306, -0.8218527315914489, -0.6932199832073888, -0.9389048991354467, -0.5265558813945911, -0.7799752781211372, -0.7962475312705727, -0.661256067961165]","[0.08390501319261214, 0.22758620689655173, 0.18184451955577016, 0.06413301662707839, 0.24853064651553317, 0.02420749279538905, 0.317367220593027, 0.18562010712814173, 0.10352205398288347, 0.20600728155339806]","[0.9213720316622691, 0.9186036611323968, 0.9240946402704008, 0.8859857482185273, 0.9417506297229219, 0.9631123919308358, 0.8439231019876181, 0.9655953852492789, 0.8997695852534562, 0.8672633495145631]",0.46725,4,"[null, null, 0.113, 0.0, null, 0.878, 0.878, null, null, null]",33.6793646812439,32.25235390663147,0.025812625885009766,0.804560661315918,0.0011835098266601562,0.35511088371276855,1120477,ai07,success,
