backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,agg_method,agg_depth,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
mlp_mnist,MNIST,10,0.05,42,300,4.0,dp_synth_all_eps2,dp_synth_all,59900,2.4224026313026945,weight_avg,depth-1,0.7776,0.33375,0.5902,0.9735,0.0887,-0.2140297188879507,0,10,"[-0.055299539170506895, -0.297246792076741, -0.2637362637362637, -0.2653534183082271, -0.2571428571428571, -0.23039309683604992, -0.14343707713125842, -0.24423963133640547, -0.24995036728211228, -0.13349814585908526]","[0.8986175115207373, 0.69714712844151, 0.7302564102564103, 0.7248615939230076, 0.7344064386317908, 0.7689357622243528, 0.8544263229114736, 0.7142857142857143, 0.7458804844153266, 0.8650597445405851]","[0.9539170506912442, 0.9943939205182509, 0.993992673992674, 0.9902150122312348, 0.9915492957746479, 0.9993288590604027, 0.997863400042732, 0.9585253456221198, 0.9958308516974389, 0.9985578903996704]",0.785067542274633,10,"[0.7734101151727591, 0.802518223989397, 0.7990921649891455, 0.7982873453853473, 0.8231524133787302, 0.7981283422459893, 0.737248526722211, 0.8138912133891213, 0.7973697028738431, 0.7075773745997865]",166.87091732025146,29.71055293083191,108.01790833473206,20.167263746261597,0.0,0.35976552963256836,1121054,ai02,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,dp_synth_all_eps8,dp_synth_all,59900,0.6056006578256736,weight_avg,depth-1,0.7835,0.33375,0.5902,0.9735,0.0887,-0.20969491827864056,0,10,"[-0.055299539170506895, -0.29400772393173047, -0.2590476190476191, -0.2667696665379169, -0.25955734406438635, -0.22646212847555136, -0.1395199772096004, -0.21658986175115202, -0.25114155251141546, -0.12855377008652658]","[0.8986175115207373, 0.7003861965865205, 0.7349450549450549, 0.7234453456933179, 0.7319919517102615, 0.7728667305848513, 0.8583434228331316, 0.7419354838709677, 0.7446892991860234, 0.8700041203131438]","[0.9539170506912442, 0.9943939205182509, 0.993992673992674, 0.9902150122312348, 0.9915492957746479, 0.9993288590604027, 0.997863400042732, 0.9585253456221198, 0.9958308516974389, 0.9985578903996704]",0.786476663119827,10,"[0.7750375563345018, 0.8008614976805831, 0.8040260509177027, 0.8082778306374881, 0.826957740837172, 0.8064839572192514, 0.7337939443202601, 0.8132217573221757, 0.8024029874979705, 0.6937033084311632]",153.61739897727966,23.959624767303467,106.2107663154602,22.72830843925476,0.0,0.3724231719970703,1121054,ai02,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,merf_basin_eps2_K20,merf,1000,2.4224026313026945,weight_avg,depth-1,0.5578,0.33375,0.5902,0.9735,0.2346,-0.4253684486649806,0,10,"[-0.10599078341013823, -0.7279182758191105, -0.6833699633699634, -0.3298570876786404, -0.8249496981891349, -0.6212847555129435, -0.17441777651164447, -0.23963133640552992, -0.36847329759777636, -0.17779151215492373]","[0.847926267281106, 0.2664756446991404, 0.31062271062271063, 0.6603579245525943, 0.16659959758551307, 0.37804410354745926, 0.8234456235310875, 0.7188940092165899, 0.6273575540996625, 0.8207663782447466]","[0.9539170506912442, 0.9943939205182509, 0.993992673992674, 0.9902150122312348, 0.9915492957746479, 0.9993288590604027, 0.997863400042732, 0.9585253456221198, 0.9958308516974389, 0.9985578903996704]",0.4706289508846987,10,"[0.50050075112669, 0.3127899271040424, 0.5014801657785672, 0.4586108468125595, 0.5265371520128179, 0.4774398395721925, 0.25624872993294046, 0.5946443514644352, 0.5833739243383667, 0.49466382070437565]",131.2151176929474,39.00028443336487,79.78806948661804,11.774544477462769,0.002672433853149414,0.3197207450866699,1121054,ai02,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,merf_basin_eps8_K20,merf,1000,0.6056006578256736,weight_avg,depth-1,0.6179,0.33375,0.5902,0.9735,0.3793,-0.3489996525206923,0,10,"[-0.10599078341013823, -0.6972717079855488, -0.5141391941391942, -0.22724346594566758, -0.5621730382293763, -0.5490891658676893, -0.1798304964033901, -0.16129032258064513, -0.30673019654556277, -0.18623815409971156]","[0.847926267281106, 0.29712221253270216, 0.47985347985347987, 0.7629715462855672, 0.42937625754527164, 0.45023969319271334, 0.8180329036393419, 0.7972350230414746, 0.6891006551518761, 0.8123197362999588]","[0.9539170506912442, 0.9943939205182509, 0.993992673992674, 0.9902150122312348, 0.9915492957746479, 0.9993288590604027, 0.997863400042732, 0.9585253456221198, 0.9958308516974389, 0.9985578903996704]",0.5349974747358506,10,"[0.5729844767150726, 0.4599072233267064, 0.5275310834813499, 0.5197431018078021, 0.542759863809333, 0.5601604278074866, 0.38325543588701483, 0.6118828451882845, 0.6562753693781458, 0.5154749199573105]",116.71645092964172,31.732928037643433,78.92373585700989,5.452888488769531,0.0012485980987548828,0.21624135971069336,1121054,ai02,success,
mlp_mnist,MNIST,10,0.05,42,300,4.0,raw_union_K20,raw_union,763,0.0,weight_avg,depth-1,0.861,0.33375,0.5902,0.9735,0.824,-0.11757156559460875,1,10,"[0.01382488479262678, -0.36277563224118603, -0.16249084249084245, -0.0982361272048411, -0.17142857142857149, -0.14189837008628958, -0.05683355886332886, -0.041474654377880116, -0.10125074449076832, -0.053152039555006136]","[0.967741935483871, 0.6316182882770649, 0.8315018315018315, 0.8919788850263937, 0.8201207243460764, 0.8574304889741131, 0.9410298411794031, 0.9170506912442397, 0.8945801072066706, 0.9454058508446642]","[0.9539170506912442, 0.9943939205182509, 0.993992673992674, 0.9902150122312348, 0.9915492957746479, 0.9993288590604027, 0.997863400042732, 0.9585253456221198, 0.9958308516974389, 0.9985578903996704]",0.8347910393627753,10,"[0.8453930896344517, 0.8707753479125249, 0.8283007696862048, 0.8660799238820172, 0.8399759663528941, 0.8368983957219251, 0.7817516764885186, 0.8577405857740585, 0.8990095794771878, 0.7219850586979722]",35.323323249816895,23.82373309135437,0.2239065170288086,10.621504783630371,0.0015954971313476562,0.35134387016296387,1121054,ai02,success,
vit_b32_cifar100,CIFAR100,10,0.05,42,300,4.0,dp_synth_all_eps2,dp_synth_all,49700,2.4224026313026945,weight_avg,depth-1,0.649,0.22433,0.2955,0.8692,0.0121,-0.3247211331447851,0,10,"[-0.2471875, -0.2782048618325368, -0.3473404255319148, -0.37433274021352314, -0.3628990509059534, -0.24200444672481614, -0.36272257323377377, -0.3654836087781089, -0.3763688760806916, -0.2906672481465329]","[0.7415625, 0.6983170579680034, 0.6345744680851064, 0.6067615658362989, 0.605176876617774, 0.7434581836839405, 0.6128661688684663, 0.6198862096992684, 0.6034582132564842, 0.6873092019188836]","[0.98875, 0.9765219198005402, 0.9819148936170212, 0.9810943060498221, 0.9680759275237274, 0.9854626304087566, 0.9755887421022401, 0.9853698184773774, 0.9798270893371758, 0.9779764500654164]",0.6626961912168647,10,"[0.6514473684210527, 0.6535593220338983, 0.6803174603174603, 0.6919402985074626, 0.6660655737704918, 0.6449230769230769, 0.666271186440678, 0.6543661971830986, 0.6555714285714286, 0.6625]",730.1725561618805,3.4569995403289795,723.7981550693512,2.137409210205078,0.0,0.34720897674560547,1121054,ai02,success,
vit_b32_cifar100,CIFAR100,10,0.05,42,300,4.0,dp_synth_all_eps8,dp_synth_all,49700,0.6056006578256736,weight_avg,depth-1,0.7848,0.22433,0.2955,0.8692,0.0121,-0.18115664788725652,0,10,"[-0.15437500000000004, -0.16351547891128193, -0.1930851063829787, -0.20818505338078297, -0.24503882657463338, -0.15409611766717968, -0.22558874210224011, -0.20048767271742074, -0.10605187319884724, -0.16114260793720014]","[0.834375, 0.8130064408892582, 0.7888297872340425, 0.7729092526690391, 0.723037100949094, 0.8313665127415769, 0.75, 0.7848821457599566, 0.8737752161383285, 0.8168338421282163]","[0.98875, 0.9765219198005402, 0.9819148936170212, 0.9810943060498221, 0.9680759275237274, 0.9854626304087566, 0.9755887421022401, 0.9853698184773774, 0.9798270893371758, 0.9779764500654164]",0.7817788555903314,10,"[0.7798684210526315, 0.7728813559322034, 0.7941269841269841, 0.7870149253731343, 0.7911475409836065, 0.7795384615384615, 0.7793220338983051, 0.790281690140845, 0.7748571428571429, 0.76875]",744.5905585289001,4.069113731384277,737.7883787155151,1.9982471466064453,0.0,0.29173970222473145,1121054,ai02,success,
vit_b32_cifar100,CIFAR100,10,0.05,42,300,4.0,merf_basin_eps2_K20,merf,8020,2.4224026313026945,weight_avg,depth-1,0.2889,0.22433,0.2955,0.8692,0.0169,-0.7009345165960913,0,10,"[-0.8618750000000001, -0.5582796592561812, -0.6901595744680851, -0.7313167259786477, -0.6945642795513374, -0.7041217718488113, -0.7225732337736933, -0.7575182877269032, -0.6541786743515849, -0.6347579590056693]","[0.126875, 0.41824226054435903, 0.29175531914893615, 0.24977758007117437, 0.27351164797238997, 0.2813408585599453, 0.2530155083285468, 0.22785153075047412, 0.3256484149855908, 0.34321849105974706]","[0.98875, 0.9765219198005402, 0.9819148936170212, 0.9810943060498221, 0.9680759275237274, 0.9854626304087566, 0.9755887421022401, 0.9853698184773774, 0.9798270893371758, 0.9779764500654164]",0.23497410127114643,10,"[0.3, 0.1488135593220339, 0.2507936507936508, 0.24477611940298508, 0.22114754098360656, 0.264, 0.20745762711864407, 0.30732394366197185, 0.2854285714285714, 0.12]",606.8760919570923,3.463940143585205,599.672961473465,3.2935714721679688,0.0004451274871826172,0.1829357147216797,1121054,ai02,success,
vit_b32_cifar100,CIFAR100,10,0.05,42,300,4.0,merf_basin_eps8_K20,merf,8020,0.6056006578256736,weight_avg,depth-1,0.3572,0.22433,0.2955,0.8692,0.0988,-0.6295769319863462,0,10,"[-0.8215625, -0.49709121130272177, -0.6593085106382979, -0.6463523131672597, -0.6541846419327007, -0.6565760218915683, -0.6636990235496841, -0.6225955025738281, -0.5279538904899135, -0.546445704317488]","[0.1671875, 0.4794307084978184, 0.3226063829787234, 0.3347419928825623, 0.31389128559102675, 0.3288866085171883, 0.311889718552556, 0.3627743159035492, 0.45187319884726224, 0.4315307457479285]","[0.98875, 0.9765219198005402, 0.9819148936170212, 0.9810943060498221, 0.9680759275237274, 0.9854626304087566, 0.9755887421022401, 0.9853698184773774, 0.9798270893371758, 0.9779764500654164]",0.30543312828295627,10,"[0.3721052631578947, 0.21423728813559323, 0.32095238095238093, 0.3056716417910448, 0.2957377049180328, 0.33092307692307693, 0.27864406779661016, 0.3683098591549296, 0.339, 0.22875]",616.8038251399994,2.999776840209961,607.4294075965881,5.8996827602386475,0.0007262229919433594,0.24153971672058105,1121054,ai02,success,
vit_b32_cifar100,CIFAR100,10,0.05,42,300,4.0,raw_union_K20,raw_union,4828,0.0,weight_avg,depth-1,0.7675,0.22433,0.2955,0.8692,0.8044,-0.19467392795211783,0,10,"[-0.24406250000000007, -0.14377726989403694, -0.22180851063829787, -0.24065836298932386, -0.23692838654012083, -0.20933812211390457, -0.20835726593911552, -0.17772961257111886, -0.10489913544668583, -0.15918011338857385]","[0.7446875, 0.8327446499065032, 0.7601063829787233, 0.7404359430604982, 0.7311475409836066, 0.776124508294852, 0.7672314761631246, 0.8076402059062585, 0.8749279538904899, 0.8187963366768426]","[0.98875, 0.9765219198005402, 0.9819148936170212, 0.9810943060498221, 0.9680759275237274, 0.9854626304087566, 0.9755887421022401, 0.9853698184773774, 0.9798270893371758, 0.9779764500654164]",0.7508850910239268,10,"[0.7690789473684211, 0.7183050847457627, 0.7593650793650794, 0.7595522388059701, 0.7437704918032787, 0.7470769230769231, 0.7271186440677966, 0.7691549295774648, 0.7504285714285714, 0.765]",10.830254077911377,3.396481513977051,0.3051333427429199,6.6111228466033936,0.0005767345428466797,0.22554731369018555,1121054,ai02,success,
