combine,basin,N,alpha,seed,he_depth,theta0_acc,final_acc,vs_weight_avg,vs_centralized
weight_avg,probe,1,1.0,42,depth-1,0.7769,0.8802,0.0,0.0042
mag_weighted,probe,1,1.0,42,depth-1,0.7769,0.8802,0.0,0.0042
sign_majority,probe,1,1.0,42,deep,0.7769,0.8802,0.0,0.0042
norm_normalized,probe,1,1.0,42,deep,0.7769,0.8802,0.0,0.0042
agreement_gated,probe,1,1.0,42,deep,0.7769,0.8802,0.0,0.0042
second_moment,probe,1,1.0,42,deep,0.7769,0.8058,-0.0745,-0.0702
coord_trimmed_mean,probe,1,1.0,42,deep,0.7769,0.8802,0.0,0.0042
consensus_proj,probe,1,1.0,42,deep,0.7769,0.8802,0.0,0.0042
poly_gate_d2_a,probe,1,1.0,42,depth-2,0.7769,0.8788,-0.0015,0.0028
poly_gate_d2_b,probe,1,1.0,42,depth-2,0.7769,0.8802,0.0,0.0042
sync_sgd,probe,1,1.0,42,deep(multi-round),0.7769,0.8852,0.005,0.0092
centralized,probe,1,1.0,42,n/a(pooled),0.7769,0.876,-0.0042,0.0
weight_avg,probe,1,1.0,123,depth-1,0.7846,0.8633,0.0,-0.0213
mag_weighted,probe,1,1.0,123,depth-1,0.7846,0.8633,0.0,-0.0213
sign_majority,probe,1,1.0,123,deep,0.7846,0.8633,0.0,-0.0213
norm_normalized,probe,1,1.0,123,deep,0.7846,0.8633,0.0,-0.0213
agreement_gated,probe,1,1.0,123,deep,0.7846,0.8635,0.0002,-0.021
second_moment,probe,1,1.0,123,deep,0.7846,0.7872,-0.076,-0.0973
coord_trimmed_mean,probe,1,1.0,123,deep,0.7846,0.8633,0.0,-0.0213
consensus_proj,probe,1,1.0,123,deep,0.7846,0.8633,0.0,-0.0213
poly_gate_d2_a,probe,1,1.0,123,depth-2,0.7846,0.8317,-0.0315,-0.0528
poly_gate_d2_b,probe,1,1.0,123,depth-2,0.7846,0.8633,0.0,-0.0213
sync_sgd,probe,1,1.0,123,deep(multi-round),0.7846,0.8752,0.012,-0.0093
centralized,probe,1,1.0,123,n/a(pooled),0.7846,0.8845,0.0213,0.0
weight_avg,probe,5,0.05,42,depth-1,0.7769,0.696,0.0,-0.1855
mag_weighted,probe,5,0.05,42,depth-1,0.7769,0.6852,-0.0107,-0.1963
sign_majority,probe,5,0.05,42,deep,0.7769,0.6175,-0.0785,-0.264
norm_normalized,probe,5,0.05,42,deep,0.7769,0.7175,0.0215,-0.164
agreement_gated,probe,5,0.05,42,deep,0.7769,0.7168,0.0208,-0.1647
second_moment,probe,5,0.05,42,deep,0.7769,0.776,0.08,-0.1055
coord_trimmed_mean,probe,5,0.05,42,deep,0.7769,0.7155,0.0195,-0.166
consensus_proj,probe,5,0.05,42,deep,0.7769,0.696,0.0,-0.1855
poly_gate_d2_a,probe,5,0.05,42,depth-2,0.7769,0.762,0.066,-0.1195
poly_gate_d2_b,probe,5,0.05,42,depth-2,0.7769,0.7085,0.0125,-0.173
sync_sgd,probe,5,0.05,42,deep(multi-round),0.7769,0.8845,0.1885,0.003
centralized,probe,5,0.05,42,n/a(pooled),0.7769,0.8815,0.1855,0.0
weight_avg,probe,5,0.05,123,depth-1,0.7846,0.7757,0.0,-0.0987
mag_weighted,probe,5,0.05,123,depth-1,0.7846,0.7775,0.0017,-0.097
sign_majority,probe,5,0.05,123,deep,0.7846,0.6585,-0.1172,-0.216
norm_normalized,probe,5,0.05,123,deep,0.7846,0.7673,-0.0085,-0.1072
agreement_gated,probe,5,0.05,123,deep,0.7846,0.7768,0.001,-0.0977
second_moment,probe,5,0.05,123,deep,0.7846,0.7667,-0.009,-0.1077
coord_trimmed_mean,probe,5,0.05,123,deep,0.7846,0.7145,-0.0612,-0.16
consensus_proj,probe,5,0.05,123,deep,0.7846,0.7757,0.0,-0.0987
poly_gate_d2_a,probe,5,0.05,123,depth-2,0.7846,0.7805,0.0048,-0.094
poly_gate_d2_b,probe,5,0.05,123,depth-2,0.7846,0.7803,0.0045,-0.0942
sync_sgd,probe,5,0.05,123,deep(multi-round),0.7846,0.8783,0.1025,0.0038
centralized,probe,5,0.05,123,n/a(pooled),0.7846,0.8745,0.0987,0.0
