scheme,basin,N,alpha,seed,theta0_acc,final_acc,telescope_max_param_diff
weight_avg,probe,1,1.0,42,0.7769,0.8802,3.725290298461914e-09
stepsum,probe,1,1.0,42,0.7769,0.8802,3.725290298461914e-09
sync_sgd,probe,1,1.0,42,0.7769,0.8852,3.725290298461914e-09
fedavg_Estep,probe,1,1.0,42,0.7769,0.8795,3.725290298461914e-09
centralized,probe,1,1.0,42,0.7769,0.876,3.725290298461914e-09
weight_avg,probe,1,1.0,123,0.7846,0.8633,7.450580596923828e-09
stepsum,probe,1,1.0,123,0.7846,0.8633,7.450580596923828e-09
sync_sgd,probe,1,1.0,123,0.7846,0.8752,7.450580596923828e-09
fedavg_Estep,probe,1,1.0,123,0.7846,0.8695,7.450580596923828e-09
centralized,probe,1,1.0,123,0.7846,0.8845,7.450580596923828e-09
weight_avg,probe,5,0.05,42,0.7769,0.696,2.682209014892578e-07
stepsum,probe,5,0.05,42,0.7769,0.696,2.682209014892578e-07
sync_sgd,probe,5,0.05,42,0.7769,0.8845,2.682209014892578e-07
fedavg_Estep,probe,5,0.05,42,0.7769,0.8622,2.682209014892578e-07
centralized,probe,5,0.05,42,0.7769,0.8815,2.682209014892578e-07
weight_avg,probe,5,0.05,123,0.7846,0.7757,2.086162567138672e-07
stepsum,probe,5,0.05,123,0.7846,0.7757,2.086162567138672e-07
sync_sgd,probe,5,0.05,123,0.7846,0.8783,2.086162567138672e-07
fedavg_Estep,probe,5,0.05,123,0.7846,0.8668,2.086162567138672e-07
centralized,probe,5,0.05,123,0.7846,0.8745,2.086162567138672e-07
weight_avg,probe,5,0.1,42,0.7769,0.7567,1.7881393432617188e-07
stepsum,probe,5,0.1,42,0.7769,0.7567,1.7881393432617188e-07
sync_sgd,probe,5,0.1,42,0.7769,0.8942,1.7881393432617188e-07
fedavg_Estep,probe,5,0.1,42,0.7769,0.8673,1.7881393432617188e-07
centralized,probe,5,0.1,42,0.7769,0.8717,1.7881393432617188e-07
weight_avg,probe,5,0.1,123,0.7846,0.771,2.682209014892578e-07
stepsum,probe,5,0.1,123,0.7846,0.771,2.682209014892578e-07
sync_sgd,probe,5,0.1,123,0.7846,0.8928,2.682209014892578e-07
fedavg_Estep,probe,5,0.1,123,0.7846,0.8633,2.682209014892578e-07
centralized,probe,5,0.1,123,0.7846,0.883,2.682209014892578e-07
weight_avg,probe,5,0.5,42,0.7769,0.8637,2.2351741790771484e-07
stepsum,probe,5,0.5,42,0.7769,0.8637,2.2351741790771484e-07
sync_sgd,probe,5,0.5,42,0.7769,0.889,2.2351741790771484e-07
fedavg_Estep,probe,5,0.5,42,0.7769,0.8848,2.2351741790771484e-07
centralized,probe,5,0.5,42,0.7769,0.8788,2.2351741790771484e-07
weight_avg,probe,5,0.5,123,0.7846,0.8622,2.086162567138672e-07
stepsum,probe,5,0.5,123,0.7846,0.8622,2.086162567138672e-07
sync_sgd,probe,5,0.5,123,0.7846,0.8825,2.086162567138672e-07
fedavg_Estep,probe,5,0.5,123,0.7846,0.886,2.086162567138672e-07
centralized,probe,5,0.5,123,0.7846,0.885,2.086162567138672e-07
weight_avg,probe,5,1.0,42,0.7769,0.8633,2.2351741790771484e-07
stepsum,probe,5,1.0,42,0.7769,0.8633,2.2351741790771484e-07
sync_sgd,probe,5,1.0,42,0.7769,0.8852,2.2351741790771484e-07
fedavg_Estep,probe,5,1.0,42,0.7769,0.8892,2.2351741790771484e-07
centralized,probe,5,1.0,42,0.7769,0.8648,2.2351741790771484e-07
weight_avg,probe,5,1.0,123,0.7846,0.8845,2.086162567138672e-07
stepsum,probe,5,1.0,123,0.7846,0.8845,2.086162567138672e-07
sync_sgd,probe,5,1.0,123,0.7846,0.8907,2.086162567138672e-07
fedavg_Estep,probe,5,1.0,123,0.7846,0.8867,2.086162567138672e-07
centralized,probe,5,1.0,123,0.7846,0.8698,2.086162567138672e-07
weight_avg,probe,10,0.05,42,0.7769,0.739,2.8312206268310547e-07
stepsum,probe,10,0.05,42,0.7769,0.739,2.8312206268310547e-07
sync_sgd,probe,10,0.05,42,0.7769,0.894,2.8312206268310547e-07
fedavg_Estep,probe,10,0.05,42,0.7769,0.8698,2.8312206268310547e-07
centralized,probe,10,0.05,42,0.7769,0.871,2.8312206268310547e-07
weight_avg,probe,10,0.05,123,0.7846,0.7883,3.427267074584961e-07
stepsum,probe,10,0.05,123,0.7846,0.7883,3.427267074584961e-07
sync_sgd,probe,10,0.05,123,0.7846,0.8917,3.427267074584961e-07
fedavg_Estep,probe,10,0.05,123,0.7846,0.8643,3.427267074584961e-07
centralized,probe,10,0.05,123,0.7846,0.8785,3.427267074584961e-07
weight_avg,probe,10,0.1,42,0.7769,0.7692,3.129243850708008e-07
stepsum,probe,10,0.1,42,0.7769,0.7692,3.129243850708008e-07
sync_sgd,probe,10,0.1,42,0.7769,0.895,3.129243850708008e-07
fedavg_Estep,probe,10,0.1,42,0.7769,0.8695,3.129243850708008e-07
centralized,probe,10,0.1,42,0.7769,0.888,3.129243850708008e-07
weight_avg,probe,10,0.1,123,0.7846,0.7343,3.2782554626464844e-07
stepsum,probe,10,0.1,123,0.7846,0.7343,3.2782554626464844e-07
sync_sgd,probe,10,0.1,123,0.7846,0.8917,3.2782554626464844e-07
fedavg_Estep,probe,10,0.1,123,0.7846,0.8662,3.2782554626464844e-07
centralized,probe,10,0.1,123,0.7846,0.8735,3.2782554626464844e-07
weight_avg,probe,10,0.5,42,0.7769,0.8723,3.725290298461914e-07
stepsum,probe,10,0.5,42,0.7769,0.8723,3.725290298461914e-07
sync_sgd,probe,10,0.5,42,0.7769,0.8907,3.725290298461914e-07
fedavg_Estep,probe,10,0.5,42,0.7769,0.8905,3.725290298461914e-07
centralized,probe,10,0.5,42,0.7769,0.8723,3.725290298461914e-07
weight_avg,probe,10,0.5,123,0.7846,0.8577,3.2782554626464844e-07
stepsum,probe,10,0.5,123,0.7846,0.8577,3.2782554626464844e-07
sync_sgd,probe,10,0.5,123,0.7846,0.89,3.2782554626464844e-07
fedavg_Estep,probe,10,0.5,123,0.7846,0.8882,3.2782554626464844e-07
centralized,probe,10,0.5,123,0.7846,0.8735,3.2782554626464844e-07
weight_avg,probe,10,1.0,42,0.7769,0.8808,3.129243850708008e-07
stepsum,probe,10,1.0,42,0.7769,0.8808,3.129243850708008e-07
sync_sgd,probe,10,1.0,42,0.7769,0.8928,3.129243850708008e-07
fedavg_Estep,probe,10,1.0,42,0.7769,0.8885,3.129243850708008e-07
centralized,probe,10,1.0,42,0.7769,0.8585,3.129243850708008e-07
weight_avg,probe,10,1.0,123,0.7846,0.878,3.427267074584961e-07
stepsum,probe,10,1.0,123,0.7846,0.878,3.427267074584961e-07
sync_sgd,probe,10,1.0,123,0.7846,0.8942,3.427267074584961e-07
fedavg_Estep,probe,10,1.0,123,0.7846,0.887,3.427267074584961e-07
centralized,probe,10,1.0,123,0.7846,0.8717,3.427267074584961e-07
weight_avg,no-probe,1,1.0,42,0.1181,0.8758,1.4901161193847656e-08
stepsum,no-probe,1,1.0,42,0.1181,0.8758,1.4901161193847656e-08
sync_sgd,no-probe,1,1.0,42,0.1181,0.8763,1.4901161193847656e-08
fedavg_Estep,no-probe,1,1.0,42,0.1181,0.8745,1.4901161193847656e-08
centralized,no-probe,1,1.0,42,0.1181,0.8585,1.4901161193847656e-08
weight_avg,no-probe,1,1.0,123,0.1016,0.8495,1.4901161193847656e-08
stepsum,no-probe,1,1.0,123,0.1016,0.8495,1.4901161193847656e-08
sync_sgd,no-probe,1,1.0,123,0.1016,0.8708,1.4901161193847656e-08
fedavg_Estep,no-probe,1,1.0,123,0.1016,0.86,1.4901161193847656e-08
centralized,no-probe,1,1.0,123,0.1016,0.8805,1.4901161193847656e-08
weight_avg,no-probe,5,0.05,42,0.1181,0.4457,2.5331974029541016e-07
stepsum,no-probe,5,0.05,42,0.1181,0.4457,2.5331974029541016e-07
sync_sgd,no-probe,5,0.05,42,0.1181,0.8765,2.5331974029541016e-07
fedavg_Estep,no-probe,5,0.05,42,0.1181,0.855,2.5331974029541016e-07
centralized,no-probe,5,0.05,42,0.1181,0.8758,2.5331974029541016e-07
weight_avg,no-probe,5,0.05,123,0.1016,0.4638,1.6391277313232422e-07
stepsum,no-probe,5,0.05,123,0.1016,0.4638,1.6391277313232422e-07
sync_sgd,no-probe,5,0.05,123,0.1016,0.875,1.6391277313232422e-07
fedavg_Estep,no-probe,5,0.05,123,0.1016,0.8553,1.6391277313232422e-07
centralized,no-probe,5,0.05,123,0.1016,0.8673,1.6391277313232422e-07
weight_avg,no-probe,5,0.1,42,0.1181,0.6005,1.564621925354004e-07
stepsum,no-probe,5,0.1,42,0.1181,0.6005,1.564621925354004e-07
sync_sgd,no-probe,5,0.1,42,0.1181,0.891,1.564621925354004e-07
fedavg_Estep,no-probe,5,0.1,42,0.1181,0.861,1.564621925354004e-07
centralized,no-probe,5,0.1,42,0.1181,0.8692,1.564621925354004e-07
weight_avg,no-probe,5,0.1,123,0.1016,0.5962,1.6391277313232422e-07
stepsum,no-probe,5,0.1,123,0.1016,0.5962,1.6391277313232422e-07
sync_sgd,no-probe,5,0.1,123,0.1016,0.89,1.6391277313232422e-07
fedavg_Estep,no-probe,5,0.1,123,0.1016,0.8555,1.6391277313232422e-07
centralized,no-probe,5,0.1,123,0.1016,0.876,1.6391277313232422e-07
weight_avg,no-probe,5,0.5,42,0.1181,0.817,1.341104507446289e-07
stepsum,no-probe,5,0.5,42,0.1181,0.817,1.341104507446289e-07
sync_sgd,no-probe,5,0.5,42,0.1181,0.8852,1.341104507446289e-07
fedavg_Estep,no-probe,5,0.5,42,0.1181,0.879,1.341104507446289e-07
centralized,no-probe,5,0.5,42,0.1181,0.8733,1.341104507446289e-07
weight_avg,no-probe,5,0.5,123,0.1016,0.8353,1.4156103134155273e-07
stepsum,no-probe,5,0.5,123,0.1016,0.8353,1.4156103134155273e-07
sync_sgd,no-probe,5,0.5,123,0.1016,0.878,1.4156103134155273e-07
fedavg_Estep,no-probe,5,0.5,123,0.1016,0.883,1.4156103134155273e-07
centralized,no-probe,5,0.5,123,0.1016,0.8802,1.4156103134155273e-07
weight_avg,no-probe,5,1.0,42,0.1181,0.82,1.6391277313232422e-07
stepsum,no-probe,5,1.0,42,0.1181,0.82,1.6391277313232422e-07
sync_sgd,no-probe,5,1.0,42,0.1181,0.8848,1.6391277313232422e-07
fedavg_Estep,no-probe,5,1.0,42,0.1181,0.8813,1.6391277313232422e-07
centralized,no-probe,5,1.0,42,0.1181,0.8543,1.6391277313232422e-07
weight_avg,no-probe,5,1.0,123,0.1016,0.8783,1.4901161193847656e-07
stepsum,no-probe,5,1.0,123,0.1016,0.8783,1.4901161193847656e-07
sync_sgd,no-probe,5,1.0,123,0.1016,0.8817,1.4901161193847656e-07
fedavg_Estep,no-probe,5,1.0,123,0.1016,0.8815,1.4901161193847656e-07
centralized,no-probe,5,1.0,123,0.1016,0.8587,1.4901161193847656e-07
weight_avg,no-probe,10,0.05,42,0.1181,0.5655,2.1606683731079102e-07
stepsum,no-probe,10,0.05,42,0.1181,0.5655,2.1606683731079102e-07
