task,C,d,seed,target,arrangement,surface,queries,shadows,n_candidates,tpr_at_0_1pct,tpr_at_1pct,auc
ag_news,4,768,42,-1,A,truehead,0,64,2000,0.003,0.012,0.509
ag_news,4,768,42,-1,A,extracted,2000,64,2000,0.0,0.02,0.4978
ag_news,4,768,42,-1,A,extracted,20000,64,2000,0.0,0.02,0.496
ag_news,4,768,42,-1,A,extracted,200000,64,2000,0.0,0.02,0.4958
ag_news,4,768,42,-1,A,gap,1,0,2000,0.0,0.0,0.2332
ag_news,4,768,42,-1,B,truehead,0,64,2000,0.004,0.011,0.4933
ag_news,4,768,42,-1,B,extracted,2000,64,2000,0.006,0.012,0.4861
ag_news,4,768,42,-1,B,extracted,20000,64,2000,0.006,0.012,0.4865
ag_news,4,768,42,-1,B,extracted,200000,64,2000,0.006,0.012,0.4867
ag_news,4,768,42,-1,B,gap,1,0,2000,0.004,0.036,0.3944
ag_news,4,768,43,-1,A,truehead,0,64,2000,0.002,0.011,0.5076
ag_news,4,768,43,-1,A,extracted,2000,64,2000,0.002,0.008,0.5127
ag_news,4,768,43,-1,A,extracted,20000,64,2000,0.004,0.008,0.5139
ag_news,4,768,43,-1,A,extracted,200000,64,2000,0.004,0.008,0.5144
ag_news,4,768,43,-1,A,gap,1,0,2000,0.0,0.0,0.2932
ag_news,4,768,43,-1,B,truehead,0,64,2000,0.004,0.009,0.4934
ag_news,4,768,43,-1,B,extracted,2000,64,2000,0.002,0.009,0.4932
ag_news,4,768,43,-1,B,extracted,20000,64,2000,0.002,0.009,0.4932
ag_news,4,768,43,-1,B,extracted,200000,64,2000,0.002,0.009,0.4932
ag_news,4,768,43,-1,B,gap,1,0,2000,0.032,0.032,0.6647
ag_news,4,768,44,-1,A,truehead,0,64,2000,0.002,0.015,0.5275
ag_news,4,768,44,-1,A,extracted,2000,64,2000,0.002,0.012,0.4943
ag_news,4,768,44,-1,A,extracted,20000,64,2000,0.002,0.012,0.4936
ag_news,4,768,44,-1,A,extracted,200000,64,2000,0.002,0.012,0.4937
ag_news,4,768,44,-1,A,gap,1,0,2000,0.031,0.036,0.5625
ag_news,4,768,44,-1,B,truehead,0,64,2000,0.003,0.019,0.498
ag_news,4,768,44,-1,B,extracted,2000,64,2000,0.003,0.015,0.5063
ag_news,4,768,44,-1,B,extracted,20000,64,2000,0.003,0.015,0.5063
ag_news,4,768,44,-1,B,extracted,200000,64,2000,0.003,0.015,0.5063
ag_news,4,768,44,-1,B,gap,1,0,2000,0.003,0.027,0.5147
dbpedia_14,14,768,42,-1,A,truehead,0,64,2000,0.002,0.004,0.4923
dbpedia_14,14,768,42,-1,A,extracted,2000,64,2000,0.001,0.008,0.4929
dbpedia_14,14,768,42,-1,A,extracted,20000,64,2000,0.001,0.008,0.493
dbpedia_14,14,768,42,-1,A,extracted,200000,64,2000,0.001,0.006,0.492
dbpedia_14,14,768,42,-1,A,gap,1,0,2000,0.0,0.0,0.2721
dbpedia_14,14,768,42,-1,B,truehead,0,64,2000,0.006,0.016,0.5043
dbpedia_14,14,768,42,-1,B,extracted,2000,64,2000,0.009,0.022,0.5097
dbpedia_14,14,768,42,-1,B,extracted,20000,64,2000,0.011,0.022,0.5096
dbpedia_14,14,768,42,-1,B,extracted,200000,64,2000,0.002,0.024,0.5102
dbpedia_14,14,768,42,-1,B,gap,1,0,2000,0.0,0.0,0.2938
dbpedia_14,14,768,43,-1,A,truehead,0,64,2000,0.0,0.011,0.5029
dbpedia_14,14,768,43,-1,A,extracted,2000,64,2000,0.003,0.013,0.496
dbpedia_14,14,768,43,-1,A,extracted,20000,64,2000,0.003,0.013,0.4993
dbpedia_14,14,768,43,-1,A,extracted,200000,64,2000,0.003,0.012,0.4962
dbpedia_14,14,768,43,-1,A,gap,1,0,2000,0.0,0.0,0.3056
dbpedia_14,14,768,43,-1,B,truehead,0,64,2000,0.001,0.01,0.4969
dbpedia_14,14,768,43,-1,B,extracted,2000,64,2000,0.004,0.01,0.4921
dbpedia_14,14,768,43,-1,B,extracted,20000,64,2000,0.004,0.011,0.4907
dbpedia_14,14,768,43,-1,B,extracted,200000,64,2000,0.004,0.011,0.4925
dbpedia_14,14,768,43,-1,B,gap,1,0,2000,0.016,0.021,0.5248
dbpedia_14,14,768,44,-1,A,truehead,0,64,2000,0.001,0.009,0.5101
dbpedia_14,14,768,44,-1,A,extracted,2000,64,2000,0.004,0.011,0.5073
dbpedia_14,14,768,44,-1,A,extracted,20000,64,2000,0.002,0.01,0.5043
dbpedia_14,14,768,44,-1,A,extracted,200000,64,2000,0.002,0.01,0.5061
dbpedia_14,14,768,44,-1,A,gap,1,0,2000,0.015,0.015,0.6523
dbpedia_14,14,768,44,-1,B,truehead,0,64,2000,0.002,0.014,0.4903
dbpedia_14,14,768,44,-1,B,extracted,2000,64,2000,0.001,0.007,0.4911
dbpedia_14,14,768,44,-1,B,extracted,20000,64,2000,0.003,0.006,0.4914
dbpedia_14,14,768,44,-1,B,extracted,200000,64,2000,0.002,0.009,0.4923
dbpedia_14,14,768,44,-1,B,gap,1,0,2000,0.0,0.0,0.274
banking77,77,768,42,-1,A,truehead,0,64,2000,0.0,0.015,0.5326
banking77,77,768,42,-1,A,extracted,2000,64,2000,0.0,0.017,0.5135
banking77,77,768,42,-1,A,extracted,20000,64,2000,0.0,0.015,0.5131
banking77,77,768,42,-1,A,extracted,200000,64,2000,0.0,0.022,0.5127
banking77,77,768,42,-1,A,gap,1,0,2000,0.0,0.023,0.6811
banking77,77,768,42,-1,B,truehead,0,64,2000,0.004,0.026,0.5039
banking77,77,768,42,-1,B,extracted,2000,64,2000,0.0,0.005,0.4741
banking77,77,768,42,-1,B,extracted,20000,64,2000,0.0,0.005,0.4747
banking77,77,768,42,-1,B,extracted,200000,64,2000,0.0,0.008,0.4756
banking77,77,768,42,-1,B,gap,1,0,2000,0.0,0.047,0.6013
banking77,77,768,43,-1,A,truehead,0,64,2000,0.002,0.026,0.5071
banking77,77,768,43,-1,A,extracted,2000,64,2000,0.003,0.02,0.4876
banking77,77,768,43,-1,A,extracted,20000,64,2000,0.002,0.015,0.4877
banking77,77,768,43,-1,A,extracted,200000,64,2000,0.004,0.016,0.4877
banking77,77,768,43,-1,A,gap,1,0,2000,0.006,0.03,0.7247
banking77,77,768,43,-1,B,truehead,0,64,2000,0.003,0.015,0.51
banking77,77,768,43,-1,B,extracted,2000,64,2000,0.001,0.013,0.483
banking77,77,768,43,-1,B,extracted,20000,64,2000,0.001,0.014,0.4818
banking77,77,768,43,-1,B,extracted,200000,64,2000,0.001,0.01,0.4837
banking77,77,768,43,-1,B,gap,1,0,2000,0.005,0.012,0.594
banking77,77,768,44,-1,A,truehead,0,64,2000,0.007,0.027,0.5438
banking77,77,768,44,-1,A,extracted,2000,64,2000,0.002,0.017,0.4795
banking77,77,768,44,-1,A,extracted,20000,64,2000,0.002,0.019,0.4799
banking77,77,768,44,-1,A,extracted,200000,64,2000,0.002,0.014,0.4778
banking77,77,768,44,-1,A,gap,1,0,2000,0.032,0.032,0.7569
banking77,77,768,44,-1,B,truehead,0,64,2000,0.003,0.01,0.5085
banking77,77,768,44,-1,B,extracted,2000,64,2000,0.005,0.007,0.4916
banking77,77,768,44,-1,B,extracted,20000,64,2000,0.005,0.008,0.4916
banking77,77,768,44,-1,B,extracted,200000,64,2000,0.004,0.008,0.4924
banking77,77,768,44,-1,B,gap,1,0,2000,0.0,0.0,0.3649
