task,C,seed,arrangement,coalition,surrogates,n_candidates,queries,step,surrogate_sep,tpr_at_0_1pct,tpr_at_1pct,auc
ag_news,4,42,A,3,32,2000,2000,0.25,0.0014,0.001,0.015,0.4565
ag_news,4,42,B,3,32,2000,2000,1.75,0.0073,0.005,0.006,0.5039
ag_news,4,43,A,3,32,2000,2000,0.25,0.0163,0.003,0.006,0.4945
ag_news,4,43,B,3,32,2000,2000,0.25,0.0098,0.001,0.006,0.5053
ag_news,4,44,A,3,32,2000,2000,1.75,0.0115,0.0,0.006,0.4684
ag_news,4,44,B,3,32,2000,2000,2.0,0.0057,0.003,0.005,0.5305
dbpedia_14,14,42,A,3,32,2000,2000,0.25,0.013,0.005,0.017,0.4167
dbpedia_14,14,42,B,3,32,2000,2000,0.25,0.0027,0.001,0.005,0.486
dbpedia_14,14,43,A,3,32,2000,2000,3.0,0.0035,0.004,0.008,0.5737
dbpedia_14,14,43,B,3,32,2000,2000,0.25,0.0029,0.002,0.014,0.5067
dbpedia_14,14,44,A,3,32,2000,2000,5.75,0.0004,0.02,0.032,0.4534
dbpedia_14,14,44,B,3,32,2000,2000,1.5,0.0051,0.02,0.037,0.445
banking77,77,42,A,3,32,1444,1444,0.25,0.0576,0.0,0.0,0.5325
banking77,77,42,B,3,32,1444,1444,0.25,0.0648,0.00277,0.00416,0.4576
banking77,77,43,A,3,32,1382,1382,3.0,0.0233,0.00724,0.01302,0.4541
banking77,77,43,B,3,32,1382,1382,0.25,0.0428,0.0,0.0,0.4643
banking77,77,44,A,3,32,1464,1464,0.25,0.0505,0.0,0.0041,0.5596
banking77,77,44,B,3,32,1464,1464,0.25,0.0611,0.0,0.0041,0.4816
