task,C,seed,mode,n,acc_mean,acc_min,acc_max,note
ag_news,4,42,A_headonly,1,0.8086,0.8086,0.8086,r=0, head only, federated
ag_news,4,42,B_personal,10,0.5024,0.3926,0.6418,own adapter + agg head
ag_news,4,42,current,1,0.8036,0.8036,0.8036,agg adapter + agg head
ag_news,4,42,local,10,0.4818,0.3802,0.6406,own adapter + own head
ag_news,4,42,sel_fed_balanced,10,0.5024,0.3926,0.6418,federation picked B (B=0.7399 A=0.7303)
ag_news,4,42,sel_federated,10,0.5024,0.3926,0.6418,federation picked B (B=0.9489 A=0.8134)
ag_news,4,42,sel_globalprior,10,0.8086,0.8086,0.8086,picked A (E_B=0.5140 E_A=0.8152; true B=0.5024 A=0.8086)
ag_news,4,42,sel_gp_rarefill,10,0.8086,0.8086,0.8086,picked A (E_B=0.5140 E_A=0.8152; true B=0.5024 A=0.8086)
ag_news,4,42,sel_perclient,10,0.5423,0.3926,0.8086,per-client vote (biased), 9/10 chose B
ag_news,4,43,A_headonly,1,0.7356,0.7356,0.7356,r=0, head only, federated
ag_news,4,43,B_personal,10,0.4728,0.2446,0.7738,own adapter + agg head
ag_news,4,43,current,1,0.7538,0.7538,0.7538,agg adapter + agg head
ag_news,4,43,local,10,0.4731,0.2446,0.7932,own adapter + own head
ag_news,4,43,sel_fed_balanced,10,0.4728,0.2446,0.7738,federation picked B (B=0.6892 A=0.6259)
ag_news,4,43,sel_federated,10,0.4728,0.2446,0.7738,federation picked B (B=0.9805 A=0.7390)
ag_news,4,43,sel_globalprior,10,0.7356,0.7356,0.7356,picked A (E_B=0.4536 E_A=0.7379; true B=0.4728 A=0.7356)
ag_news,4,43,sel_gp_rarefill,10,0.7356,0.7356,0.7356,picked A (E_B=0.4536 E_A=0.7379; true B=0.4728 A=0.7356)
ag_news,4,43,sel_perclient,10,0.4728,0.2446,0.7738,per-client vote (biased), 10/10 chose B
ag_news,4,44,A_headonly,1,0.4018,0.4018,0.4018,r=0, head only, federated
ag_news,4,44,B_personal,7,0.4614,0.2534,0.7344,own adapter + agg head
ag_news,4,44,current,1,0.66,0.66,0.66,agg adapter + agg head
ag_news,4,44,local,7,0.4698,0.2534,0.7798,own adapter + own head
ag_news,4,44,sel_fed_balanced,7,0.4614,0.2534,0.7344,federation picked B (B=0.7571 A=0.3293)
ag_news,4,44,sel_federated,7,0.4614,0.2534,0.7344,federation picked B (B=0.9755 A=0.3940)
ag_news,4,44,sel_globalprior,7,0.4614,0.2534,0.7344,picked B (E_B=0.4437 E_A=0.3922; true B=0.4614 A=0.4018)
ag_news,4,44,sel_gp_rarefill,7,0.4614,0.2534,0.7344,picked B (E_B=0.4437 E_A=0.3922; true B=0.4614 A=0.4018)
ag_news,4,44,sel_perclient,7,0.4614,0.2534,0.7344,per-client vote (biased), 7/7 chose B
banking77,77,42,A_headonly,1,0.2386,0.2386,0.2386,r=0, head only, federated
banking77,77,42,B_personal,10,0.6723,0.6231,0.738,own adapter + agg head
banking77,77,42,current,1,0.7461,0.7461,0.7461,agg adapter + agg head
banking77,77,42,local,10,0.2452,0.176,0.3205,own adapter + own head
banking77,77,42,sel_fed_balanced,10,0.6723,0.6231,0.738,federation picked B (B=0.7660 A=0.2027)
banking77,77,42,sel_federated,10,0.6723,0.6231,0.738,federation picked B (B=0.8422 A=0.2289)
banking77,77,42,sel_globalprior,10,0.6723,0.6231,0.738,picked B (E_B=0.3789 E_A=0.2493; true B=0.6723 A=0.2386)
banking77,77,42,sel_gp_rarefill,10,0.6723,0.6231,0.738,picked B (E_B=0.7047 E_A=0.2493; true B=0.6723 A=0.2386)
