match,N,alpha,maxtest,dataset,C,seed,mode,n,acc_mean,acc_min,acc_max,note
peers,20,0.04,10000,cifar10,10,42,current,1,0.9391,0.9391,0.9391,"agg adapter + agg head"
peers,20,0.04,10000,cifar10,10,42,local,17,0.2494,0.1000,0.3953,"own adapter + own head"
peers,20,0.04,10000,cifar10,10,42,B_personal,17,0.9071,0.8730,0.9444,"own adapter + agg head"
peers,20,0.04,10000,cifar10,10,42,A_headonly,1,0.9476,0.9476,0.9476,"r=0, head only, federated"
peers,20,0.04,10000,cifar10,10,42,sel_perclient,17,0.9071,0.8730,0.9444,"per-client vote (biased), 17/17 chose B"
peers,20,0.04,10000,cifar10,10,42,sel_federated,17,0.9071,0.8730,0.9444,"federation picked B (B=0.9831 A=0.9419)"
peers,20,0.04,10000,cifar10,10,42,sel_fed_balanced,17,0.9071,0.8730,0.9444,"federation picked B (B=0.9600 A=0.9288)"
peers,20,0.04,10000,cifar10,10,42,sel_globalprior,17,0.9476,0.9476,0.9476,"picked A (E_B=0.3929 E_A=0.9416; true B=0.9071 A=0.9476)"
peers,20,0.04,10000,cifar10,10,42,sel_gp_rarefill,17,0.9476,0.9476,0.9476,"picked A (E_B=0.5934 E_A=0.9416; true B=0.9071 A=0.9476)"
peers,20,0.04,10000,cifar10,10,43,current,1,0.9540,0.9540,0.9540,"agg adapter + agg head"
peers,20,0.04,10000,cifar10,10,43,local,18,0.2078,0.1000,0.4038,"own adapter + own head"
peers,20,0.04,10000,cifar10,10,43,B_personal,18,0.9221,0.8833,0.9469,"own adapter + agg head"
peers,20,0.04,10000,cifar10,10,43,A_headonly,1,0.9495,0.9495,0.9495,"r=0, head only, federated"
peers,20,0.04,10000,cifar10,10,43,sel_perclient,18,0.9221,0.8833,0.9469,"per-client vote (biased), 18/18 chose B"
peers,20,0.04,10000,cifar10,10,43,sel_federated,18,0.9221,0.8833,0.9469,"federation picked B (B=0.9921 A=0.9511)"
peers,20,0.04,10000,cifar10,10,43,sel_fed_balanced,18,0.9221,0.8833,0.9469,"federation picked B (B=0.9429 A=0.9053)"
peers,20,0.04,10000,cifar10,10,43,sel_globalprior,18,0.9495,0.9495,0.9495,"picked A (E_B=0.3232 E_A=0.9510; true B=0.9221 A=0.9495)"
peers,20,0.04,10000,cifar10,10,43,sel_gp_rarefill,18,0.9495,0.9495,0.9495,"picked A (E_B=0.5107 E_A=0.9510; true B=0.9221 A=0.9495)"
peers,20,0.04,10000,cifar10,10,44,current,1,0.9472,0.9472,0.9472,"agg adapter + agg head"
peers,20,0.04,10000,cifar10,10,44,local,19,0.1790,0.1000,0.4194,"own adapter + own head"
peers,20,0.04,10000,cifar10,10,44,B_personal,19,0.9089,0.8074,0.9467,"own adapter + agg head"
peers,20,0.04,10000,cifar10,10,44,A_headonly,1,0.9518,0.9518,0.9518,"r=0, head only, federated"
peers,20,0.04,10000,cifar10,10,44,sel_perclient,19,0.9089,0.8074,0.9467,"per-client vote (biased), 19/19 chose B"
peers,20,0.04,10000,cifar10,10,44,sel_federated,19,0.9089,0.8074,0.9467,"federation picked B (B=0.9910 A=0.9559)"
peers,20,0.04,10000,cifar10,10,44,sel_fed_balanced,19,0.9089,0.8074,0.9467,"federation picked B (B=0.9390 A=0.9331)"
peers,20,0.04,10000,cifar10,10,44,sel_globalprior,19,0.9518,0.9518,0.9518,"picked A (E_B=0.3306 E_A=0.9571; true B=0.9089 A=0.9518)"
peers,20,0.04,10000,cifar10,10,44,sel_gp_rarefill,19,0.9518,0.9518,0.9518,"picked A (E_B=0.6995 E_A=0.9571; true B=0.9089 A=0.9518)"
peers,20,0.16,10000,cifar10,10,42,current,1,0.9562,0.9562,0.9562,"agg adapter + agg head"
peers,20,0.16,10000,cifar10,10,42,local,20,0.3538,0.1984,0.5703,"own adapter + own head"
peers,20,0.16,10000,cifar10,10,42,B_personal,20,0.9339,0.8808,0.9528,"own adapter + agg head"
peers,20,0.16,10000,cifar10,10,42,A_headonly,1,0.9539,0.9539,0.9539,"r=0, head only, federated"
peers,20,0.16,10000,cifar10,10,42,sel_perclient,20,0.9345,0.8808,0.9539,"per-client vote (biased), 19/20 chose B"
peers,20,0.16,10000,cifar10,10,42,sel_federated,20,0.9339,0.8808,0.9528,"federation picked B (B=0.9760 A=0.9491)"
peers,20,0.16,10000,cifar10,10,42,sel_fed_balanced,20,0.9539,0.9539,0.9539,"federation picked A (B=0.9464 A=0.9655)"
