task,C,seed,arrangement,cls,holders,n_holder,cos_mean,cos_top1,cos_top1_other,cos_rand
ag_news,4,42,A,0,7,4500,0.1283,0.179,0.1745,0.0298
ag_news,4,42,A,1,4,4445,0.1862,0.2251,0.2206,0.0341
ag_news,4,42,A,2,8,4555,0.145,0.203,0.1954,0.0324
ag_news,4,42,A,3,7,4501,0.1415,0.1966,0.1855,0.0293
ag_news,4,42,B,0,7,4500,0.1168,0.1591,0.1584,0.023
ag_news,4,42,B,1,4,4445,0.131,0.1781,0.1756,0.0279
ag_news,4,42,B,2,8,4555,0.1144,0.1738,0.164,0.0297
ag_news,4,42,B,3,7,4501,0.1023,0.1581,0.1465,0.0242
ag_news,4,43,A,0,5,4526,0.1855,0.2217,0.2207,0.0275
ag_news,4,43,A,1,6,4529,0.1387,0.1821,0.1737,0.0289
ag_news,4,43,A,2,4,4418,0.1533,0.1993,0.1932,0.0341
ag_news,4,43,A,3,7,4527,0.1746,0.2079,0.2062,0.0231
ag_news,4,43,B,0,5,4526,0.1435,0.1857,0.1761,0.0313
ag_news,4,43,B,1,6,4529,0.105,0.1466,0.1375,0.0324
ag_news,4,43,B,2,4,4418,0.1141,0.1627,0.1569,0.0262
ag_news,4,43,B,3,7,4527,0.1331,0.1722,0.1641,0.0343
ag_news,4,44,A,0,5,4478,0.1101,0.1638,0.1502,0.0283
ag_news,4,44,A,1,3,4424,0.1385,0.1779,0.1772,0.0299
ag_news,4,44,A,2,5,4568,0.149,0.1952,0.1936,0.0282
ag_news,4,44,A,3,5,4514,0.1783,0.21,0.2052,0.0315
ag_news,4,44,B,0,5,4478,0.116,0.1604,0.1555,0.0258
ag_news,4,44,B,1,3,4424,0.0905,0.1329,0.1269,0.0242
ag_news,4,44,B,2,5,4568,0.0987,0.1368,0.1331,0.0291
ag_news,4,44,B,3,5,4514,0.1401,0.1776,0.1702,0.028
dbpedia_14,14,42,A,0,5,1308,0.1389,0.1797,0.1799,0.0259
dbpedia_14,14,42,A,1,3,1301,0.1729,0.2163,0.2133,0.0227
dbpedia_14,14,42,A,2,5,1299,0.1556,0.1931,0.1906,0.0293
dbpedia_14,14,42,A,3,4,1287,0.1326,0.1809,0.1808,0.027
dbpedia_14,14,42,A,4,5,1312,0.1379,0.1848,0.1734,0.0296
dbpedia_14,14,42,A,5,4,1288,0.1342,0.1934,0.1801,0.0309
dbpedia_14,14,42,A,6,5,1286,0.1351,0.1845,0.174,0.0228
dbpedia_14,14,42,A,7,8,1331,0.1482,0.1986,0.185,0.0293
dbpedia_14,14,42,A,8,6,1282,0.1308,0.1683,0.1694,0.0272
dbpedia_14,14,42,A,9,5,1243,0.151,0.2126,0.2049,0.0286
dbpedia_14,14,42,A,10,5,1317,0.1938,0.242,0.2379,0.0338
dbpedia_14,14,42,A,11,5,1229,0.1345,0.1806,0.1687,0.0231
dbpedia_14,14,42,A,12,6,1255,0.1228,0.1715,0.1672,0.0301
dbpedia_14,14,42,A,13,8,1264,0.1375,0.1954,0.1831,0.0295
dbpedia_14,14,42,B,0,5,1308,0.106,0.1495,0.1431,0.0274
dbpedia_14,14,42,B,1,3,1301,0.1108,0.159,0.1542,0.0255
dbpedia_14,14,42,B,2,5,1299,0.1008,0.1465,0.1311,0.0299
dbpedia_14,14,42,B,3,4,1287,0.1093,0.1497,0.1485,0.031
dbpedia_14,14,42,B,4,5,1312,0.1085,0.1534,0.154,0.0259
dbpedia_14,14,42,B,5,4,1288,0.1095,0.1717,0.1554,0.0294
dbpedia_14,14,42,B,6,5,1286,0.1147,0.1559,0.1459,0.0269
dbpedia_14,14,42,B,7,8,1331,0.121,0.1633,0.1493,0.0307
dbpedia_14,14,42,B,8,6,1282,0.1229,0.1591,0.1593,0.0259
dbpedia_14,14,42,B,9,5,1243,0.163,0.2199,0.2126,0.0287
dbpedia_14,14,42,B,10,5,1317,0.1371,0.1848,0.1813,0.0305
dbpedia_14,14,42,B,11,5,1229,0.1316,0.1751,0.1597,0.0283
dbpedia_14,14,42,B,12,6,1255,0.0967,0.1411,0.1328,0.0313
dbpedia_14,14,42,B,13,8,1264,0.103,0.1645,0.1462,0.0324
dbpedia_14,14,43,A,0,5,1298,0.1425,0.1803,0.179,0.0274
dbpedia_14,14,43,A,1,8,1268,0.1116,0.1645,0.1572,0.0247
dbpedia_14,14,43,A,2,4,1285,0.1542,0.1975,0.1919,0.0304
dbpedia_14,14,43,A,3,5,1242,0.16,0.2074,0.2065,0.0288
dbpedia_14,14,43,A,4,3,1246,0.1847,0.2245,0.219,0.029
dbpedia_14,14,43,A,5,4,1325,0.1778,0.2338,0.2229,0.0259
dbpedia_14,14,43,A,6,7,1201,0.1085,0.1651,0.1584,0.028
dbpedia_14,14,43,A,7,5,1320,0.171,0.2127,0.2145,0.0299
dbpedia_14,14,43,A,8,5,1321,0.147,0.1774,0.1778,0.0276
dbpedia_14,14,43,A,9,7,1296,0.1328,0.2047,0.1897,0.0269
dbpedia_14,14,43,A,10,6,1252,0.1564,0.206,0.1931,0.029
dbpedia_14,14,43,A,11,4,1305,0.1513,0.1938,0.1948,0.0293
dbpedia_14,14,43,A,12,4,1311,0.1297,0.1796,0.1754,0.0262
dbpedia_14,14,43,A,13,4,1331,0.1623,0.2187,0.2155,0.0292
dbpedia_14,14,43,B,0,5,1298,0.0981,0.1384,0.1366,0.0256
dbpedia_14,14,43,B,1,8,1268,0.103,0.1558,0.1385,0.0314
dbpedia_14,14,43,B,2,4,1285,0.1299,0.1801,0.1654,0.0314
dbpedia_14,14,43,B,3,5,1242,0.11,0.153,0.1507,0.0252
dbpedia_14,14,43,B,4,3,1246,0.1284,0.1705,0.162,0.0325
dbpedia_14,14,43,B,5,4,1325,0.1342,0.2021,0.1824,0.0245
dbpedia_14,14,43,B,6,7,1201,0.1058,0.1522,0.1458,0.0262
dbpedia_14,14,43,B,7,5,1320,0.1249,0.1646,0.1659,0.0252
dbpedia_14,14,43,B,8,5,1321,0.1157,0.149,0.1499,0.0318
dbpedia_14,14,43,B,9,7,1296,0.1422,0.2047,0.1904,0.0305
dbpedia_14,14,43,B,10,6,1252,0.1136,0.1574,0.1468,0.0324
dbpedia_14,14,43,B,11,4,1305,0.1312,0.1753,0.1746,0.0311
dbpedia_14,14,43,B,12,4,1311,0.0895,0.1412,0.1315,0.0325
dbpedia_14,14,43,B,13,4,1331,0.1163,0.1761,0.1713,0.0282
dbpedia_14,14,44,A,0,3,1288,0.1394,0.179,0.1743,0.0285
dbpedia_14,14,44,A,1,8,1309,0.118,0.1671,0.1566,0.029
dbpedia_14,14,44,A,2,4,1336,0.1645,0.2146,0.2053,0.0295
dbpedia_14,14,44,A,3,8,1312,0.1095,0.1568,0.1435,0.0285
dbpedia_14,14,44,A,4,5,1317,0.1601,0.2071,0.1974,0.0254
dbpedia_14,14,44,A,5,4,1229,0.1512,0.2022,0.1979,0.0285
dbpedia_14,14,44,A,6,5,1290,0.1226,0.169,0.167,0.0314
dbpedia_14,14,44,A,7,2,1256,0.1983,0.2315,0.2287,0.0272
dbpedia_14,14,44,A,8,7,1258,0.1505,0.1905,0.1838,0.0295
dbpedia_14,14,44,A,9,5,1286,0.1516,0.2111,0.2132,0.0257
dbpedia_14,14,44,A,10,4,1296,0.1684,0.2212,0.2145,0.0285
dbpedia_14,14,44,A,11,5,1238,0.1459,0.1887,0.1791,0.0231
dbpedia_14,14,44,A,12,6,1300,0.1346,0.1867,0.1809,0.0237
dbpedia_14,14,44,A,13,7,1284,0.1233,0.1824,0.167,0.0276
dbpedia_14,14,44,B,0,3,1288,0.11,0.1588,0.1551,0.0291
dbpedia_14,14,44,B,1,8,1309,0.0905,0.1359,0.1237,0.0311
dbpedia_14,14,44,B,2,4,1336,0.1191,0.164,0.1583,0.0286
dbpedia_14,14,44,B,3,8,1312,0.1061,0.1446,0.1364,0.0265
dbpedia_14,14,44,B,4,5,1317,0.0981,0.1511,0.1426,0.0278
dbpedia_14,14,44,B,5,4,1229,0.118,0.1697,0.1644,0.0306
dbpedia_14,14,44,B,6,5,1290,0.0962,0.1379,0.1378,0.029
dbpedia_14,14,44,B,7,2,1256,0.1417,0.176,0.1711,0.0296
dbpedia_14,14,44,B,8,7,1258,0.1074,0.1426,0.139,0.0303
dbpedia_14,14,44,B,9,5,1286,0.1422,0.1941,0.1964,0.023
dbpedia_14,14,44,B,10,4,1296,0.1324,0.1849,0.177,0.0321
dbpedia_14,14,44,B,11,5,1238,0.1388,0.1773,0.1726,0.0255
dbpedia_14,14,44,B,12,6,1300,0.1054,0.1603,0.1507,0.0313
dbpedia_14,14,44,B,13,7,1284,0.0967,0.1583,0.1361,0.029
banking77,77,42,A,0,2,140,0.161,0.2131,0.1908,0.0344
banking77,77,42,A,1,3,101,0.1763,0.2193,0.2076,0.0308
banking77,77,42,A,2,5,106,0.1454,0.1983,0.1715,0.0259
banking77,77,42,A,3,3,79,0.1308,0.1651,0.1424,0.0249
banking77,77,42,A,4,4,109,0.1545,0.1978,0.1815,0.0328
banking77,77,42,A,5,2,155,0.167,0.2014,0.1926,0.0331
banking77,77,42,A,6,6,165,0.1478,0.1946,0.1798,0.0268
banking77,77,42,A,7,1,145,0.1852,0.2167,0.202,0.0337
banking77,77,42,A,8,3,144,0.1471,0.1726,0.1694,0.0282
banking77,77,42,A,9,5,111,0.1682,0.2143,0.1919,0.0254
banking77,77,42,A,10,2,52,0.1545,0.1752,0.1662,0.03
banking77,77,42,A,11,3,135,0.1784,0.2256,0.2014,0.0296
banking77,77,42,A,12,2,102,0.1458,0.1861,0.1735,0.0337
banking77,77,42,A,13,2,124,0.1727,0.2122,0.2007,0.0264
banking77,77,42,A,14,3,94,0.1471,0.1858,0.1946,0.0273
banking77,77,42,A,15,6,171,0.155,0.1947,0.1971,0.0308
banking77,77,42,A,16,4,156,0.1484,0.1872,0.1791,0.0305
banking77,77,42,A,17,3,160,0.1384,0.1845,0.1604,0.0238
banking77,77,42,A,18,3,54,0.0994,0.1278,0.1218,0.0244
banking77,77,42,A,19,5,162,0.1688,0.1991,0.2076,0.0283
banking77,77,42,A,20,6,147,0.18,0.2189,0.218,0.031
banking77,77,42,A,21,3,110,0.1338,0.1769,0.1736,0.0299
banking77,77,42,A,22,4,77,0.1637,0.2043,0.1904,0.0259
banking77,77,42,A,23,3,29,0.0682,0.1057,0.0908,0.0222
banking77,77,42,A,24,2,121,0.1647,0.1863,0.1752,0.0274
banking77,77,42,A,25,3,137,0.1587,0.1943,0.1906,0.0283
banking77,77,42,A,26,4,152,0.1687,0.2109,0.2001,0.0327
banking77,77,42,A,27,5,118,0.1206,0.1671,0.1788,0.0294
banking77,77,42,A,28,5,164,0.1391,0.1885,0.1725,0.03
banking77,77,42,A,29,4,115,0.128,0.1678,0.1558,0.0248
banking77,77,42,A,30,6,109,0.1281,0.1544,0.142,0.028
banking77,77,42,A,31,2,114,0.1726,0.2044,0.1976,0.0267
banking77,77,42,A,32,5,98,0.178,0.2071,0.2048,0.0282
banking77,77,42,A,33,4,105,0.1755,0.2183,0.2016,0.0292
banking77,77,42,A,34,2,153,0.1849,0.229,0.2263,0.0302
banking77,77,42,A,35,4,119,0.1353,0.1772,0.1565,0.0263
banking77,77,42,A,36,5,112,0.1442,0.1786,0.1721,0.0273
banking77,77,42,A,37,4,87,0.1445,0.1742,0.1675,0.03
banking77,77,42,A,38,4,96,0.1348,0.1716,0.171,0.0274
banking77,77,42,A,39,2,113,0.1446,0.177,0.1718,0.0297
banking77,77,42,A,40,1,93,0.1925,0.2231,0.2243,0.0266
banking77,77,42,A,41,3,71,0.1206,0.1554,0.1468,0.0303
banking77,77,42,A,42,2,111,0.178,0.214,0.1963,0.0263
banking77,77,42,A,43,3,108,0.175,0.2125,0.2147,0.0264
banking77,77,42,A,44,4,86,0.1335,0.1684,0.1562,0.0225
banking77,77,42,A,45,3,139,0.1498,0.174,0.17,0.0292
banking77,77,42,A,46,5,127,0.0889,0.1387,0.1252,0.0289
banking77,77,42,A,47,2,135,0.1396,0.1748,0.1706,0.0337
banking77,77,42,A,48,5,138,0.1032,0.137,0.1432,0.0323
banking77,77,42,A,49,3,103,0.1855,0.2227,0.2076,0.0318
banking77,77,42,A,50,3,83,0.166,0.1921,0.1827,0.0284
banking77,77,42,A,51,3,149,0.155,0.1977,0.1784,0.0313
banking77,77,42,A,52,5,157,0.1802,0.227,0.2133,0.0324
banking77,77,42,A,53,4,143,0.1586,0.1993,0.2011,0.027
banking77,77,42,A,54,2,115,0.1559,0.1912,0.1853,0.0317
banking77,77,42,A,55,5,94,0.1381,0.1951,0.1668,0.0307
banking77,77,42,A,56,4,96,0.152,0.1869,0.1784,0.0354
banking77,77,42,A,57,4,99,0.1783,0.2082,0.1889,0.0257
banking77,77,42,A,58,3,96,0.1584,0.1971,0.1915,0.0288
banking77,77,42,A,59,5,132,0.1305,0.1719,0.1663,0.0292
banking77,77,42,A,60,4,91,0.1604,0.1815,0.185,0.0317
banking77,77,42,A,61,3,136,0.141,0.1773,0.1728,0.0231
banking77,77,42,A,62,5,89,0.1503,0.1791,0.1907,0.0272
banking77,77,42,A,63,4,155,0.1489,0.2039,0.1811,0.0318
